,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
CLR,0.5415360327296364,0.5815403781624418,0.6708343650489175,0.6602025114583876,False,False,61,70,1.2385979621439607,1.230276136457546,3.0610181239264533,0.1334420845370598,-2.9275760393893937,3.194460208463513,-5.988594163315847,6.255478332389966,0.8727199638572963,0.8524927741789801
MTDR,0.7396522098568854,0.7270082199081198,0.6814835227844582,0.6819662730161274,True,True,79,80,1.436593006752066,1.3816373396578,4.223373085379804,0.2910472943668581,-3.932325791012946,4.514420379746662,-8.15569887639275,8.737793465126467,0.872830528180983,0.8750017727396262
BKR,0.37930721757095304,0.43984182811381883,0.8132261738994656,0.7685802928981095,True,True,80,83,0.7058943859747485,0.7911219321059468,1.9719085665564688,0.03655163375575758,-1.9353569328007112,2.0084602003122263,-3.9072654993571803,3.980368766868695,0.8773403795082236,0.7556858631536012
FANG,0.5048782862979139,0.46574340082258925,0.8038028994132721,0.8465083282427645,True,True,82,86,0.9621017342774725,0.853852358197866,2.7131891236355554,0.14869400516137452,-2.564495118474181,2.8618831287969297,-5.2776842421097365,5.575072252432485,0.9112087544059736,0.8251908967591347
HES,0.3485404209932553,0.34231586682855925,0.869524022897732,0.877276928765854,True,True,81,87,0.6541188379537975,0.6203417995077406,2.2749067199977535,0.10216710863328486,-2.172739611364469,2.377073828631038,-4.447646331362222,4.651980548628792,0.9410626577770168,0.8584148553672076
OXY,0.5090815812266611,0.5152434224732289,0.8571365853531913,0.858075517522932,True,True,81,84,0.9664545546801074,0.9452168052868869,3.036436769758743,0.13616061221367612,-2.900276157545067,3.172597381972419,-5.93671292730381,6.209034151731163,0.8902752283492779,0.8522526459366002
PXD,0.43622437725925023,0.4081075283217334,0.7130952931213471,0.7541033763932118,True,True,68,71,0.9292081295634229,0.8363652383189356,2.2715224736289708,0.07987544612840726,-2.1916470275005633,2.351397919757378,-4.463169501129534,4.622920393386349,0.9145697004216582,0.7988299201894635
MRO,0.4384345502475335,0.4277675893961274,0.883030764961065,0.891353263550169,True,True,87,80,0.7756274911056024,0.7627666811294509,3.0051631277901785,0.19785213688460418,-2.8073109909055742,3.2030152646747827,-5.812474118695753,6.208178392464961,0.9211015245392166,0.9190175425669035
LBRT,0.905328558894446,0.9126646446821409,0.5097215789314642,0.5011754991750204,False,False,72,68,1.8025856519367072,1.929831715628506,2.2948102069731093,0.13279692818509856,-2.162013278788011,2.427607135158208,-4.45682348576112,4.722417342131317,0.7795046129704803,0.6978635769952166
SLB,0.41155693186193054,0.4390690287384464,0.8230264661572393,0.8109074417927175,True,True,79,84,0.7750328169272734,0.7753807480167584,2.205939177384285,0.0954905176259356,-2.110448659758349,2.3014296950102207,-4.316387837142634,4.507368872394506,0.9276214507952908,0.8353661168196438
