,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
OXY,0.5066156793657606,0.5087839751386052,0.8588798027365869,0.8586483104316992,True,True,78,84,0.9614800109490877,0.9338044340623759,3.052101532428923,0.12268940588009743,-2.9294121265488258,3.1747909383090205,-5.9815136589777484,6.226892470737944,0.890522311390158,0.8522516359508324
MGY,0.6198878986085119,0.6572157990353987,0.6474701932256934,0.6310696982151155,False,False,65,65,1.382389035661812,1.4431336319220145,2.491752527391684,0.18065129007692146,-2.311101237314763,2.6724038174686053,-4.802853764706446,5.16415634486029,0.8407730897871348,0.7659911762673222
CRK,0.628386116509483,0.6921043253882385,0.577499762049319,0.522098177215957,True,True,72,73,1.3148347082688132,1.3976085506917448,2.294709693908706,0.04427619015132088,-2.2504335037573853,2.338985884060027,-4.545143197666092,4.633695577968733,0.45910161255543425,0.6080534770470574
MUR,0.5259516239652752,0.5646157338949812,0.8648980143943976,0.8421074612303112,True,True,88,81,0.9037605434299484,1.0220372741890333,2.72395085181156,0.15971948091176008,-2.5642313708997997,2.88367033272332,-5.2881822227113595,5.60762118453488,0.9103530969440137,0.8198744826549729
CLR,0.5691335547851881,0.5805094739274302,0.6511839859567963,0.6588880536185809,False,False,63,70,1.2882181786069584,1.2302647397498647,3.0822633078422332,0.11971829032018783,-2.9625450175220456,3.201981598162421,-6.044808325364278,6.284244906004655,0.8567256089460717,0.8524916406247365
APA,0.5997662630083329,0.5525108796583633,0.8062370390642217,0.8281172365511658,True,True,83,81,1.1074029673930368,1.0498774655307828,3.2835533614297057,0.24819874505245235,-3.035354616377253,3.531752106482158,-6.318907977806959,6.815305467911863,0.8294301881971721,0.8224883282004247
CHX,0.7986353430345766,0.8219556654281874,0.587409359545569,0.5827031244278564,True,True,71,73,1.6489603652527636,1.6535273017084136,2.543073837090069,0.0553456237909414,-2.4877282132991274,2.5984194608810105,-5.030802050389196,5.1414932979710795,0.7475883095528262,0.6960354952729002
ERF,0.5761577020922083,0.6200772588960611,0.755858441707024,0.7265404068399833,True,True,77,84,1.1226406289610915,1.1624842671911921,2.3542863589347096,0.21700737995650404,-2.1372789789782054,2.571293738891214,-4.491565337912915,4.925580097825923,0.8678928822918017,0.8356847326602866
HES,0.35807150695741224,0.3396546161492867,0.8598606185292965,0.8768682027219188,True,True,77,86,0.6853192454369692,0.6198800068564946,2.2732908595009285,0.1023850513733134,-2.170905808127615,2.375675910874242,-4.444196667628543,4.6489667703751705,0.9303598914024224,0.858413292187721
LBRT,0.8736163279262669,0.9128672035969441,0.5174456020537134,0.49771544751540253,False,False,71,68,1.7859238263338446,1.929693062189746,2.3031205014029257,0.12861538269157688,-2.1745051187113487,2.4317358840945027,-4.477625620114274,4.734856385497428,0.7774130117529838,0.6964637375289429
OVV,0.7820612083547493,0.7613528093763786,0.6092351079573453,0.6278123506014757,True,True,88,83,1.3880376657265663,1.3905500867705587,3.971515605818057,0.2711806908619146,-3.7003349149561426,4.242696296679972,-7.6718505207742,8.214211902498029,0.8793197814067705,0.8274651466300758
FANG,0.5094082642111865,0.46760578914138295,0.8099001058289124,0.8453643352504923,True,True,82,86,0.9360389297510306,0.8550316551379259,2.714253625199558,0.14340981086382873,-2.5708438143357295,2.857663436063387,-5.285097439535288,5.571917061262945,0.9043531626304862,0.8251396896083593
HAL,0.392424500101318,0.41244079724188987,0.8324299227131557,0.8262785408641398,True,True,68,78,0.8216269882168901,0.7839119596134909,2.6210676418577514,0.13737745519257255,-2.483690186665179,2.758445097050324,-5.1047578285229305,5.379512738908075,0.9071791891414347,0.8549876172891487
FTI,0.9993527224243021,1.005841226213765,0.45034858480120843,0.46389212919335265,True,True,78,83,1.9068802819074864,1.817761414395359,2.8126675026707133,0.0031541158990992238,-2.809513386771614,2.8158216185698124,-5.622180889442327,5.628489121240526,0.5248980370444551,0.5059269164238402
MTDR,0.7622087003891981,0.7270675411792844,0.6574285657332459,0.6787528505942441,True,True,78,80,1.4644675300669208,1.3817066285283697,4.227314390156694,0.27990355351840274,-3.9474108366382916,4.507217943675097,-8.174725226794985,8.734532333831792,0.8692829368050636,0.8750003033561299
NOV,0.4903164602242387,0.513138000119152,0.6680102535096906,0.6325083822142745,True,False,70,75,1.0067851527261162,1.0378787455164895,2.3430739450029856,0.0479024102654318,-2.2951715347375536,2.3909763552684176,-4.638245479740539,4.734050300271403,0.9121257701100421,0.7991293776538204
MRO,0.4235430385205407,0.4261607837504013,0.8873252520677405,0.8912132565953167,True,True,82,79,0.7801862564964117,0.7663178941946638,3.007493553645216,0.190524493540754,-2.816969060104462,3.19801804718597,-5.824462613749678,6.205511600831186,0.9221908664269048,0.9190146240479291
