,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
CHX,0.7646387212611243,0.8120130175393133,0.640564279398362,0.6245687007929677,True,True,66,74,1.6725323467685338,1.6264488213684423,2.546382894017501,0.06568380332928227,-2.4806990906882187,2.612066697346783,-5.0270819847057195,5.158449591364284,0.7462081110754177,0.7020022185742393
MUR,0.5403382787592936,0.5738681942616731,0.8791297795810586,0.8626407113556391,True,True,92,86,0.921185687545188,1.0176690337593333,2.7575941650881983,0.15816145358249106,-2.5994327115057074,2.915755618670689,-5.357026876593905,5.673349783758888,0.8998739094906428,0.8232656719583603
BKR,0.3871785516751062,0.4449588479286111,0.8345619057467311,0.7970572150342775,True,True,87,85,0.6987041731507765,0.8039574953906493,1.974455729795617,0.03305740701100043,-1.9413983227846165,2.0075131368066175,-3.9158540525802334,3.981968866602234,0.8783722320241698,0.7590599839456029
MRO,0.44397437934223755,0.4192885032536146,0.8931791872824001,0.9054453109407367,True,True,89,84,0.7790501161729689,0.736971809584544,3.0087376682296054,0.1981852292947376,-2.810552438934868,3.206922897524343,-5.819290107164473,6.215660565753948,0.9240556898040968,0.9200084059693
MTDR,0.7763466247530469,0.7473207805499974,0.6793158298314863,0.699967511684686,True,True,77,82,1.542812172870428,1.429332592434056,4.203166496042611,0.29410994630760356,-3.9090565497350074,4.4972764423502145,-8.112223045777618,8.700442938392825,0.8707888416395408,0.8742405927338265
LBRT,0.8871533898721659,0.9343732123124595,0.5740461967673202,0.5482718227119383,False,False,74,73,1.7936289722052834,1.922661845047659,2.322300070326579,0.13345567606624992,-2.1888443942603293,2.455755746392829,-4.511144464586908,4.778055816719408,0.7761482864358091,0.6986151226961184
CNQ,0.36555593723144036,0.3527070779653031,0.8510288703716,0.8649675896449839,True,True,86,91,0.6726018154053395,0.6135055933336129,2.247430735358526,0.11391584083587322,-2.1335148945226527,2.3613465761943995,-4.380945629881179,4.608777311552926,0.9162669144744569,0.8586259433618705
CLR,0.5724702048727924,0.5871752254062359,0.668677428620422,0.6784314326732958,False,False,62,72,1.3453661218940098,1.253684451959083,3.0536338913338574,0.15518592399345518,-2.8984479673404024,3.2088198153273124,-5.952081858674259,6.26245370666117,0.8699946629259672,0.8525388022970831
SLB,0.3961078047097076,0.4307270672638347,0.8522359685484496,0.8400981040641695,True,True,77,83,0.7685155175663873,0.7778152193439893,2.208998865655764,0.09346750132481406,-2.11553136433095,2.3024663669805783,-4.324530229986714,4.5114652326363425,0.9242330817334142,0.8385824052777697
FTI,1.0104063339059042,0.9940128672279782,0.4695892905090562,0.4932138093535051,True,True,78,82,1.9527505258330944,1.8381556099029916,2.7807878023335038,-0.019263658935823907,-2.8000514612693275,2.76152414339768,-5.580839263602831,5.542311945731184,0.5342780263512942,0.508111157783797
FANG,0.5059380832058449,0.4664337790846975,0.8329666550772317,0.8629217348099723,True,True,81,90,0.9336959629237579,0.8437141108513647,2.721297112498454,0.14411337906747576,-2.5771837334309784,2.8654104915659295,-5.298480845929432,5.586707604064384,0.9054196332348993,0.8287407581662252
PXD,0.4507572057269015,0.4035970097220725,0.7262755922717199,0.7690044192935472,True,True,71,76,0.9350678391484306,0.8139060441397421,2.2620933758791537,0.09320378697958787,-2.1688895888995656,2.355297162858742,-4.430982964778719,4.6173905387378955,0.9044801031352798,0.8002475597311935
SM,0.8518412796240978,0.7799245953859071,0.7546820350834799,0.7773721257467388,False,False,78,75,1.7130087222647739,1.631617708505747,4.288010280977797,0.2645690760257949,-4.023441204952002,4.552579357003593,-8.3114514859298,8.84058963798139,0.8986114256161266,0.9016370957089245
COP,0.3557483411773102,0.36751140990205267,0.8528103140312067,0.8288826258400478,True,True,82,81,0.6727664588074023,0.7232735568329267,2.097411846372758,0.10268660192126441,-1.9947252444514934,2.200098448294022,-4.092137090824251,4.29751029466678,0.9340940916787824,0.8131077870258323
APA,0.5896989738787455,0.5525127722002892,0.8350607751101142,0.8488249216789127,True,True,86,86,1.0785541105167091,1.0259869028735051,3.274018745114468,0.2633681839167422,-3.010650561197726,3.5373869290312103,-6.284669306312194,6.8114056741456785,0.8311325434832413,0.8252024761127988
OVV,0.7629952038261995,0.7339185008331369,0.703116932659173,0.7194531852696812,True,True,93,86,1.3188027180240707,1.3290035501564381,3.964698228226156,0.27768402736741243,-3.6870142008587434,4.242382255593569,-7.6517124290849,8.207080483819725,0.879090824456976,0.8294739688631412
ERF,0.5476255816923894,0.6096158211711722,0.8233221957458429,0.7813329360802019,True,True,80,84,1.0575581526986908,1.1573645239073842,2.3890492178778215,0.22305209761883688,-2.1659971202589845,2.6121013154966586,-4.5550463381368065,5.00115053337448,0.8761166736357255,0.838095749288499
NOV,0.44339486137616135,0.4764312918514056,0.8360219406851972,0.8093113358291902,True,True,80,84,0.8350756306479219,0.8876007752347749,2.3468718785658145,0.052475868485375825,-2.2943960100804386,2.3993477470511904,-4.6412678886462535,4.746219625617004,0.913929037957449,0.803339478610495
HES,0.35142630161702093,0.3345382705190352,0.8836143934932249,0.8965029384572113,True,True,79,88,0.6704557605128412,0.6116507355664609,2.275345452118539,0.10815585258230909,-2.1671895995362296,2.383501304700848,-4.442535051654769,4.658846756819386,0.9313450291152819,0.8609874148548796
MGY,0.6467816697358025,0.6847871238366549,0.652787714389935,0.63603468224287,False,False,68,67,1.4240261310961073,1.5131941620759768,2.499753288735724,0.17750861002207585,-2.322244678713648,2.6772618987578,-4.821997967449372,5.177015187493524,0.8369342660955036,0.7652058009033754
CPE,0.9253939871551319,0.7588483223217577,0.7949495573691903,0.8478732396995928,True,True,78,78,1.8000124635596093,1.4691135379066462,4.927348061794932,0.525364289911308,-4.401983771883624,5.45271235170624,-9.329331833678555,10.380060413501173,0.7629253213028753,0.765971125715308
CRK,0.6481704786210345,0.7061709153556359,0.5975597321495141,0.5522011879229053,True,True,75,78,1.3408639277454149,1.3828691855609365,2.277908460753572,0.03569408375837285,-2.2422143769951988,2.313602544511945,-4.5201228377487706,4.591511005265517,0.4593375809822009,0.6146535904272192
OXY,0.5190642167001696,0.4996429056350643,0.8661752356756899,0.8742804582737109,True,True,82,85,0.981865354227791,0.931295790101584,3.0394647587817616,0.12309157940916346,-2.916373179372598,3.162556338190925,-5.955837938154359,6.202021096972687,0.8934987991556661,0.8543823024071879
HAL,0.38276684573125014,0.40893548118624884,0.867567433661219,0.8598099744711754,True,True,73,84,0.7610118713899559,0.7414927040165793,2.6128339419536997,0.14381386788156728,-2.4690200740721324,2.756647809835267,-5.081854016025832,5.369481751788967,0.912678410306615,0.8577340605072781
