,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
NOV,0.4467169576507601,0.47886586743188386,0.8348579026125955,0.8079516589703867,True,True,82,84,0.8283317233814312,0.8890205110475197,2.3452704792844505,0.05449189777567174,-2.290778581508779,2.399762377060122,-4.636049060793229,4.745032856344573,0.906829280987468,0.8043058621002654
HES,0.3509961616637377,0.3383398122276817,0.879151606094064,0.893899327755255,True,True,74,90,0.6961882037668791,0.6089561152323377,2.2733282567270554,0.10763539995687475,-2.1656928567701805,2.3809636566839303,-4.439021113497236,4.654291913410986,0.9215828341262224,0.8600371576512829
CLR,0.5784465107996984,0.587886334683758,0.6645049675086869,0.6742497235001828,False,False,59,70,1.3921333012269423,1.2744359195625292,3.0552007473747542,0.13927173685850996,-2.915929010516244,3.1944724842332644,-5.971129757890998,6.249673231608019,0.8640894994061079,0.8522105568228725
APA,0.5820299909136026,0.5475735019351284,0.8246236025920235,0.8448321621098757,True,True,81,85,1.1187230112048396,1.0340575403998262,3.2772599903561774,0.26275109264694624,-3.014508897709231,3.5400110830031237,-6.291768888065409,6.817271073359301,0.8256372976826256,0.8258252916009308
FANG,0.5070326960344919,0.4677284753070814,0.8314828275226296,0.8604306678240533,True,True,80,89,0.9509252550825504,0.8525560615303759,2.7112655953144427,0.14338618269471198,-2.567879412619731,2.8546517780091545,-5.279145007934173,5.565917373323598,0.8958822032239049,0.8285091875984057
CPE,0.8701768583278238,0.7648495573905878,0.8155353246495339,0.8470194724855686,True,True,75,80,1.7095973207620678,1.4455789407204023,4.958772268532924,0.5521530368884751,-4.406619231644449,5.510925305421399,-9.365391500177372,10.469697573954322,0.7534051275276844,0.7666409393293343
MUR,0.5378756638895966,0.5770697850236501,0.8779966721331159,0.860877056373788,True,True,90,87,0.9260456785427411,1.0158445281370825,2.729979440474961,0.16983053984997673,-2.5601489006249842,2.899809980324938,-5.290128341099946,5.629789420799899,0.9046114574505293,0.8241713352938229
MRO,0.4486192610442881,0.41991425940847843,0.8864177006537722,0.9027538221609772,True,True,82,83,0.8256928640088553,0.7440106484007675,2.999492456362555,0.20423815541262996,-2.795254300949925,3.203730611775185,-5.79474675731248,6.203223068137739,0.9174307351474792,0.9181448104917792
FTI,1.0015176264243646,0.9980216583103187,0.47486997210377235,0.4900819805268509,True,True,84,83,1.8487556263753464,1.8277291457567573,2.8048289378146314,0.003480332111718652,-2.8013486057029127,2.80830926992635,-5.6061775435175445,5.613138207740981,0.4999178221997752,0.5094234482177598
HAL,0.38647232280899896,0.41265583228912595,0.8623654634596283,0.8571773466281983,True,True,76,86,0.7572914965449438,0.7359025810682451,2.619170727726859,0.13056898877542722,-2.488601738951432,2.7497397165022863,-5.107772466678291,5.3689104442291455,0.900713518715935,0.856449761652343
OVV,0.7499100697980359,0.7275647747205819,0.7106932845990899,0.718249517908542,True,True,89,85,1.336051590761989,1.324321340677375,3.9566870065867277,0.2687635488732636,-3.687923457713464,4.225450555459991,-7.644610464300191,8.18213756204672,0.8785696392944837,0.8297287731650111
SM,0.8363395313336534,0.7752291032295189,0.7727030107009307,0.7865106899859484,True,False,78,78,1.6727138524444853,1.5671231611219205,4.281012562611722,0.26823729249863687,-4.012775270113085,4.549249855110359,-8.293787832724808,8.83026241772208,0.8979543943598673,0.9005873461335815
OXY,0.5212781355043665,0.4922892589946772,0.8638893877733698,0.8749031493696242,True,True,83,85,0.9725377682457851,0.9119950501864752,3.0376234845463777,0.12410647490323072,-2.913517009643147,3.1617299594496084,-5.9511404941895245,6.199353443995986,0.8865267552338861,0.8548419339187516
ERF,0.5666532837851533,0.6083736063155954,0.8055199646064325,0.7819474908350729,True,True,78,82,1.1102987820035735,1.1618598845355455,2.3726543497859396,0.2293137619905442,-2.1433405877953953,2.601968111776484,-4.515994937581335,4.974622461562423,0.864308814821138,0.837117748540819
CHX,0.7697608898170111,0.8100947757401934,0.6409135454848314,0.6257391664345524,True,True,71,75,1.6068343967200798,1.6132510905090989,2.5434360128993525,0.05350087952677241,-2.48993513337258,2.596936892426125,-5.033371146271932,5.140372905325478,0.7441771494400338,0.7010454468847178
CNQ,0.3824787036478111,0.35366619098437596,0.8358070022062548,0.8633686079876381,True,True,85,90,0.7003280948958166,0.6112932769706201,2.249404130885974,0.11190122702460047,-2.1375029038613733,2.3613053579105743,-4.386907034747347,4.610709488796548,0.9000920397624732,0.8582111245264666
PXD,0.44342943530606266,0.40079012649651546,0.7155217165049135,0.7636295954691829,True,True,68,74,0.9618093026140597,0.8226016218075081,2.24842061476381,0.10202769578501328,-2.1463929189787967,2.350448310548823,-4.394813533742607,4.598868925312633,0.899067111728995,0.7997901873493536
BKR,0.39521545481307463,0.44807403458690553,0.828800477067599,0.7928959646669407,True,True,87,86,0.7122120729461426,0.8061793883115514,1.9753534933648411,0.026106949842620544,-1.9492465435222206,2.0014604432074616,-3.9246000368870617,3.9768139365723028,0.8698972186110031,0.7583684410130042
MGY,0.6610003966937735,0.6849891498900958,0.6452190889511111,0.6359113693312226,False,False,66,67,1.4787274763646396,1.5139115414543247,2.5158793912202713,0.17025838581640212,-2.3456210054038693,2.6861377770366732,-4.86150039662414,5.202017168256945,0.8267054087295298,0.7666487013848408
CPG,0.5847369415294174,0.5855488488215181,0.7882122876139912,0.7811812822171158,True,True,77,80,1.1499584611422093,1.141283670422575,3.2089657244736243,0.31068407443532886,-2.8982816500382955,3.519649798908953,-6.107247374511919,6.728615523382578,0.7562471201689792,0.8150868984275824
COP,0.35729725359238,0.37347782965337045,0.8372865066106476,0.8230555793734003,True,True,72,83,0.7481597792068139,0.7300441392098674,2.094896435318299,0.10372687931233475,-1.9911695560059643,2.198623314630634,-4.086065991324263,4.293519749948933,0.9233830781369561,0.8126999530857015
SLB,0.41322918691639576,0.43775027332690714,0.8413416054349422,0.83661922904121,True,True,79,83,0.791469687213643,0.7856238996614371,2.2075999632509684,0.09296977401344143,-2.114630189237527,2.30056973726441,-4.322230152488495,4.508169700515379,0.9186777549641418,0.8389230501839638
LBRT,0.8801573175659366,0.9333589263241285,0.5727700272303019,0.5462093477888292,False,False,79,72,1.7316412539784214,1.9396104949407988,2.3249969790502965,0.1307927355040613,-2.1942042435462352,2.4557897145543577,-4.519201222596531,4.780786693604655,0.7719232175665276,0.6969617385085123
MTDR,0.7699094253872113,0.7369117833112993,0.6859042945310434,0.7012428395844303,True,True,81,82,1.482485464814413,1.418905911875965,4.203149943737958,0.27559767743969266,-3.927552266298265,4.47874762117765,-8.130702210036223,8.681897564915609,0.8683235435406765,0.8730467410139419
