,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
MUR,0.5234639030244705,0.5604668813070481,0.8731221603414153,0.8571573413377109,True,True,86,82,0.9120023378444405,1.009336011268929,2.7481771092006286,0.14604215539132698,-2.6021349538093017,2.8942192645919556,-5.35031206300993,5.642396373792584,0.9119524917497533,0.8223683421637931
OXY,0.5107549339695148,0.49927495605106603,0.8679778057205036,0.8720982413638481,True,True,85,84,0.9381304909463006,0.9262743820626346,3.0435763674342944,0.12313710535220751,-2.9204392620820867,3.166713472786502,-5.964015629516381,6.210289840220796,0.8912893632710961,0.854094706922703
OVV,0.7841983494959679,0.7501241651368143,0.6614483425299196,0.6817913789305976,True,True,85,83,1.4010806492783858,1.3750726150453823,3.972442014693486,0.263823101373854,-3.708618913319632,4.23626511606734,-7.681060928013118,8.208707130760827,0.8795651311530016,0.8288573176612403
COP,0.3573458812852612,0.3681152724141796,0.8457697357788321,0.8207323030244199,True,True,79,78,0.6864243097247064,0.7374970736984571,2.1003592642855495,0.09175529170219754,-2.008603972583352,2.192114555987747,-4.1089632368689015,4.292473820273297,0.9338349949426403,0.8113722462024512
FANG,0.4983349929299491,0.46480877305678703,0.8366404041936966,0.8603397974424132,True,True,85,87,0.889676944231802,0.8544214134773399,2.723400355066097,0.1403467755320425,-2.583053579534054,2.8637471305981395,-5.306453934600151,5.587147485664236,0.9078905204991421,0.8272828327186428
CNQ,0.3783410975658866,0.3454940992277084,0.8297412621962004,0.8582932122541087,True,True,83,87,0.7001187219598806,0.6155698059154656,2.247798750832593,0.10857100555891072,-2.1392277452736823,2.3563697563915036,-4.387026496106275,4.604168507224097,0.909924597186437,0.8580327124586955
CHX,0.7752303281824287,0.8248197291401562,0.6323894785986647,0.6149545727027501,True,True,69,73,1.6547794623299499,1.6635650023768458,2.555008540532191,0.05600509600706411,-2.499003444525127,2.611013636539255,-5.0540119850573175,5.166022177071446,0.7479435847523896,0.7005933064205596
SM,0.8717820984593516,0.7873070241319619,0.7317725479691437,0.7614380315681591,False,False,71,73,1.8248339395526914,1.6532971112480523,4.278814823125941,0.25683972028222324,-4.021975102843718,4.535654543408165,-8.30078992596966,8.814469366534105,0.9029012381712527,0.9009729208581111
HES,0.353533334139814,0.33383127478227764,0.8729497336236824,0.8897274833932421,True,True,79,86,0.6804633981630491,0.6133614475132775,2.2754417196108774,0.09376934213839967,-2.1816723774724776,2.369211061749277,-4.457114097083355,4.644652781360154,0.9326383556987736,0.8596176046532945
APA,0.6275044302157159,0.54693816606498,0.8086669530690648,0.8438373662131332,True,True,83,84,1.152177105603427,1.0208341237232552,3.278006997731723,0.2422802915864245,-3.0357267061452986,3.5202872893181474,-6.313733703877022,6.79829428704987,0.834671101847803,0.824503498699126
