,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
CLR,0.5622939694464183,0.5815403781624463,0.6609185226455886,0.6602025114583835,False,False,59,70,1.3220497654889891,1.23027613645755,3.0643608227712664,0.14041998564134597,-2.9239408371299205,3.2047808084126124,-5.988301659901187,6.269141631183879,0.8742117167626324,0.852492774178981
MTDR,0.7656002652595413,0.7270082199055617,0.6635303658480647,0.6819662730173606,True,True,82,80,1.4235855352368039,1.3816373396540036,4.223373085379804,0.2910472943668581,-3.932325791012946,4.514420379746662,-8.15569887639275,8.737793465126467,0.8728872913223551,0.8750017727396266
BKR,0.37927933721628804,0.4398418281138223,0.8150832147184907,0.7685802928981064,True,True,80,83,0.708099995364156,0.7911219321059495,1.9719085665564688,0.03655163375575757,-1.9353569328007112,2.0084602003122263,-3.9072654993571803,3.980368766868695,0.8775169239309049,0.7556858631536021
HES,0.33744313179232704,0.34231586682858106,0.8724173975649012,0.8772769287658385,True,True,83,87,0.647529647908768,0.6203417995077769,2.2749067199977535,0.10216710863328486,-2.172739611364469,2.377073828631038,-4.447646331362222,4.651980548628792,0.939134281089989,0.858414855367209
OXY,0.4902080554037601,0.5152434224733329,0.8659812235553116,0.8580755175228295,True,True,75,84,0.9714813463494464,0.9452168052870752,3.04218090016732,0.12998270215172059,-2.9121981980155995,3.1721636023190403,-5.954379098182919,6.214344502486361,0.9011329966915932,0.8522526459366001
PXD,0.43620451547686,0.4081075283217376,0.7194326289033599,0.754103376393211,True,True,70,71,0.9121828581554814,0.836365238318948,2.2715224736289708,0.07987544612840725,-2.1916470275005633,2.351397919757378,-4.463169501129534,4.622920393386349,0.9237974661368564,0.7988299201894639
MRO,0.43806170809013145,0.42776758939602433,0.8792295712471576,0.8913532635502183,True,True,83,80,0.8062006762169545,0.7627666811292325,3.0096465089275215,0.1902820656912952,-2.819364443236226,3.199928574618817,-5.829010952163748,6.209575083546338,0.9239009502535309,0.9190175425669043
LBRT,0.8723715601549232,0.9126646446821488,0.5243773874021112,0.501175499175015,False,False,69,68,1.7982973138317664,1.9298317156285218,2.2948102069731093,0.13279692818509856,-2.162013278788011,2.427607135158208,-4.45682348576112,4.722417342131317,0.7798429987537074,0.697863576995216
SLB,0.41091495522762145,0.4390690287384545,0.8149587845741316,0.8109074417927141,True,True,77,84,0.7892063865038825,0.7753807480167633,2.205939177384285,0.09549051762593563,-2.110448659758349,2.3014296950102207,-4.316387837142634,4.507368872394506,0.9264833632642551,0.8353661168196438
CNQ,0.3838416703911443,0.3417600937666921,0.8148863885497376,0.8517340944706363,True,True,79,87,0.6988113215174624,0.6042684318195267,2.2486118219317404,0.11760929945180819,-2.1310025224799323,2.3662211213835485,-4.379614344411673,4.614832943315289,0.9137961419517885,0.8577380136997852
APA,0.5782465805287214,0.5506037037210724,0.8287834111926005,0.82946046926343,True,True,89,81,1.0156487990576264,1.0498817911556513,3.279814704824201,0.24549306112104816,-3.034321643703153,3.5253077659452488,-6.314136348527353,6.80512247076945,0.8365263017247884,0.8225206192984867
CPE,0.9433193192966257,0.7546036713176566,0.7534139634518048,0.8263438029059718,True,True,82,76,1.7673257883845035,1.4518637585411853,4.936701936414785,0.5423800453613131,-4.394321891053472,5.4790819817760985,-9.331023827468258,10.415783918190883,0.7585715212230815,0.7629580516600497
CHX,0.7911375117987012,0.8282001891557305,0.593267724764322,0.5843233088823996,True,True,71,74,1.6444276592256792,1.6546502807193746,2.536008045906126,0.06341762633646493,-2.472590419569661,2.5994256722425906,-5.008598465475787,5.135433718148716,0.7656218599648255,0.6960596934613186
NOV,0.47940698526972575,0.5172895444342612,0.6741198366945453,0.6347818216414175,True,False,68,75,0.9982087825329607,1.0444543084877798,2.3447372456152498,0.047542222368365104,-2.2971950232468847,2.392279467983615,-4.641932268862134,4.737016713598865,0.9142842964218113,0.7991302542063463
OVV,0.7867261290233746,0.7625639917128174,0.6084468197487174,0.6301303038672089,True,True,85,83,1.4144512469203565,1.3908299568860627,3.974352899537738,0.2707706917780389,-3.703582207759699,4.245123591315777,-7.677935107297437,8.219476490853515,0.8800464315048913,0.827775244056977
HAL,0.3935628854780905,0.41389604101687305,0.8332696793696558,0.8275572170408833,True,True,72,79,0.7942685337853675,0.7822384326669041,2.61941623115638,0.15202983630763006,-2.46738639484875,2.77144606746401,-5.08680262600513,5.39086229862039,0.909832194306511,0.8550081235190841
MUR,0.515211643623501,0.5656132060160007,0.8664678998051581,0.842911710031434,True,True,84,81,0.9081736039470526,1.0222019215082259,2.7219044948605537,0.15319722361610957,-2.568707271244444,2.8751017184766634,-5.290611766104998,5.597006213337217,0.9152000631942395,0.8195004577446676
SM,0.8235415970311042,0.7970916375318112,0.7332414563084599,0.7405023495800014,False,False,73,72,1.6884144171209572,1.6704066348465212,4.279163553313987,0.28279938780001007,-3.996364165513977,4.561962941113997,-8.275527718827965,8.841126494427984,0.9065548241950784,0.9003363115022236
