,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
CLR,0.5826542333758317,0.5878863346837752,0.6594486010640751,0.6742497235001534,False,False,61,70,1.3767697487242923,1.2744359195625474,3.0565811101498945,0.15140476623465043,-2.9051763439152443,3.207985876384545,-5.961757454065139,6.264566986534439,0.8666783129010234,0.8522105568228717
FANG,0.5043950404808762,0.4677284753071105,0.8307362369827738,0.8604306678240432,True,True,84,89,0.9256658438138095,0.8525560615304129,2.716296072001666,0.14795569495354705,-2.5683403770481186,2.864251766955213,-5.284636449049785,5.580547838956878,0.8971172741743401,0.8285091875984051
OVV,0.7577660814483413,0.7275647746841856,0.7090984565916458,0.7182495179322681,True,True,88,85,1.3433274122270324,1.3243213406134013,3.9566870065867277,0.26876354887326354,-3.687923457713464,4.225450555459991,-7.644610464300192,8.18213756204672,0.8776828662590767,0.8297287731650115
MTDR,0.7754222209513707,0.7369117833380366,0.6845624141028086,0.7012428395712904,True,True,77,82,1.520632756183301,1.4189059119173544,4.186364739689502,0.26566441012148334,-3.9207003295680183,4.452029149810985,-8.107065069257521,8.638393889500486,0.8700953791040464,0.8730467410139426
MGY,0.660809535171063,0.6849891498901939,0.6441540786776772,0.6359113693311851,False,False,66,67,1.4821602199927935,1.5139115414544764,2.5158793912202713,0.17025838581640212,-2.3456210054038693,2.6861377770366732,-4.86150039662414,5.202017168256945,0.8277151458694043,0.76664870138484
MRO,0.4506861736481093,0.4199142594087584,0.885808147510819,0.9027538221608548,True,True,82,83,0.8281231294658399,0.7440106484013013,2.9974002621515385,0.19831590894736462,-2.799084353204174,3.195716171098903,-5.796484615355713,6.193116433250442,0.9172962376790119,0.9181448104917792
ERF,0.5727867072695494,0.6083736063156167,0.8053332562231305,0.7819474908350582,True,True,79,82,1.1030718697079636,1.1618598845355814,2.3696799370883745,0.22374399897942915,-2.1459359381089453,2.5934239360678037,-4.51561587519732,4.963103873156178,0.8632465171219271,0.8371177485408193
HES,0.3490875343205963,0.3383398122276959,0.8796504485939725,0.893899327755247,True,True,82,90,0.6654639870302719,0.6089561152323589,2.276253100944222,0.10229515231509559,-2.1739579486291265,2.3785482532593174,-4.4502110495733485,4.654801354203539,0.9206909333098746,0.8600371576512837
CNQ,0.38406463377677225,0.3536661909836834,0.8360237831561902,0.863368607988233,True,True,82,90,0.7085966233602627,0.6112932769691763,2.2238510302175376,0.104336642235327,-2.1195143879822105,2.3281876724528647,-4.343365418199748,4.552038702670402,0.9083817370343439,0.8582111245264674
CRK,0.6337388777534747,0.7035244320908737,0.6015537107848532,0.5529455432935801,True,True,70,78,1.3763419792525513,1.379330045522971,2.269124157726058,0.0315601322610041,-2.237564025465054,2.3006842899870623,-4.5066881831911125,4.56980844771312,0.4607836127227374,0.6136589740812955
NOV,0.4201856982898859,0.4788658674319486,0.8463848387847501,0.8079516589703428,True,True,75,84,0.8303385423756839,0.889020511047614,2.3450157174448014,0.04334571258897521,-2.301670004855826,2.3883614300337768,-4.646685722300628,4.733377147478578,0.9162868737572354,0.8043058621002648
CPG,0.5834423719985785,0.5855488488215792,0.7959466491835909,0.7811812822202845,True,True,80,80,1.1266035658495865,1.1412836704091913,3.063186956961539,0.2823644245801831,-2.7808225323813556,3.345551381541722,-5.844009489342895,6.408738338503261,0.8043072397606406,0.8150868984275823
CPE,0.8658386990328343,0.7648495573849317,0.8179787495744821,0.8470194724861183,True,True,81,80,1.6364164036116777,1.4455789407143578,4.909873047600328,0.5376733093712482,-4.37219973822908,5.447546356971577,-9.282072785829408,10.357419404571905,0.7554106881487211,0.7666409393293354
CHX,0.7453048245638085,0.8100947757402334,0.6544171334196489,0.6257391664345255,True,True,68,75,1.612819772961754,1.613251090509173,2.5348366872020156,0.06209767228141612,-2.4727390149205997,2.5969343594834315,-5.007575702122615,5.131771046685447,0.7441867312599737,0.7010454468847177
SM,0.8348869520474653,0.7752291032267239,0.775432414193666,0.7865106899865765,True,False,77,78,1.6917285940956803,1.5671231611158185,4.2786390028074335,0.25853948989115866,-4.020099512916275,4.537178492698592,-8.298738515723707,8.815817495506026,0.8951830937251685,0.9005873461335812
SLB,0.3999752460600988,0.4377502733269124,0.8454866218167046,0.8366192290412063,True,True,77,83,0.7831611961144055,0.7856238996614449,2.2075999632509684,0.09296977401344143,-2.114630189237527,2.30056973726441,-4.322230152488495,4.508169700515379,0.919968534673413,0.8389230501839634
PXD,0.45584575210555983,0.4007901264965366,0.7136554087979167,0.7636295954691655,True,True,66,74,0.9881054056485763,0.8226016218076054,2.2473675709768623,0.09165974877274723,-2.155707822204115,2.3390273197496096,-4.403075393180978,4.5863948907264716,0.8977741007614346,0.7997901873493537
HAL,0.3803647140765503,0.41265583228912256,0.8671990208966406,0.8571773466281988,True,True,75,86,0.7436445245953602,0.7359025810682387,2.60021477169239,0.13425576433752578,-2.465959007354864,2.7344705360299155,-5.066173779047253,5.334685307722306,0.9056361266160673,0.8564497616523439
APA,0.5884622583830301,0.5475735019351268,0.8243318766464736,0.8448321621098763,True,True,84,85,1.1011031803641254,1.034057540399817,3.269176820854753,0.2621694317219934,-3.0070073891327596,3.5313462525767463,-6.2761842099875125,6.800523073431499,0.8258831510851603,0.8258252916009305
COP,0.3577652093380906,0.3734778296533683,0.8332526575584164,0.8230555793734105,True,True,70,83,0.7633367435544252,0.7300441392098393,2.085756672799403,0.09589257122663956,-1.9898641015727632,2.181649244026042,-4.075620774372166,4.267405916825445,0.9235830807046868,0.8126999530857014
OXY,0.5154897288029997,0.4922892589944912,0.8671618278056246,0.8749031493697582,True,True,83,85,0.961908560929169,0.9119950501865401,3.0296444536261506,0.13852124557916426,-2.891123208046986,3.168165699205315,-5.920767661673137,6.197810152831465,0.8887325844772946,0.8548419339187523
MUR,0.5353448766143338,0.577069785023516,0.8780584014095556,0.8608770563738448,True,True,86,87,0.9438409931256623,1.0158445281368764,2.726112422909585,0.1631861166054355,-2.5629263063041496,2.889298539515021,-5.289038729213735,5.615410962424606,0.9049074797497944,0.8241713352938225
BKR,0.3760770192353674,0.44807403458694367,0.8389202014680758,0.7928959646669087,True,True,83,86,0.7102291565800405,0.8061793883115903,1.9791329329700516,0.031426300567134725,-1.9477066324029169,2.0105592335371862,-3.926839565372968,3.989692166507238,0.8815565156037848,0.7583684410130032
LBRT,0.8721593718754016,0.9333589263241914,0.5815115339950605,0.5462093477887885,False,False,68,72,1.8500055733538312,1.9396104949409338,2.3243290707777016,0.1460414481805468,-2.178287622597155,2.4703705189582483,-4.502616693374856,4.79469958973595,0.7723080655276017,0.6969617385085123
