,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
OXY,0.5189567143128873,0.5087839751398378,0.8510407980025604,0.8586483104304647,True,True,78,84,1.0002646648233084,0.9338044340646057,3.042983279977452,0.11664825970344771,-2.926335020274004,3.1596315396808996,-5.969318300251456,6.2026148196583515,0.8940926536298872,0.8522516359508313
MGY,0.6192149800527948,0.65721579903543,0.6462196911355425,0.6310696982151005,False,False,69,65,1.3380298065765401,1.4431336319220698,2.488250372584146,0.18679827219742984,-2.301452100386716,2.675048644781576,-4.789702472970863,5.163299017365722,0.8393333583608649,0.7659911762673229
CRK,0.629599116785022,0.6921043253881936,0.5722111341008849,0.5220981772159978,True,True,73,73,1.316746893480246,1.3976085506916687,2.2893960568828633,0.03080202080756987,-2.2585940360752934,2.320198077690433,-4.547990092958157,4.609594134573296,0.4545187627697036,0.6080534770470578
MUR,0.5322508002819968,0.5646157338949921,0.8651946366012943,0.8421074612303063,True,True,86,81,0.9033568537715677,1.0220372741890487,2.7121367432089953,0.15340284882073363,-2.558733894388262,2.865539592029729,-5.270870637597257,5.577676335238724,0.9145656014140231,0.8198744826549718
CLR,0.5508208468187996,0.580509473927423,0.6534900932762027,0.6588880536185879,False,False,62,70,1.2770081428480695,1.230264739749858,3.067277686612684,0.12376154552678757,-2.943516141085896,3.1910392321394716,-6.01079382769858,6.258316918752155,0.8703368583892163,0.8524916406247366
APA,0.5881543990104009,0.5525108796583629,0.804049663210567,0.8281172365511653,True,True,74,81,1.1669649291206141,1.0498774655307794,3.278905207510649,0.24009478793240088,-3.0388104195782484,3.5189999954430498,-6.317715627088897,6.797905202953699,0.841449001778736,0.8224883282004238
CHX,0.7867540271500721,0.8219556654281309,0.5843336068814997,0.5827031244279,True,True,70,73,1.6751542928489667,1.6535273017082812,2.5373411004770143,0.06277228957009702,-2.4745688109069173,2.6001133900471114,-5.011909911383932,5.137454490524125,0.7559576302197587,0.6960354952729004
ERF,0.5757679731731982,0.6200772588960766,0.7557416936120293,0.7265404068399723,True,True,78,84,1.1152134080340357,1.162484267191218,2.350479007696114,0.22311460140212222,-2.127364406293992,2.573593609098236,-4.477843413990105,4.9240726167943505,0.8673727074681594,0.8356847326602861
HES,0.3541364850553965,0.3396546161492839,0.8628726414900251,0.8768682027219208,True,True,76,86,0.6835942674748854,0.61988000685649,2.2732908595009285,0.10238505137331336,-2.170905808127615,2.375675910874242,-4.444196667628543,4.6489667703751705,0.9306639528946268,0.8584132921877199
LBRT,0.8630743988385196,0.9128672035968708,0.5269855066705976,0.49771544751545105,False,False,66,68,1.827808688928493,1.929693062189595,2.303120501402926,0.1286153826915769,-2.174505118711349,2.431735884094503,-4.477625620114275,4.734856385497429,0.7761860006688219,0.6964637375289437
OVV,0.793751088312701,0.7613528093685646,0.5935379581868085,0.627812350608147,True,True,87,83,1.4262931285507794,1.3905500867566343,3.9715156058180567,0.2711806908619146,-3.700334914956142,4.242696296679972,-7.671850520774199,8.214211902498029,0.8795038818090871,0.8274651466300751
FANG,0.5077789182760354,0.46760578914133294,0.8114631158003403,0.8453643352505139,True,True,82,86,0.9399425600278959,0.8550316551378477,2.715750583815363,0.15002316394508108,-2.565727419870282,2.865773747760444,-5.2814780036856455,5.581524331575807,0.904300250753088,0.8251396896083587
FTI,1.0555193700095253,1.0058412262137282,0.4036368400092727,0.46389212919338196,True,True,80,83,1.968876768452812,1.817761414395309,2.7888399552707517,-0.011262759217961181,-2.800102714488713,2.7775771960527904,-5.588942669759464,5.5664171513235425,0.5284625300829718,0.5059269164238402
CPE,0.8752374100359909,0.7525915319014155,0.7847555748014676,0.8259109045009716,True,True,77,77,1.6826604995224155,1.4426737403252403,4.9479784725246185,0.526794774093326,-4.421183698431292,5.474773246617945,-9.369162170955912,10.422751719142562,0.7526287017180255,0.762954037475309
MTDR,0.7526081111344126,0.7270675411551759,0.6596733125256242,0.6787528506058755,True,True,77,80,1.484827132542734,1.3817066284929698,4.227314390156694,0.27990355351840285,-3.9474108366382916,4.507217943675097,-8.174725226794985,8.734532333831792,0.8747988747913813,0.8750003033561299
NOV,0.47865238414190936,0.5131380001191488,0.677248533708608,0.6325083822142754,True,False,70,75,0.9777662373238556,1.037878745516486,2.3430739450029856,0.04790241026543182,-2.2951715347375536,2.3909763552684176,-4.638245479740539,4.734050300271403,0.9155870824393815,0.7991293776538215
MRO,0.4256648084341129,0.42616078374867916,0.8814035998467626,0.8912132565961599,True,True,80,79,0.7915969756478175,0.7663178941909943,3.0030097119189425,0.19808405161592257,-2.80492566030302,3.201093763534865,-5.807935372221962,6.204103475453808,0.9283084673926555,0.9190146240479294
PXD,0.45305610017205256,0.40817668299821935,0.7125946813340527,0.7530564510830986,True,True,68,71,0.9325510677482804,0.8363412551955255,2.2699205460170253,0.08024570336120343,-2.1896748426558217,2.350166249378229,-4.459595388672847,4.620086795395254,0.9036393500825723,0.7988230507676846
SLB,0.3908990495119828,0.4364027304913965,0.829697341579409,0.8098700333317075,True,True,76,83,0.7493829116586351,0.7763198201136252,2.204381681873223,0.09578941987260807,-2.108592262000615,2.300171101745831,-4.312973943873838,4.5045527836190535,0.9298851311902352,0.8353616341704071
SM,0.8511463065303925,0.795482946944453,0.7207216936410203,0.7382415742201678,False,False,74,72,1.7389999860516667,1.670595715946725,4.282973157652198,0.2692458216345543,-4.013727336017644,4.552218979286752,-8.296700493669842,8.83519213693895,0.8989818235094376,0.9003231527481348
COP,0.36163427294028644,0.3811274889471056,0.8254731561587516,0.7922508867412857,True,True,75,81,0.715451842521012,0.739448546353848,2.0959425643971623,0.10404911370521085,-1.9918934506919515,2.199991678102373,-4.087836015089114,4.295934242499535,0.9336371504774009,0.8085740901423943
CNQ,0.37235463689107523,0.3430225978264092,0.8201571280899868,0.8501759424148021,True,True,83,87,0.6764104851779319,0.6042816042124071,2.249338790022212,0.11314222507072355,-2.1361965649514882,2.3624810150929356,-4.3855353549737,4.6118198051151476,0.9112233810102524,0.8577114560410083
BKR,0.3599452432851495,0.43568247697592133,0.827372967707297,0.769110975360719,True,True,81,84,0.6757592285546216,0.7770480549219949,1.970588043677998,0.03724840015188888,-1.933339643526109,2.007836443829887,-3.903927687204107,3.9784244875078847,0.8836644965158099,0.7556461375214129
