,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
NOV,0.4205027049326411,0.47886586743189785,0.8490348039335402,0.8079516589703771,True,True,78,84,0.8132473003739727,0.8890205110475401,2.3450157174448014,0.04334571258897522,-2.301670004855826,2.3883614300337768,-4.646685722300628,4.733377147478578,0.9174759734811379,0.804305862100265
CLR,0.5527862687685952,0.587886334683743,0.6850316666624581,0.674249723500208,False,False,61,70,1.3159787746737803,1.2744359195625141,3.049332939802369,0.14245426378397108,-2.906878676018398,3.19178720358634,-5.9562116158207665,6.241120143388709,0.8732660938234645,0.8522105568228724
APA,0.5742219132660609,0.5475735019351224,0.8363145000022179,0.8448321621098779,True,True,85,85,1.0612312673331725,1.0340575403997925,3.269176820854753,0.2621694317219933,-3.0070073891327596,3.5313462525767463,-6.2761842099875125,6.800523073431499,0.8314249755385865,0.8258252916009308
CRK,0.683163248906184,0.7035244320908673,0.5727618979345172,0.5529455432935856,True,True,77,78,1.355243821160549,1.37933004552296,2.2660874115979563,0.02609893901721709,-2.2399884725807393,2.2921863506151734,-4.506075884178696,4.55827376221313,0.46956734713432924,0.613658974081296
FANG,0.4909671908366265,0.467728475307146,0.8446819857170633,0.8604306678240309,True,True,81,89,0.9174945562971129,0.8525560615304576,2.713488635868892,0.14198302621419212,-2.5715056096547,2.855471662083084,-5.284994245523592,5.568960297951977,0.9160288634044621,0.8285091875984052
CPE,0.882288924714839,0.7648495573927889,0.8151293835770762,0.8470194724853548,True,True,83,80,1.639479025206844,1.4455789407227542,4.908836281354167,0.5297466461039005,-4.379089635250266,5.438582927458067,-9.287925916604433,10.347419208812234,0.7568802590071162,0.7666409393293351
MUR,0.5257538960980512,0.5770697850234584,0.8818809856232288,0.8608770563738694,True,True,89,87,0.9181069444567723,1.0158445281367883,2.726112422909585,0.1631861166054355,-2.5629263063041496,2.889298539515021,-5.289038729213735,5.615410962424606,0.9114384476818186,0.8241713352938226
MRO,0.4332607709709713,0.41991425941279836,0.890704878713468,0.9027538221590885,True,True,88,83,0.7864031824809729,0.7440106484090013,2.9974002621515385,0.19831590894736462,-2.799084353204174,3.195716171098903,-5.796484615355713,6.193116433250442,0.9198837538963887,0.9181448104917794
FTI,1.0096055197696392,0.9980216583103309,0.4673315629106852,0.4900819805268396,True,True,89,83,1.8068141276516705,1.8277291457567812,2.7934573623925507,-0.021100795369491006,-2.8145581577620415,2.77235656702306,-5.608015520154592,5.565813929415611,0.5026073285008639,0.5094234482177598
HAL,0.3729713179898988,0.4126558322891263,0.869246521830014,0.8571773466281983,True,True,82,86,0.7053880753763452,0.7359025810682457,2.60021477169239,0.13425576433752578,-2.465959007354864,2.7344705360299155,-5.066173779047253,5.334685307722306,0.907758164802648,0.8564497616523429
OVV,0.775094084870088,0.7275647746790833,0.683998493851009,0.7182495179355941,True,True,88,85,1.4047377451789815,1.324321340604433,3.9580140774598895,0.26202094083940214,-3.6959931366204875,4.220035018299292,-7.6540072140803765,8.178049095759182,0.8780271897206573,0.8297287731650121
SM,0.8195752001406076,0.7752291032283926,0.7739255170458508,0.7865106899862014,True,False,78,78,1.6462724067869248,1.5671231611194616,4.2615921163717685,0.2707639477320272,-3.9908281686397413,4.532356064103796,-8.25242028501151,8.793948180475564,0.9022066915590919,0.9005873461335808
OXY,0.525777132208807,0.4922892589954301,0.8615877156662,0.8749031493690814,True,True,88,85,0.9588544584412291,0.9119950501862114,3.026212165957283,0.13156352031902652,-2.8946486456382567,3.1577756862763096,-5.9208608115955395,6.183987852233593,0.8902136761596844,0.8548419339187532
ERF,0.5628859780944836,0.6083736063156003,0.8072644821007794,0.7819474908350695,True,True,77,82,1.1246078553686703,1.1618598845355537,2.3696799370883745,0.22374399897942918,-2.1459359381089453,2.5934239360678037,-4.51561587519732,4.963103873156178,0.8677248004021697,0.8371177485408193
CHX,0.7743820302976496,0.8100947757401982,0.6280071076623528,0.6257391664345493,True,True,64,75,1.7364693005796235,1.6132510905091075,2.5348366872020156,0.06209767228141614,-2.4727390149205997,2.5969343594834315,-5.007575702122615,5.131771046685447,0.7593698884241102,0.7010454468847176
CNQ,0.3532170132523844,0.35366619098144453,0.8593489896687729,0.8633686079901564,True,True,88,90,0.6435158380586025,0.6112932769645096,2.2238510302175376,0.10433664223532702,-2.1195143879822105,2.3281876724528647,-4.343365418199748,4.552038702670402,0.9171456725088882,0.8582111245264661
PXD,0.42632141514189326,0.40079012649652296,0.748794351551551,0.7636295954691767,True,True,83,74,0.8162545609313725,0.8226016218075424,2.2473675709768623,0.09165974877274725,-2.155707822204115,2.3390273197496096,-4.403075393180978,4.5863948907264716,0.9262699508728456,0.7997901873493536
BKR,0.3909207014110285,0.44807403458698114,0.8345714338460652,0.7928959646668774,True,True,81,86,0.726144645027199,0.806179388311628,1.9753534933648411,0.026106949842620554,-1.9492465435222206,2.0014604432074616,-3.9246000368870617,3.9768139365723028,0.8765021098240742,0.7583684410130038
MGY,0.6707611376665028,0.6849891498901931,0.6350173257294816,0.6359113693311853,False,False,64,67,1.5537451190422986,1.5139115414544753,2.5158793912202713,0.17025838581640212,-2.3456210054038693,2.6861377770366732,-4.86150039662414,5.202017168256945,0.8475957550887279,0.7666487013848413
CPG,0.5835427559567271,0.5855488488215628,0.7883191112800272,0.7811812822194325,True,True,77,80,1.148807922226223,1.1412836704127898,3.056805415398806,0.2737871704377612,-2.7830182449610446,3.330592585836567,-5.83982366035985,6.387398001235373,0.8108736026724687,0.8150868984275819
COP,0.33377976643279283,0.3734778296533681,0.8559977254923559,0.8230555793734113,True,True,71,83,0.716753709911902,0.7300441392098368,2.085756672799403,0.09589257122663959,-1.9898641015727632,2.181649244026042,-4.075620774372166,4.267405916825445,0.9409854022150741,0.8126999530857014
SLB,0.42429278199525383,0.4377502733269103,0.8436810959672394,0.8366192290412078,True,True,79,83,0.782280985345951,0.7856238996614416,2.2075999632509684,0.09296977401344143,-2.114630189237527,2.30056973726441,-4.322230152488495,4.508169700515379,0.9308437367659722,0.8389230501839641
LBRT,0.8982332684180073,0.93335892632418,0.5825549979679239,0.5462093477887959,False,False,77,72,1.7622009859967793,1.9396104949409094,2.332971620628139,0.12793969912381795,-2.205031921504321,2.4609113197519568,-4.53800354213246,4.7938829403800955,0.7823047530674172,0.6969617385085127
MTDR,0.757239791268402,0.7369117833056918,0.6951594767518574,0.7012428395871859,True,True,79,82,1.467162263950494,1.418905911867285,4.186364739689502,0.26566441012148334,-3.9207003295680183,4.452029149810985,-8.107065069257521,8.638393889500486,0.8716328119738264,0.8730467410139431
