,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
MUR,0.5123041480993692,0.5604668813070581,0.8814089081882783,0.8571573413377068,True,True,93,82,0.8637782427822094,1.0093360112689436,2.727965508967908,0.14113558120626393,-2.586829927761644,2.869101090174172,-5.314795436729552,5.59706659914208,0.9131188380224652,0.8223683421637934
OXY,0.5105238532798284,0.4992749560499486,0.8668568607807527,0.8720982413646988,True,True,89,84,0.9262516778134394,0.9262743820614864,3.048518307353721,0.1035645175399277,-2.9449537898137934,3.152082824893649,-5.993472097167515,6.20060113224737,0.8889984661528332,0.854094706922703
OVV,0.7740630293301816,0.7501241651328068,0.6628855023479323,0.6817913789335828,True,True,88,83,1.3804497029337697,1.3750726150381478,3.9728400935834722,0.2641281459548854,-3.708711947628587,4.236968239538357,-7.6815520412120595,8.20980833312183,0.8771222124310518,0.8288573176612397
COP,0.36387721264139267,0.3681152724141824,0.8431861407817002,0.8207323030244342,True,True,81,78,0.6847358646384325,0.7374970736984172,2.1003592642855495,0.09175529170219751,-2.008603972583352,2.192114555987747,-4.1089632368689015,4.292473820273297,0.9341881714787756,0.8113722462024507
FANG,0.516031467752173,0.46480877305673524,0.827424523498187,0.8603397974424326,True,True,88,87,0.9158055981322611,0.854421413477264,2.716670255670162,0.13973423403840401,-2.576936021631758,2.856404489708566,-5.293606277301921,5.573074745378728,0.9065455993000389,0.8272828327186434
CNQ,0.3799712072415319,0.34549409923283286,0.8283704616520315,0.8582932122495455,True,True,79,87,0.716134564534044,0.6155698059261547,2.2500444395167656,0.10364519974967681,-2.1463992397670886,2.3536896392664426,-4.396443679283855,4.603734078783208,0.9099210830360341,0.8580327124586953
CHX,0.7689902796743748,0.824819729140176,0.6425177934234466,0.6149545727027361,True,True,71,73,1.5935176122396746,1.6635650023768895,2.5472124496397965,0.045061311213232064,-2.5021511384265644,2.5922737608530286,-5.049363588066361,5.139486210492825,0.7544874351368644,0.7005933064205588
SM,0.855232155338085,0.7873070241385757,0.7404299498920328,0.7614380315658902,False,False,75,73,1.7498462549627232,1.653297111265833,4.285532290826433,0.24395114732434647,-4.0415811435020865,4.52948343815078,-8.32711343432852,8.815015728977212,0.8992118828339141,0.9009729208581108
HES,0.36263389854858685,0.3338312747822775,0.8742853333538825,0.8897274833932421,True,True,84,86,0.6650668037464849,0.6133614475132775,2.2780359475288714,0.08857552424703084,-2.1894604232818407,2.366611471775902,-4.467496370810712,4.644647419304774,0.9342365614662852,0.8596176046532944
APA,0.5981424962188586,0.546938166064986,0.8224610835375346,0.8438373662131317,True,True,87,84,1.0842154743796848,1.0208341237232739,3.2794421107215967,0.22847470244814103,-3.050967408273456,3.5079168131697376,-6.330409518995053,6.787358923891334,0.8302736630012295,0.8245034986991262
CLR,0.5897022695103973,0.5976493245981958,0.6388512857834359,0.6544545995062755,False,False,67,67,1.3087736602697395,1.3133890969517763,3.05949723093508,0.12179921656036626,-2.9376980143747136,3.181296447495446,-5.997195245309793,6.240793678430526,0.8674137314962427,0.8513011573219955
MTDR,0.7790930871284362,0.7397471769577046,0.6639149952580502,0.6852695331400214,True,True,78,81,1.5226507528562494,1.4185060383611765,4.218567508852401,0.259918008195155,-3.958649500657246,4.478485517047556,-8.177217009509647,8.697053025899958,0.8686716541029531,0.874183519826266
