,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
APA,0.6048944113292197,0.5429587541004839,0.8030391680595084,0.8324286901143311,True,True,86,85,1.0984831609042156,1.0129361118733704,3.2652457144839624,0.25030855366174626,-3.014937160822216,3.5155542681457086,-6.280182875306179,6.780799982629671,0.8290074158662528,0.8228790838313016
CLR,0.5952972930384104,0.5864445596604738,0.6348101998902638,0.6568214325162227,False,False,65,71,1.3262360885479914,1.2429299398315952,3.050389034959555,0.13449576145349557,-2.915893273506059,3.1848847964130504,-5.9662823084656145,6.235273831372605,0.8711468867266206,0.8520938515166403
HES,0.37907737385096374,0.3385434327441845,0.8402568074283224,0.8798432727965593,True,True,77,87,0.7397180434111412,0.6181583656687134,2.269409795002393,0.0987933591741266,-2.1706164358282662,2.3682031541765194,-4.440026230830659,4.637612949178912,0.9358266966209775,0.8587749468067098
SM,0.8697546468900196,0.7858255483698078,0.7187018043819323,0.7447342857573807,False,False,73,72,1.7974265456005407,1.66104369447438,4.264496743026397,0.26729566279058947,-3.997201080235808,4.5317924058169865,-8.261697823262205,8.796289148843384,0.9031745024833575,0.9005145181676577
MTDR,0.8177556383394498,0.7303386088286539,0.6248005581931896,0.6782380776846687,True,True,76,81,1.5816163594675405,1.3924049889644712,4.207336994080823,0.2774574319920872,-3.9298795620887357,4.48479442607291,-8.137216556169559,8.692131420153732,0.8705417862018199,0.8745927428903006
NOV,0.45701966492973156,0.4803323452418545,0.8060573563029322,0.783403350299869,True,True,84,83,0.8378071756890032,0.8956873946414633,2.3406749267021443,0.04492685478580074,-2.2957480719163437,2.385601781487945,-4.636422998618488,4.726276708190089,0.9159490654563016,0.7994041989968159
CNQ,0.3762980746159994,0.34183456146935265,0.8222753177028083,0.851757664065861,True,True,82,87,0.6960776559509221,0.6096265046105958,2.242411171003228,0.116743798033317,-2.1256673729699114,2.359154969036545,-4.368078543973139,4.601566140039774,0.909381480356354,0.8570814311433924
OXY,0.5192502595349341,0.503155876423811,0.8461122978427517,0.8611954210486987,True,True,82,84,0.9718187896781129,0.9337757217202675,3.02896449759353,0.1313394666217186,-2.8976250309718115,3.160303964215249,-5.926589528565342,6.189268461808779,0.8923826514287535,0.8522430344006339
LBRT,0.8613131716469755,0.9188976737150482,0.5296929192576652,0.5030834902383441,False,False,69,70,1.8051222649170673,1.9241038115788411,2.2964421106526176,0.13249752094895298,-2.1639445897036644,2.428939631601571,-4.460386700356282,4.725381742254188,0.7798998179735472,0.6971697045933287
CPE,0.8957243568806711,0.7565090537800334,0.7760388778866314,0.8252824237070084,True,True,78,78,1.7017985009849093,1.4459395352369293,4.919245927335969,0.5348211400898786,-4.384424787246091,5.454067067425847,-9.30367071458206,10.373312994761816,0.7559614635500868,0.7629966661253859
HAL,0.37901356102451406,0.4039114819472666,0.85048125897244,0.8423296575696155,True,True,70,83,0.7720611433677559,0.7379104356668076,2.6059967810248374,0.1464587786427679,-2.4595380023820694,2.7524555596676055,-5.065534783406907,5.358452340692443,0.9095363030796884,0.85509390374567
FANG,0.5337298597531167,0.4666159488558866,0.7802742051932601,0.8482579566978562,True,True,78,87,1.0259794311263895,0.8587266193622535,2.7103762004003222,0.1402993845821091,-2.5700768158182132,2.8506755849824312,-5.2804530162185355,5.5610517853827535,0.914305581288133,0.825615841895009
ERF,0.564990093357407,0.6065231389666786,0.7708474160130049,0.745454948172098,True,True,77,85,1.1041931056810546,1.1295456442558414,2.3519510942008015,0.21065330129206053,-2.141297792908741,2.562604395492862,-4.493248887109543,4.914555489693663,0.8694219875145833,0.8358820680280248
CRK,0.6564577775273597,0.6985371270116867,0.5525946475323017,0.5293986362929597,True,True,78,73,1.3384570588307998,1.4111897218221388,2.278028446266371,0.03459852931414225,-2.2434299169522287,2.312626975580513,-4.521458363218599,4.5906554218468845,0.4588508795234041,0.6087924193266462
