,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
OXY,0.5102748269379752,0.508783975139121,0.8582511136617118,0.8586483104311826,True,True,79,84,0.9684761984858782,0.9338044340633089,3.0439833856736573,0.14530563414471237,-2.898677751528945,3.1892890198183697,-5.942661137202602,6.233272405492027,0.9033891323934945,0.8522516359508316
MGY,0.6342582107312932,0.657215799035257,0.6383118894376698,0.6310696982151835,False,False,68,65,1.3698863847527034,1.4431336319217642,2.491752527391684,0.18065129007692146,-2.311101237314763,2.6724038174686053,-4.802853764706446,5.16415634486029,0.8444756724767278,0.7659911762673229
CRK,0.628704945985655,0.692104325388209,0.5737142028658742,0.5220981772159837,True,True,73,73,1.3116923437083965,1.3976085506916947,2.2816060758240173,0.036219455437650205,-2.245386620386367,2.3178255312616676,-4.526992696210384,4.599431607085685,0.4521929104421798,0.6080534770470576
MUR,0.54252243967409,0.5646157338949809,0.8527262326124174,0.8421074612303113,True,True,84,81,0.9536782009768325,1.022037274189033,2.7367387816293363,0.16516123642563074,-2.5715775452037057,2.901900018054967,-5.308316326833042,5.638638799684303,0.9131203451994521,0.8198744826549728
CLR,0.5394646657636311,0.5805094739274208,0.6625667243121665,0.6588880536185898,False,False,59,70,1.2821806007983794,1.230264739749856,3.0588183432255165,0.1334298645968467,-2.92538847862867,3.192248207822363,-5.984206821854186,6.25106655104788,0.8720429949505395,0.8524916406247369
APA,0.5742047726212218,0.5525108796583609,0.8205594243321431,0.8281172365511632,True,True,82,81,1.0887315894849394,1.0498774655307623,3.278232913567634,0.2684380996304893,-3.0097948139371447,3.5466710131981234,-6.288027727504779,6.824903926765757,0.8434382733885561,0.8224883282004235
CHX,0.8113127290092932,0.8219556654281716,0.5750001919390215,0.5827031244278689,True,True,70,73,1.7048253535257931,1.6535273017083765,2.545183249846529,0.07380069435703249,-2.4713825554894964,2.6189839442035616,-5.016565805336025,5.164167194050091,0.7488890057201159,0.6960354952729002
ERF,0.5741276551652676,0.6200772588960761,0.7543784925502617,0.7265404068399726,True,True,81,84,1.0942751802198614,1.1624842671912172,2.3571036352600903,0.22253817476781582,-2.1345654604922744,2.579641810027906,-4.491669095752365,4.936745445287996,0.8709819196202749,0.8356847326602876
HES,0.3536635230363398,0.3396546161492933,0.862380986745743,0.8768682027219141,True,True,77,86,0.6734898485261169,0.6198800068565054,2.2732908595009285,0.10238505137331336,-2.170905808127615,2.375675910874242,-4.444196667628543,4.6489667703751705,0.9313092818616896,0.8584132921877208
LBRT,0.8731010580051255,0.9128672035968888,0.520861376282544,0.49771544751543895,False,False,70,68,1.792161895233762,1.9296930621896322,2.295279561253708,0.1365602759423344,-2.1587192853113732,2.4318398371960424,-4.4539988465650815,4.72711939844975,0.7744697276321079,0.6964637375289437
OVV,0.7783526527266265,0.7613528093565575,0.6209311171958476,0.6278123506183979,True,True,85,83,1.3849452169763161,1.390550086735238,3.973285663843147,0.2784226850164742,-3.6948629788266727,4.251708348859621,-7.668148642669819,8.224994012702767,0.8817747390765446,0.8274651466300756
FANG,0.5034345037441711,0.4676057891413808,0.8142339445535733,0.8453643352504931,True,True,81,86,0.9434572705639536,0.8550316551379222,2.7142536251995586,0.1434098108638287,-2.57084381433573,2.8576634360633872,-5.2850974395352885,5.571917061262946,0.909078596968925,0.8251396896083579
HAL,0.3828225569853285,0.41244079724189436,0.8357852654917711,0.82627854086414,True,True,75,78,0.776382004973178,0.7839119596134941,2.611431851719388,0.15141235661106928,-2.4600194951083187,2.762844208330457,-5.071451346827707,5.374276060049845,0.9200569771513708,0.8549876172891484
FTI,1.042064221890224,1.005841226213691,0.4053213638136819,0.4638921291934113,True,True,78,83,1.993757185003658,1.8177614143952578,2.7888399552707517,-0.011262759217961198,-2.800102714488713,2.7775771960527904,-5.588942669759464,5.5664171513235425,0.53038427327593,0.50592691642384
CPE,0.8119252246116806,0.7525915318959345,0.8079781386645841,0.8259109045018018,True,True,75,77,1.6049745311821901,1.4426737403181051,4.933118162632934,0.5424037653977084,-4.390714397235226,5.475521928030642,-9.32383255986816,10.408640090663576,0.7606580973122317,0.7629540374753092
MTDR,0.7031859497675911,0.7270675411509888,0.6779650079768043,0.6787528506078957,False,True,68,80,1.5242251798803685,1.3817066284868218,4.220358432203966,0.29085346877896484,-3.929504963425001,4.511211900982931,-8.149863395628968,8.731570333186896,0.8892397349497225,0.8750003033561305
NOV,0.49096313470627445,0.5131380001191568,0.6683013337378846,0.6325083822142732,True,False,68,75,1.0178099998714878,1.0378787455164946,2.3430739450029856,0.0479024102654318,-2.2951715347375536,2.3909763552684176,-4.638245479740539,4.734050300271403,0.9118391486249822,0.7991293776538211
PXD,0.4450326479311068,0.4081766829982225,0.7139376941015811,0.7530564510830978,True,True,70,71,0.9040909759629221,0.8363412551955363,2.271743520612165,0.08496421999198306,-2.1867793006201817,2.356707740604148,-4.4585228212323464,4.628451261216313,0.90480709050395,0.7988230507676847
SLB,0.39971883957082893,0.43640273049140893,0.8257335188987074,0.8098700333317026,True,True,77,83,0.762334045045731,0.7763198201136318,2.204381681873223,0.09578941987260804,-2.108592262000615,2.300171101745831,-4.312973943873838,4.5045527836190535,0.925133535883262,0.835361634170407
SM,0.8206665889764743,0.7954829469341498,0.7275505378894795,0.7382415742235833,False,False,68,72,1.7744010644260542,1.6705957159216014,4.273869987362623,0.2741477620261442,-3.999722225336479,4.548017749388768,-8.273592212699102,8.82188773675139,0.9063332819303438,0.9003231527481342
COP,0.3574394449244015,0.38112748894710874,0.8274268458355639,0.7922508867412893,True,True,76,81,0.6995590287519463,0.7394485463538389,2.0959425643971623,0.10404911370521085,-1.9918934506919515,2.199991678102373,-4.087836015089114,4.295934242499535,0.9338799424940926,0.8085740901423939
CNQ,0.37159997676488776,0.3430225978294681,0.8185974716229195,0.8501759424118911,True,True,80,87,0.6929672959814309,0.6042816042183442,2.245388417211932,0.12268878442611594,-2.122699632785816,2.3680772016380476,-4.3680880499977475,4.61346561884998,0.9100228506935615,0.8577114560410092
