,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
LBRT,0.8922576545982103,0.9382109183268567,0.569255152033894,0.541714931939088,False,False,74,73,1.7864860931579603,1.9288444544109211,2.3314745364376503,0.11840726286634523,-2.2130672735713053,2.4498817993039954,-4.544541810008956,4.781356335741646,0.77453268436798,0.6981017103878111
FTI,1.0331193841065616,1.0118571027415106,0.4498508416476823,0.48342362454404186,True,True,76,83,2.004895191301786,1.8440596132936264,2.7881272119558167,-0.02446308655429996,-2.8125902985101168,2.7636641254015166,-5.600717510465933,5.551791337357334,0.5309956853709136,0.5076959978188043
CPE,0.8767820438762428,0.7599313805728352,0.8121871963633054,0.8481840322621412,True,True,75,78,1.748343965778165,1.4647408307499228,4.9319273673790684,0.5211094649592304,-4.410817902419838,5.453036832338299,-9.342745269798906,10.384964199717368,0.7576779753441991,0.7658619035381704
MRO,0.4104842953404926,0.4281410441175891,0.8968412658275279,0.9011278173872055,True,True,84,82,0.7679682335119773,0.7605511730238463,3.004155421164722,0.18735421250447923,-2.8168012086602428,3.1915096336692015,-5.820956629824965,6.195665054833923,0.9333429558088768,0.9197562029251362
OVV,0.696910228031974,0.7455922030908071,0.7253329599632561,0.7075802557521222,True,True,86,84,1.2740989704522152,1.3648336099989349,3.971029728536717,0.27489125433117495,-3.696138474205542,4.245920982867892,-7.667168202742259,8.216950711404609,0.8946001381991261,0.8292502000692128
CRK,0.6284202889105922,0.7074686377725151,0.6119433658699516,0.5554723161954255,True,True,71,77,1.3461554552709998,1.3877453963832322,2.2895495286248186,0.02189684080204233,-2.2676526878227765,2.3114463694268608,-4.557202216447595,4.600995898051679,0.4637134038920553,0.6117239738482838
SLB,0.3983919186826337,0.43488905588290416,0.8521324851627925,0.8379927750795193,True,True,78,84,0.7613434955949926,0.7784740082198657,2.2119591375421113,0.08840914023248463,-2.1235499973096266,2.300368277774596,-4.335509134851738,4.512327415316707,0.9239309765653068,0.8383627936135032
CNQ,0.3654994660665463,0.3522490198871892,0.8498499068967362,0.8623346611540688,True,True,81,89,0.6925988354021411,0.6201244103661205,2.2515826895548536,0.10345393348453523,-2.1481287560703186,2.3550366230393887,-4.399711445625172,4.606619312594242,0.914778410745327,0.8584914950582234
HES,0.34303467353446515,0.3303433214872151,0.8881024059309971,0.898298494267465,True,True,76,88,0.6617727101085664,0.60158897306463,2.2794299711881303,0.09529147442919535,-2.184138496758935,2.374721445617326,-4.4635684679470655,4.654151416805456,0.9319970408438163,0.8609640105090164
APA,0.5697419400128162,0.5478135052120515,0.8412286027619331,0.8511510052858933,True,True,83,85,1.0800343460560597,1.0227696706980771,3.27831612854523,0.24219915334051345,-3.0361169752047164,3.5205152818857433,-6.314433103749947,6.798831410430973,0.8342533812826841,0.8252004376045237
