,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
CLR,0.5502723353292066,0.5815403781624391,0.6533201371480052,0.66020251145839,False,False,64,70,1.2482473042758935,1.2302761364575439,3.0610181239264533,0.13344208453705972,-2.9275760393893937,3.194460208463513,-5.988594163315847,6.255478332389966,0.8732383013663021,0.8524927741789797
MTDR,0.766069086967015,0.7270082199121891,0.6611995498259071,0.681966273014166,True,True,76,80,1.482959060686279,1.3816373396638393,4.223373085379804,0.29104729436685817,-3.932325791012946,4.514420379746662,-8.15569887639275,8.737793465126467,0.8701531938279006,0.8750017727396259
BKR,0.3774404857475361,0.439841828113813,0.8110881596332691,0.7685802928981148,True,True,80,83,0.7163513495987888,0.7911219321059413,1.977472284983899,0.042812829920833705,-1.9346594550630654,2.0202851149047327,-3.912131740046964,3.997757399888632,0.8779276260401159,0.7556858631536008
FANG,0.5087542962353597,0.46574340082262927,0.8143410452911543,0.8465083282427469,True,True,76,86,0.9832523286831737,0.853852358197927,2.7161037920463382,0.14254563300103396,-2.5735581590453043,2.858649425047372,-5.2896619510916425,5.57475321709371,0.9081182752432494,0.8251908967591337
HES,0.35178651964822755,0.34231586682856135,0.8659463001380809,0.8772769287658524,True,True,76,87,0.6728477822540111,0.620341799507744,2.2749067199977535,0.10216710863328486,-2.172739611364469,2.377073828631038,-4.447646331362222,4.651980548628792,0.9310324454168468,0.8584148553672091
OXY,0.5082768232993771,0.51524342247232,0.8601200480396531,0.8580755175238259,True,True,84,84,0.9361102695916518,0.9452168052852431,3.04375668380763,0.13130971387275928,-2.9124469699348707,3.1750663976803897,-5.956203653742501,6.218823081488019,0.8905398159581204,0.8522526459366
PXD,0.4368616411783402,0.4081075283217334,0.7247388600026066,0.7541033763932118,True,True,64,71,0.9475031713213407,0.8363652383189355,2.2715224736289708,0.07987544612840723,-2.1916470275005637,2.3513979197573778,-4.463169501129534,4.622920393386349,0.9078458633440881,0.7988299201894634
MRO,0.4684912249182838,0.42776758939776766,0.8684679680066281,0.8913532635493835,True,True,80,80,0.8536975260091137,0.7627666811329279,3.0178271846998266,0.20466612305108314,-2.8131610616487435,3.2224933077509097,-5.83098824634857,6.240320492450737,0.9227958884259349,0.9190175425669048
LBRT,0.8549482432675118,0.9126646446821465,0.5376283518253407,0.5011754991750166,False,False,70,68,1.7606926447360174,1.9298317156285174,2.2948102069731093,0.1327969281850985,-2.162013278788011,2.427607135158208,-4.45682348576112,4.722417342131317,0.7782068664675499,0.6978635769952157
SLB,0.40991822882412027,0.43906902873844583,0.8197561271953291,0.8109074417927177,True,True,75,84,0.7899803854803639,0.775380748016758,2.2059391773842845,0.09549051762593559,-2.1104486597583487,2.30142969501022,-4.316387837142633,4.507368872394505,0.9239407804487487,0.8353661168196437
