,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
CPG,0.5957135245740807,0.5841338105460472,0.7812845686877199,0.7818769156863441,True,True,81,80,1.1583820033731835,1.1460974171419682,3.210793760136599,0.31552738036294775,-2.895266379773651,3.5263211404995465,-6.10606013991025,6.737114900636145,0.7586428615991309,0.814509920304805
CHX,0.7581250873373274,0.81201301753927,0.6459551409283915,0.6245687007929989,True,True,72,74,1.5766881841901597,1.6264488213683552,2.5344443140910338,0.06107505759549102,-2.473369256495543,2.5955193716865246,-5.007813570586577,5.129963685777558,0.7515348221502949,0.7020022185742405
MUR,0.5305271531960449,0.57386819426159,0.8814608584642399,0.8626407113556742,True,True,91,86,0.9169038473571801,1.017669033759204,2.7325450450097275,0.1544790268494756,-2.5780660181602517,2.8870240718592033,-5.310611063169979,5.619569116868931,0.9122395635283167,0.8232656719583612
BKR,0.36155294910705416,0.444958847928594,0.8467352271054648,0.7970572150342918,True,True,74,85,0.7315480481179076,0.8039574953906325,1.9744557297956171,0.03305740701100041,-1.9413983227846168,2.0075131368066175,-3.915854052580234,3.9819688666022346,0.8900448508989983,0.7590599839456028
MRO,0.4436651247688636,0.4192885032527829,0.8914326708795496,0.905445310941071,True,True,82,84,0.8120968673932606,0.7369718095830396,3.0013569680040297,0.19903074113091124,-2.8023262268731184,3.200387709134941,-5.803683194877149,6.20174467713897,0.9204734980749231,0.9200084059693006
MTDR,0.7875123839093731,0.7473207805684775,0.6790600895542322,0.699967511675508,True,True,80,82,1.5207708657389323,1.4293325924629878,4.202562750605517,0.2785693340102697,-3.923993416595247,4.481132084615786,-8.126556167200764,8.683694835221303,0.8694691003029673,0.8742405927338253
LBRT,0.8733606645160591,0.934373212312482,0.5821657453556024,0.5482718227119232,False,False,72,73,1.7852646676592319,1.922661845047709,2.322300070326579,0.13345567606624992,-2.1888443942603293,2.455755746392829,-4.511144464586908,4.778055816719408,0.7792602702382044,0.6986151226961184
CNQ,0.3783953111523744,0.3527070779629265,0.8430642099662112,0.8649675896469674,True,True,83,91,0.6970270569952255,0.6135055933284372,2.2456026191737335,0.10930767248043104,-2.1362949466933023,2.3549102916541647,-4.381897565867036,4.600512910827898,0.912002062516531,0.858625943361871
CLR,0.5700255110878326,0.5871752254062278,0.6704172120937013,0.6784314326733085,False,False,61,72,1.3520015423678082,1.2536844519590749,3.0528658117724166,0.14206826700504263,-2.910797544767374,3.194934078777459,-5.96366335653979,6.247799890549876,0.8709163793743242,0.8525388022970835
SLB,0.37857313969706013,0.4307270672637886,0.8655749750092459,0.8400981040641949,True,True,81,83,0.7163193764128419,0.7778152193439379,2.208998865655764,0.09346750132481409,-2.11553136433095,2.3024663669805783,-4.324530229986714,4.5114652326363425,0.9322543904254543,0.8385824052777692
FTI,0.9959271730260295,0.9940128672280063,0.47601942901651795,0.49321380935347914,True,True,80,82,1.9001435407046074,1.838155609903045,2.7831664712775646,-0.020193736507499352,-2.803360207785064,2.762972734770065,-5.5865266790626285,5.54613920604763,0.5380209624323575,0.5081111577837978
FANG,0.500001667614813,0.46643377908470063,0.836187502383716,0.8629217348099711,True,True,85,90,0.9075666950186465,0.8437141108513692,2.7186632231942998,0.13680525540058158,-2.5818579677937183,2.855468478594881,-5.300521190988018,5.574131701789181,0.9055909422381415,0.8287407581662252
PXD,0.4485103417029361,0.40359700972207324,0.7289392900981293,0.7690044192935468,True,True,68,76,0.9505596942272594,0.8139060441397454,2.264257344395211,0.0883428733229426,-2.1759144710722684,2.352600217718154,-4.44017181546748,4.616857562113365,0.9043030251709235,0.8002475597311925
SM,0.8428556165192973,0.7799245953796003,0.7616952031662609,0.7773721257482283,False,False,78,75,1.7021525711992656,1.631617708491405,4.266698222378402,0.2749711126048043,-3.9917271097735973,4.541669334983206,-8.258425332152,8.808367557361608,0.9023606012205291,0.901637095708924
COP,0.34714104008169994,0.3675114099020518,0.8568637360900871,0.8288826258400575,True,True,78,81,0.6777846937266931,0.7232735568328992,2.097411846372758,0.1026866019212644,-1.9947252444514934,2.200098448294022,-4.092137090824251,4.29751029466678,0.9366245033798024,0.8131077870258323
APA,0.5944301170068877,0.5525127722002903,0.8334205526127094,0.8488249216789128,True,True,85,86,1.0895252244979274,1.0259869028735114,3.27045401001508,0.2560197226724478,-3.014434287342632,3.5264737326875277,-6.284888297357712,6.796927742702607,0.8309234641515911,0.8252024761127977
OVV,0.7624606508332882,0.7339185008173749,0.7009023100447214,0.7194531852799952,True,True,89,86,1.3565479300035244,1.3290035501283888,3.9610504426762767,0.2692223797237683,-3.691828062952508,4.230272822400045,-7.652878505628785,8.191323265076322,0.8772074653525722,0.829473968863142
ERF,0.5556402478322995,0.6096158211710943,0.813368698914078,0.781332936080255,True,True,82,84,1.0626210282086237,1.1573645239072508,2.38276334648319,0.20696844630855807,-2.175794900174632,2.589731792791748,-4.558558246657822,4.972495139274938,0.865108162532061,0.8380957492884981
HES,0.3395007166711011,0.3345382705190224,0.8922280775129677,0.8965029384572173,True,True,78,88,0.645803985039738,0.6116507355664452,2.278274257577439,0.10279998297691903,-2.17547427460052,2.381074240554358,-4.4537485321779595,4.659348498131797,0.9340904841118014,0.86098741485488
MGY,0.6429441030977439,0.684787123836671,0.6569583754627352,0.6360346822428636,False,False,69,67,1.4058967600701087,1.513194162076003,2.496350371220533,0.18352995773449693,-2.312820413486036,2.67988032895503,-4.809170784706569,5.176230700175563,0.8412540966639784,0.7652058009033755
CPE,0.9038494943004584,0.7588483223166167,0.8054344528611406,0.8478732397000719,True,True,81,78,1.7070719394936686,1.4691135379017224,4.914098061037294,0.5287138911547804,-4.385384169882514,5.442811952192075,-9.299482230919809,10.356910013229369,0.7569781058983678,0.7659711257153076
CRK,0.6492667443245834,0.7061709153556198,0.5973596910174348,0.5522011879229191,True,True,72,78,1.3532921622530112,1.382869185560909,2.277908460753572,0.03569408375837285,-2.2422143769951988,2.313602544511945,-4.5201228377487706,4.591511005265517,0.4628492225013917,0.614653590427219
OXY,0.5144565594635473,0.4996429056354301,0.8689629343444252,0.8742804582734471,True,True,87,85,0.9434465567555057,0.9312957901019836,3.0331883039534557,0.12384196261881386,-2.9093463413346417,3.15703026657227,-5.942534645288098,6.190218570525725,0.8911150054646371,0.8543823024071895
HAL,0.36905186953212654,0.4089354811862587,0.8757034845743008,0.8598099744711751,True,True,78,84,0.7082670327756921,0.741492704016593,2.6128339419536997,0.14381386788156725,-2.4690200740721324,2.756647809835267,-5.081854016025832,5.369481751788967,0.9125484493988293,0.8577340605072776
