,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
HES,0.3682950859061266,0.34024168545830724,0.8500013060986777,0.8771648306737149,True,True,77,86,0.7135415066312236,0.6182104273822573,2.2744817083727042,0.0955236327620745,-2.17895807561063,2.3700053411347786,-4.453439783983334,4.644487049507483,0.9294297706042353,0.8584112559427239
BKR,0.37174628254677555,0.43364300294336433,0.8167658194903322,0.7730474556492237,True,True,80,85,0.699662579451346,0.767775727713296,1.9753985283762105,0.041579265889275366,-1.9338192624869353,2.016977794265486,-3.9092177908631456,3.9923763226416966,0.8769275491477044,0.755857463030055
LBRT,0.852248187298912,0.9116386796748353,0.5278562503404269,0.4971202446042764,False,False,74,68,1.7116449480170537,1.9269769518084365,2.3017849911471195,0.14091950685756308,-2.1608654842895563,2.442704498004683,-4.462650475436676,4.744489489151802,0.7740473001917851,0.6967642453404854
OXY,0.5197388500488159,0.5100245537016513,0.8515352135147994,0.8571651687295436,True,True,78,84,0.985214157941518,0.934466022841304,3.0316836079734,0.1399970517205252,-2.891686556252875,3.1716806596939255,-5.9233701642262755,6.203364267667325,0.8894420027813426,0.8521039184815599
CRK,0.6139119090829743,0.6884427009819541,0.5836479973865005,0.5244722456022322,True,True,70,72,1.3090571458273552,1.4030773915571815,2.2799877554649433,0.035686587715064735,-2.2443011677498785,2.315674343180008,-4.524288923214821,4.595662098644952,0.4630813423173834,0.608251855276386
MTDR,0.6773799709352206,0.7283958051900944,0.6895590497097787,0.6734328944064594,False,True,80,79,1.333116370516215,1.3977348748814344,4.221359438587068,0.2909513838431545,-3.9304080547439133,4.512310822430222,-8.151767493330981,8.73367026101729,0.888687140265108,0.8744889006919089
PXD,0.476843348457083,0.4066835421237653,0.6865073335186068,0.7529406733110028,True,True,74,73,0.9541211018605414,0.8247841623582566,2.2685025078307053,0.07910427124623894,-2.1893982365844664,2.347606779076944,-4.457900744415172,4.616109286907649,0.9087300431575357,0.7987093709404389
SLB,0.4167642671730706,0.4363697124519812,0.8098559357406079,0.8106033285830285,True,True,78,82,0.789787215113679,0.7787617501190391,2.203317940335898,0.09401220529645914,-2.1093057350394386,2.297330145632357,-4.312623675375336,4.500648085968255,0.9232662179729559,0.8353718984072418
CPE,0.8461759879245777,0.7508712471981196,0.7924142728077602,0.826290122817336,True,True,79,77,1.6290749271395897,1.4410437331602,4.920758465666611,0.55258267267178,-4.3681757929948315,5.473341138338391,-9.288934258661442,10.394099604005003,0.7620990739626885,0.7629728261493658
APA,0.6079825777328562,0.5493230331577645,0.7968163841141526,0.8265773493384277,True,True,83,82,1.1183344774235455,1.0356328375630166,3.27240307489878,0.25985784475012713,-3.012545230148653,3.5322609196489068,-6.284948305047433,6.804663994547687,0.8282308885339961,0.8222744354436538
CHX,0.7821446391713277,0.8253853042720153,0.6019891818216345,0.5829707937389755,True,True,69,74,1.6426063320486075,1.6417965496342488,2.5419002430520483,0.08447871905198609,-2.457421524000062,2.6263789621040345,-4.999321767052111,5.168279205156082,0.7434384028135228,0.6962138220530842
MRO,0.43005707362313556,0.42942471412964134,0.8866381534186956,0.8891483135483371,True,True,84,79,0.7710041645329776,0.7726574003330846,3.0082173708037243,0.2041484412715104,-2.804068929532214,3.2123658120752348,-5.812286300335939,6.220583182878959,0.9225751870047998,0.9189010511191323
COP,0.3644942156330173,0.3751809463513218,0.8139150441439875,0.7989822919458831,True,True,75,80,0.7359667459488706,0.7330706168675925,2.094681060705372,0.10288612997580968,-1.9917949307295622,2.1975671906811813,-4.086475991434934,4.292248251386553,0.932217024197375,0.8084590497162716
ERF,0.570663971506972,0.609150404133527,0.7719040528371071,0.7387300062593163,True,True,80,83,1.0688158414051023,1.144513283165902,2.3516645359130353,0.22865940269336854,-2.123005133219667,2.5803239386064036,-4.474669669132702,4.931988474519439,0.8712995738643975,0.836206327616167
MUR,0.5239584257300319,0.5622001175155321,0.8655195419369676,0.8422258060727471,True,True,89,81,0.8943176516393937,1.0222186070985908,2.7266990301504865,0.16396684759341992,-2.562732182557067,2.8906658777439063,-5.289431212707553,5.617364907894393,0.9071055447701668,0.8199378211184261
CLR,0.5680833387929142,0.5857206615368339,0.6419822938492998,0.6529298366572739,False,False,62,70,1.3121679567049682,1.2460523570932311,3.0566246728823327,0.13354026139366448,-2.9230844114886683,3.1901649342759972,-5.979709084371001,6.24678960715833,0.86884176420969,0.8518750571572478
CNQ,0.3770774580038401,0.3362586112028162,0.8140887050917853,0.8587924532015151,True,True,78,87,0.7098218727632128,0.5894557290343105,2.2415636540209243,0.12354552869200773,-2.1180181253289168,2.365109182712932,-4.359581779349841,4.606672836733856,0.9075504682712106,0.8565415494561108
SM,0.8438151892100334,0.7924452490179027,0.7241221197932937,0.7395732634066283,False,False,74,72,1.7268725092763995,1.6643916382482047,4.268123867359576,0.27996086224331085,-3.9881630051162653,4.548084729602887,-8.256286872475842,8.816208596962463,0.9013764630564184,0.9002728415537822
FANG,0.5118463652656152,0.4713613525817991,0.8145807716920089,0.8452086040092742,True,True,82,86,0.9271455753081556,0.8557303417766874,2.7106941040773487,0.14551105674438888,-2.56518304733296,2.8562051608217374,-5.275877151410309,5.566899264899086,0.9065035350264847,0.8252384650181769
HAL,0.39866883751892424,0.41670083017837156,0.8252177834491843,0.8245592727351103,True,True,73,80,0.8150074967150417,0.7834086039893309,2.6105348115963865,0.14870365650521894,-2.4618311550911676,2.7592384681016053,-5.072365966687554,5.369773279697992,0.9123509849602514,0.8548566521916899
NOV,0.4561902923752507,0.4742865894103611,0.8040967855828849,0.779539278607068,True,True,80,82,0.84785068695669,0.8939423716676662,2.3427681603239057,0.04486886760769942,-2.297899292716206,2.3876370279316053,-4.640667453040112,4.730405188255511,0.911519275255826,0.7989365871613703
MGY,0.6046824762139188,0.6535458677262844,0.6477635203168228,0.6305129159182569,False,False,71,65,1.3048730942273707,1.4369203430928972,2.4874088749454595,0.18419911394611574,-2.303209760999344,2.671607988891575,-4.790618635944803,5.159016863837035,0.8427831674102901,0.7660372898707338
FTI,1.039902467048823,1.0234907259549595,0.418660647553169,0.457210773627718,True,True,78,82,1.9848516980992945,1.8587626003091555,2.7915186577293265,-0.017389757663664927,-2.8089084153929913,2.7741289000656617,-5.600427073122318,5.565647557794988,0.5317108426681696,0.5049744902984346
