,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
FANG,0.48803033924943207,0.4668877548986039,0.8477457926904272,0.8642533686075473,True,True,82,89,0.9068019931655709,0.846935887418,2.7261698807139423,0.13607904953959438,-2.590090831174348,2.8622489302535365,-5.31626071188829,5.588418810967479,0.9173198854046194,0.8287317533495777
SLB,0.3895484472354141,0.43511258354683796,0.856288610607697,0.8383338903116906,True,True,79,83,0.7451042016507508,0.7825956795733918,2.211277741638526,0.09072167892340881,-2.120556062715117,2.301999420561935,-4.331833804353644,4.513277162200461,0.9267392231506377,0.8384840413455178
MUR,0.5292931012300385,0.571485869378404,0.8848831210425749,0.8636436064366577,True,True,92,86,0.8903203540051693,1.0066046713407577,2.748769603185472,0.14791056850618584,-2.6008590346792864,2.8966801716916577,-5.349628637864758,5.64544977487713,0.9128168966011517,0.8233597359352623
HES,0.3501997940253781,0.3355532355406892,0.8839238083795615,0.896110823692963,True,True,78,88,0.6722964720717143,0.6115921735348334,2.276952269777173,0.10426526707612782,-2.1726870027010454,2.381217536853301,-4.449639272478218,4.658169806630474,0.932488414942813,0.8608065460199588
APA,0.5951503630068685,0.5516509270797584,0.8356400638029442,0.8510214536568155,True,True,89,85,1.0786749762025747,1.0293468731637923,3.2804911141209887,0.23946580248224011,-3.0410253116387485,3.519956916603229,-6.321516425759738,6.800448030724217,0.842788443394569,0.825238587412618
MTDR,0.7908608083354022,0.7524009043769062,0.6802718659027003,0.6990234144963922,True,True,72,81,1.5762297191078618,1.4410406377069307,4.215444034996034,0.280162863771098,-3.9352811712249363,4.495606898767132,-8.15072520622097,8.711050933763167,0.8742037103535052,0.8745183587233627
SM,0.84384433282334,0.7886422535598685,0.7603437820390418,0.7728914639947636,False,False,75,74,1.7313146906371708,1.6641593017711056,4.2948061285373305,0.2600943294824825,-4.034711799054848,4.554900458019813,-8.329517927592178,8.849706586557144,0.9040986884934967,0.9017452862606713
CHX,0.7984043509297098,0.8173570920124922,0.6291889067931731,0.6264627002692222,True,True,73,75,1.6324850007490104,1.6184883259550333,2.5545868823593705,0.04878583767374579,-2.5058010446856245,2.6033727200331165,-5.060387927044995,5.157959602392487,0.7551851271418257,0.70187286693593
BKR,0.3812688059380979,0.44065315257993054,0.8375157094987121,0.8007158682198665,True,True,81,84,0.7151607942752843,0.7979858258145905,1.9758860399067233,0.029293464099168866,-1.9465925758075544,2.005179504005892,-3.9224786157142777,3.9810655439126155,0.8788840633111445,0.7593943096076164
ERF,0.5559398110027844,0.6118556321036255,0.8142976751444047,0.7814808562312985,True,True,79,84,1.0812426588282922,1.1573618428360637,2.391340079068356,0.22003154301693995,-2.171308536051416,2.611371622085296,-4.562648615119771,5.002711701153652,0.8693641976940787,0.8379383544728329
CLR,0.5642269115629346,0.5913939638855003,0.6693236452085448,0.676004496914441,False,False,66,69,1.2763618961236554,1.2886834090877042,3.0678180121353336,0.14736082721340063,-2.9204571849219327,3.2151788393487344,-5.988275197057266,6.282996851484068,0.8703099142902715,0.8524228249970549
NOV,0.4430535887491723,0.4795280720928404,0.8366922551527727,0.808650284498479,True,True,80,84,0.8309597942592383,0.8905820537399155,2.34947101438762,0.049817009701650816,-2.2996540046859693,2.3992880240892704,-4.649125019073589,4.748759038476891,0.9148695448972396,0.8032687580761751
LBRT,0.8889375202088414,0.9395289508542806,0.5744651035752127,0.5434497484100758,False,False,72,73,1.8072513863714694,1.9290232062619492,2.3612085724100993,0.10027503668032592,-2.2609335357297735,2.461483609090425,-4.622142108139872,4.822692181500525,0.7619825889872376,0.6982545008946158
HAL,0.3793991317387823,0.4071502459585465,0.870622097485545,0.8611810513747115,True,True,74,84,0.7523508284000688,0.7380121891503375,2.627121851773276,0.12262022689191877,-2.504501624881357,2.749742078665195,-5.131623476654633,5.376863930438471,0.9135220594652211,0.8577767225804154
CPE,0.8882849777547103,0.763263294668293,0.8131045635847135,0.8474430710843122,True,True,83,79,1.6337332829587705,1.4610862409357979,4.9923143078542065,0.4657197394791781,-4.526594568375028,5.458034047333385,-9.518908876229235,10.450348355187591,0.7490917661768282,0.7657996344410257
COP,0.35377953703169907,0.3717505930794417,0.8535130202159632,0.8256890946950777,True,True,81,81,0.6736024677831525,0.7303956026010084,2.0993171861380113,0.10029353170994147,-1.99902365442807,2.199610717847953,-4.098340840566081,4.298927903985964,0.9343579502477332,0.8129635890045086
MRO,0.4366745418064644,0.42500573715216444,0.8934260031739293,0.902231463056379,True,True,83,82,0.7986993422579233,0.7573191887438558,3.0105201900039473,0.19381707301585085,-2.8167031169880965,3.204337263019798,-5.827223306992043,6.214857453023746,0.929861587319763,0.9198018013273118
CRK,0.6464408420784842,0.709749611925945,0.5994741294284389,0.5525493168103335,True,True,75,78,1.3345213317514053,1.3836133841891656,2.291505590071913,0.0267774806841395,-2.2647281093877734,2.3182830707560527,-4.556233699459686,4.609788660827966,0.4617535300928377,0.6115367746044813
CNQ,0.3877189558047095,0.3535222720914099,0.8356062482034521,0.8625651726456098,True,True,78,90,0.727128520989101,0.6183206543021638,2.2526541960024273,0.11043655015560336,-2.142217645846824,2.3630907461580306,-4.394871841849251,4.615744942160458,0.9108794505114061,0.8585609939007361
MGY,0.626156792157037,0.6600502900840839,0.6747984777207467,0.6628566008382333,False,False,66,69,1.388910008900326,1.4181341210725518,2.5030522389139485,0.17367836409068818,-2.3293738748232604,2.6767306030046365,-4.832426113737209,5.179782841918585,0.8473669555038599,0.7709395848787423
OVV,0.7762866191437275,0.7459548995275502,0.6849078615401374,0.708744777578138,True,True,89,84,1.3892921625410892,1.3648754802456453,3.969685879073742,0.2654887088163743,-3.7041971702573675,4.235174587890116,-7.67388304933111,8.204860466963858,0.8782483360745359,0.8293436671931745
PXD,0.44851783150575736,0.40962518628733097,0.7288013322371487,0.7645212696467274,True,True,66,71,0.9702707661498797,0.8530399709745503,2.2641833904691158,0.09033462687620647,-2.1738487635929093,2.354518017345322,-4.438032154062025,4.618701407814438,0.9051045380988064,0.8000613189784975
FTI,1.0246084189469367,1.0069542700683722,0.45934996493618196,0.48573421996938637,True,True,82,83,1.9093191689286488,1.842855883877452,2.7979986843233053,0.0019613633795443086,-2.796037320943761,2.7999600477028497,-5.594036005267067,5.597958732026155,0.5328624241541333,0.5078657668692208
