,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
CPE,0.9580959022084244,0.7648495574041555,0.7827350781698885,0.8470194724842502,True,True,79,80,1.8364677966160379,1.4455789407349011,4.908836281354167,0.5297466461039005,-4.379089635250266,5.438582927458067,-9.287925916604433,10.347419208812234,0.7594198651847468,0.7666409393293345
MGY,0.7138777633022102,0.6849891498901947,0.6139909896017466,0.6359113693311846,False,False,63,67,1.6196318130402048,1.5139115414544777,2.5158793912202713,0.17025838581640215,-2.3456210054038693,2.6861377770366732,-4.86150039662414,5.202017168256945,0.8422241469584382,0.7666487013848404
HAL,0.3823935274015041,0.41265583228913405,0.8649299886652777,0.8571773466281974,True,True,77,86,0.7430610697193887,0.7359025810682605,2.610622199470089,0.1437098209616736,-2.4669123785084155,2.7543320204317627,-5.077534577978505,5.364954219901851,0.9020418140847933,0.8564497616523439
CPG,0.5931271825299291,0.5855488488215385,0.7799764310665329,0.7811812822181671,True,True,76,80,1.186591147695894,1.1412836704181348,3.2089657244736243,0.3106840744353288,-2.8982816500382955,3.519649798908953,-6.107247374511919,6.728615523382578,0.7580523959036138,0.8150868984275819
FANG,0.5116714525540559,0.46772847530715245,0.8195182366880055,0.8604306678240285,True,True,77,89,0.9928458589076461,0.8525560615304657,2.715528632400297,0.13651944602515811,-2.579009186375139,2.852048078425455,-5.294537818775436,5.567576710825752,0.9192319810570565,0.8285091875984049
MTDR,0.7689379550772768,0.7369117833455162,0.6912459456345472,0.7012428395676147,True,True,80,82,1.4789363766887142,1.4189059119289327,4.198180183672713,0.2787909950519827,-3.9193891886207304,4.476971178724696,-8.117569372293444,8.67515136239741,0.869105523232065,0.8730467410139434
OXY,0.49994419860743405,0.49228925899446624,0.8707352109555178,0.8749031493697762,True,True,82,85,0.9461060309964073,0.911995050186549,3.029372262222876,0.12477721622342967,-2.904595045999446,3.1541494784463056,-5.933967308222322,6.183521740669181,0.8902684838718083,0.8548419339187504
CNQ,0.3688100354312106,0.3536661909808727,0.8424911241068302,0.8633686079906476,True,True,85,90,0.6754265430648674,0.6112932769633174,2.247170368655541,0.11677000636538175,-2.130400362290159,2.3639403750209227,-4.3775707309457,4.611110743676464,0.906735614067213,0.858211124526466
FTI,1.0010149462631395,0.9980216583103155,0.4641641347741142,0.49008198052685414,True,True,86,83,1.8520095593295733,1.8277291457567502,2.7934573623925507,-0.021100795369491002,-2.8145581577620415,2.77235656702306,-5.608015520154592,5.565813929415611,0.5038430359625748,0.50942344821776
MRO,0.4482761653315049,0.4199142594098651,0.8854907305655044,0.9027538221603709,True,True,90,83,0.7929384713988684,0.7440106484034106,2.999492456362555,0.20423815541262993,-2.795254300949925,3.203730611775185,-5.79474675731248,6.203223068137739,0.9185110933699572,0.9181448104917789
COP,0.34852503248492844,0.3734778296533695,0.8359583869793501,0.8230555793734048,True,True,71,83,0.7562356724840593,0.7300441392098552,2.094896435318299,0.10372687931233471,-1.9911695560059643,2.198623314630634,-4.086065991324263,4.293519749948933,0.9320960406788723,0.8126999530857018
OVV,0.8127549887765513,0.7275647747062955,0.6594174901104214,0.718249517917855,True,True,85,85,1.4623991261114426,1.3243213406522638,3.9566870065867277,0.2687635488732636,-3.687923457713464,4.225450555459991,-7.644610464300191,8.18213756204672,0.8829250985876317,0.8297287731650123
HES,0.33299303777129197,0.3383398122276934,0.8837296772366576,0.8938993277552485,True,True,82,90,0.6499529642627591,0.608956115232355,2.2762531009442215,0.10229515231509557,-2.173957948629126,2.378548253259317,-4.450211049573348,4.6548013542035385,0.9399944654389044,0.8600371576512837
MUR,0.5406162906075491,0.5770697850235822,0.8786335395171926,0.8608770563738168,True,True,87,87,0.9347306721684054,1.0158445281369781,2.729631328567466,0.15674511374958902,-2.572886214817877,2.8863764423170553,-5.302517543385343,5.616007770884521,0.9107056432551582,0.8241713352938222
CHX,0.7948891231390541,0.8100947757401032,0.6288356848204337,0.6257391664346127,True,True,70,75,1.6544429337331332,1.6132510905089326,2.5424937095628652,0.05390113259372053,-2.4885925769691446,2.596394842156586,-5.03108628653201,5.138888551719451,0.7487417079828432,0.7010454468847171
BKR,0.3983201305186387,0.4480740345869474,0.827950871117431,0.7928959646669056,True,True,85,86,0.7217162654842627,0.8061793883115939,1.9753534933648411,0.026106949842620547,-1.9492465435222206,2.0014604432074616,-3.9246000368870617,3.9768139365723028,0.8710807822141173,0.7583684410130046
