,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
OXY,0.5091048997393066,0.5058355788015932,0.8571746683221825,0.8576056939970806,True,True,79,84,0.9724350105897744,0.933761432569405,3.0294673848332785,0.14007743088574445,-2.889389953947534,3.169544815719023,-5.918857338780812,6.199012200552302,0.8936116241321159,0.8521520826512013
HES,0.3628826681008487,0.3399588158253249,0.8523714159059855,0.8766894892743078,True,True,82,87,0.6889950285428778,0.6173722541248736,2.2706431581087907,0.09990220507365245,-2.1707409530351383,2.370545363182443,-4.441384111143929,4.641188521291234,0.9374283220901183,0.8580292247139578
FTI,1.0287948443838555,1.022323808855003,0.4266015250478592,0.45660040947332914,True,True,80,83,1.9423970570423346,1.849133236568508,2.7897081092763005,-0.018646105101060757,-2.808354214377361,2.77106200417524,-5.598062323653662,5.56077011345154,0.5283104689255409,0.5048694317740223
BKR,0.3694859957167993,0.4331829832531136,0.8200803636072828,0.7712559912896545,True,True,72,85,0.7200824846526286,0.7708745144356554,1.9684372558344532,0.035400657660929445,-1.9330365981735238,2.0038379134953828,-3.901473854007977,3.9722751693298357,0.8914057259039443,0.7556510017913458
HAL,0.37698201199906484,0.41503599983505773,0.8433426001993769,0.8250576861637671,True,True,75,80,0.741370631712245,0.7798414733282346,2.6086983051408668,0.14817876313829817,-2.4605195420025687,2.756877068279165,-5.0692178471434355,5.3655753734200315,0.918789549160298,0.8549066778520822
LBRT,0.8372045271872655,0.9092395354188858,0.5249711664878691,0.49570535873519883,False,False,71,68,1.7436550585628248,1.9311058057043495,2.293411657074259,0.13368692891642175,-2.159724728157837,2.427098585990681,-4.453136385232096,4.72051024306494,0.7879395766041004,0.6964005829030174
APA,0.5803721897839897,0.5472035151862257,0.8084633586877111,0.8278637192192925,True,True,83,83,1.076073878066393,1.0243599747392542,3.2680291753094375,0.2526343434730048,-3.0153948318364328,3.520663518782442,-6.28342400714587,6.78869269409188,0.8344441152501723,0.8224012132301344
CPE,0.8700436390052576,0.746430150298896,0.7857487668446138,0.826960999137573,True,True,76,76,1.6862753420651366,1.4451612381277552,4.917206122297227,0.5530403267790938,-4.364165795518133,5.4702464490763205,-9.28137191781536,10.387452571373547,0.7538841470812161,0.7630255041408256
COP,0.3472464051964647,0.3721909671105544,0.8333853130655868,0.8003838950071989,True,True,73,80,0.7090083889003058,0.7293938271896545,2.0931987125291167,0.1030356146241407,-1.990163097904976,2.1962343271532574,-4.083361810434092,4.2894330396823745,0.9369880789508508,0.8086169089456103
CHX,0.7938246819913262,0.8235028093906408,0.5959933053971638,0.5818910136651012,True,True,71,74,1.6617839026109422,1.6460796653329701,2.528868768249354,0.06323160763357791,-2.4656371606157763,2.5921003758829317,-4.99450592886513,5.120969144132286,0.7598490981260456,0.6960287925811344
MRO,0.42170630472205556,0.4259920251993244,0.8889952244768257,0.890390302806598,True,True,82,81,0.7708938971547593,0.7584310018668834,2.999501892075196,0.1958294863675261,-2.80367240570767,3.195331378442722,-5.803174297782865,6.194833270517918,0.9230118100097685,0.9190158821705384
PXD,0.4583020372928947,0.4036452691281728,0.7011649959600806,0.7543492710589061,True,True,77,76,0.8888917494439046,0.8040160417307397,2.266886406607965,0.07914169121375277,-2.1877447153942122,2.346028097821718,-4.454631122002177,4.612914504429683,0.9079386894815766,0.7988578599148399
FANG,0.5188653025383879,0.4687105855291849,0.8034622872590672,0.8445158624291269,True,True,88,87,0.9463767656191863,0.8532817285531226,2.7083305990066484,0.1470839689301877,-2.561246630076461,2.855414567936836,-5.269577229083109,5.563745166943485,0.9084825035949278,0.8251619484369772
CRK,0.6497594309779494,0.6889794510416414,0.5523141358833303,0.5232354606143297,True,True,74,72,1.3480488705542726,1.4060909241595734,2.278407709881897,0.03497054697903242,-2.2434371629028647,2.313378256860929,-4.5218448727847615,4.591785966742826,0.457025055726614,0.6079642974203597
CLR,0.5753945577513384,0.5823218227285587,0.6433295240780776,0.6558422373711217,False,False,66,70,1.263480414886712,1.239615068095837,3.0544811677097465,0.13418006476269265,-2.920301102947054,3.1886612324724393,-5.9747822706568,6.243142400182186,0.8707743289491843,0.8522021545935695
CNQ,0.37536407378657627,0.3349297486903853,0.8215488766061578,0.859635240258441,True,True,81,89,0.6855246104742846,0.5840734733721015,2.2425446253065466,0.1215299300975273,-2.1210146952090194,2.364074555404074,-4.363559320515566,4.606619180710621,0.9124703571856261,0.8577482767905501
NOV,0.4266066604900922,0.4766064509634027,0.817409988151087,0.7782909707356103,True,True,78,82,0.826062325555716,0.8981687223731196,2.3413783297130193,0.04625339990888304,-2.2951249298041363,2.3876317296219023,-4.636503259517156,4.729010059334922,0.9306021400576653,0.7987977881088291
