,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
MTDR,0.7277396058720423,0.7397471769673986,0.6869371958203018,0.685269533135108,True,True,78,81,1.4388298910393882,1.4185060383759098,4.220129572099711,0.2672781318303874,-3.952851440269323,4.487407703930098,-8.172981012369034,8.707537276029809,0.8738681194899796,0.8741835198262665
BKR,0.3772485708421785,0.4339321022473068,0.8341749547750809,0.7997655899084881,True,True,80,87,0.7082163166920865,0.765286807344624,1.9785993663747883,0.023195657781247183,-1.9554037085935412,2.0017950241560354,-3.9340030749683295,3.9803943905308237,0.8782104028622115,0.7591779823909499
CLR,0.5681684531087132,0.5976493245981865,0.6522749215560263,0.6544545995062856,False,False,58,67,1.386192446492939,1.3133890969517603,3.062832109824651,0.12871445051449987,-2.934117659310151,3.191546560339151,-5.996949769134802,6.254378670163802,0.8690867231897962,0.8513011573219966
APA,0.5821526198499313,0.5469381660649844,0.8257494882104872,0.8438373662131321,True,True,82,84,1.1055120614061666,1.0208341237232688,3.284077706586175,0.23652617211112004,-3.047551534475055,3.520603878697295,-6.331629241061229,6.80468158528347,0.8322575584868834,0.8245034986991255
CHX,0.7973381245679088,0.8248197291401622,0.6236082968607481,0.6149545727027459,True,True,69,73,1.6808775713249753,1.6635650023768587,2.5528013186828074,0.03773378859027975,-2.515067530092528,2.590535107273087,-5.067868848775335,5.143336425955894,0.7556044393279986,0.7005933064205594
FTI,1.0237176284643352,0.9993727799829881,0.4429417763086717,0.48385611065398637,True,True,80,84,1.9387244018845777,1.8015126140470468,2.804386385590059,-0.03186303552895228,-2.8362494211190112,2.772523350061107,-5.640635806709071,5.576909735651165,0.5311567449042978,0.5093425971442636
COP,0.35571054434020727,0.368115272414182,0.8470347297388272,0.8207323030244322,True,True,78,78,0.6856788280962652,0.7374970736984227,2.10035926428555,0.09175529170219754,-2.0086039725833524,2.1921145559877475,-4.108963236868902,4.2924738202732975,0.9337445909027701,0.8113722462024503
HAL,0.37367758484039376,0.40645406216219065,0.8660701088293196,0.8561931543682456,True,True,72,84,0.7541394616453814,0.7353753802668302,2.6243337976235086,0.12605126464172434,-2.498282532981784,2.750385062265233,-5.122616330605293,5.374718859888741,0.9096890120449133,0.8568366784226062
CRK,0.6372034690107368,0.7050943612055969,0.5976246639765967,0.5478724563153854,True,True,73,75,1.3363079981446029,1.401503127795236,2.2994640754043636,0.023043592557955395,-2.276420482846408,2.322507667962319,-4.575884558250772,4.621971743366682,0.45849019903017074,0.6095538035452327
NOV,0.45484333460195403,0.48493928289455307,0.8263705334120025,0.7995283425742011,True,True,80,84,0.8479706224177491,0.8973171437328598,2.3494749680654965,0.038897761833811884,-2.3105772062316845,2.3883727298993085,-4.660052174297181,4.7378476979648045,0.9145382804418636,0.8013067453884282
FANG,0.5014531679359537,0.4648087730567218,0.8384580604912917,0.8603397974424376,True,True,80,87,0.939334762015617,0.8544214134772442,2.723400355066097,0.1403467755320425,-2.583053579534054,2.8637471305981395,-5.306453934600151,5.587147485664236,0.9113307815968656,0.8272828327186429
HES,0.3536281315874023,0.3338312747822867,0.8735602496994084,0.8897274833932375,True,True,77,86,0.6819050807652771,0.6133614475132908,2.2754417196108774,0.09376934213839967,-2.1816723774724776,2.369211061749277,-4.457114097083355,4.644652781360154,0.9317226587790364,0.8596176046532944
MUR,0.5375027379824616,0.5604668813070784,0.8694892862726749,0.8571573413376984,True,True,83,82,0.9499611644594836,1.0093360112689733,2.736123616687961,0.1410001373533119,-2.595123479334649,2.8771237540412726,-5.33124709602261,5.613247370729233,0.9141209874763312,0.8223683421637928
OVV,0.7669687771591706,0.7501241651416413,0.6717106167520561,0.6817913789270018,True,True,90,83,1.3403890495966213,1.375072615054096,3.970659035312645,0.25662209071543746,-3.7140369445972077,4.227281126028083,-7.684695979909853,8.197940161340728,0.8779517957727909,0.8288573176612405
MGY,0.6274566476084946,0.6617621142153868,0.6645147004975078,0.652511318263326,False,False,70,68,1.3492070311360458,1.4192723479264722,2.498105677413494,0.16915117486849593,-2.328954502544998,2.66725685228199,-4.827060179958492,5.165362529695484,0.8441476717046251,0.7685372763097136
ERF,0.5942244509242063,0.6179993330801734,0.7799047206971575,0.7634150370549033,True,True,73,84,1.1662612907350451,1.1587746589653927,2.379424625220589,0.2007435312496421,-2.1786810939709467,2.580168156470231,-4.558105719191536,4.959592781690819,0.8708944723877377,0.837230361676226
