,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
MTDR,0.7757744176081405,0.739747176957055,0.6658843495618432,0.6852695331403507,True,True,78,81,1.5130226827964621,1.4185060383601893,4.211685912065342,0.2707620663429323,-3.940923845722409,4.482447978408274,-8.15260975778775,8.694133890473616,0.8693034680663628,0.8741835198262675
BKR,0.3780172694069631,0.4339321022473312,0.8343999401046129,0.7997655899084672,True,True,81,87,0.7031488504937898,0.7652868073446474,1.9785993663747883,0.023195657781247173,-1.9554037085935412,2.0017950241560354,-3.9340030749683295,3.9803943905308237,0.8783333201897269,0.7591779823909495
CLR,0.580287575465412,0.5976493245981898,0.6452355320553007,0.654454599506282,False,False,62,67,1.352905451688269,1.3133890969517659,3.0510840853294146,0.13138222660711554,-2.919701858722299,3.18246631193653,-5.9707859440517135,6.233550397265945,0.8683896419200483,0.8513011573219955
APA,0.5990041073911304,0.5469381660649784,0.8224533778723488,0.8438373662131337,True,True,86,84,1.0886791834832,1.0208341237232499,3.2759107187577685,0.23586162861103044,-3.040049090146738,3.511772347368799,-6.315959808904506,6.787683066126568,0.8301781482065141,0.824503498699126
CHX,0.7812927816613849,0.8248197291401627,0.6311155389397041,0.6149545727027457,True,True,68,73,1.66962390030562,1.6635650023768598,2.5385250226917093,0.053780964384405786,-2.4847440583073035,2.592305987076115,-5.023269080999013,5.1308310097678245,0.7471336057172118,0.7005933064205598
FTI,1.0300232523447885,0.9993727799830099,0.43421172680325937,0.48385611065397016,True,True,79,84,1.9545928935988146,1.8015126140470752,2.779929695164838,-0.020978900895799745,-2.8009085960606375,2.758950794269038,-5.580838291225476,5.5388804894338755,0.53162754444893,0.5093425971442642
COP,0.3566167525617343,0.3681152724141809,0.8469370370854065,0.8207323030244269,True,True,78,78,0.6863152050982142,0.7374970736984376,2.1003592642855495,0.0917552917021975,-2.008603972583352,2.192114555987747,-4.1089632368689015,4.292473820273297,0.9337349567998018,0.8113722462024503
HAL,0.376313061969132,0.4064540621621944,0.8652349908584648,0.856193154368246,True,True,68,84,0.7777198142259246,0.7353753802668327,2.617803813574137,0.13395508546882207,-2.4838487281053148,2.751758899042959,-5.101652541679451,5.369562712617096,0.9105799550112237,0.8568366784226061
CRK,0.6398913890683972,0.7050943612056044,0.5959251711106102,0.547872456315379,True,True,73,75,1.3408264575196693,1.4015031277952492,2.2895497825146034,0.020547155306163484,-2.26900262720844,2.310096937820767,-4.558552409723044,4.59964672033537,0.4565367406849703,0.6095538035452319
NOV,0.4563891695590361,0.4849392828946043,0.8258635092714082,0.7995283425741696,True,True,81,84,0.8440124938592656,0.897317143732919,2.3494749680654965,0.03889776183381189,-2.3105772062316845,2.3883727298993085,-4.660052174297181,4.7378476979648045,0.9132350133726372,0.8013067453884285
FANG,0.5025470048243911,0.46480877305672136,0.8323167711473467,0.8603397974424378,True,True,83,87,0.9171004816425778,0.8544214134772438,2.716670255670162,0.13973423403840404,-2.576936021631758,2.856404489708566,-5.29360627730192,5.573074745378729,0.9049361492969776,0.8272828327186437
HES,0.3569505947208051,0.3338312747822755,0.8720053499201781,0.8897274833932433,True,True,77,86,0.6862397883065045,0.6133614475132744,2.2754417196108774,0.09376934213839966,-2.1816723774724776,2.369211061749277,-4.457114097083355,4.644652781360154,0.930862702895758,0.859617604653294
MUR,0.527828670474942,0.5604668813070944,0.8754572429132442,0.8571573413376917,True,True,89,82,0.9035775005828373,1.0093360112689966,2.727965508967908,0.14113558120626393,-2.586829927761644,2.869101090174172,-5.314795436729552,5.59706659914208,0.9115799428187625,0.8223683421637922
OVV,0.7771609805846895,0.7501241651247169,0.6615505390761319,0.6817913789396088,True,True,89,83,1.37548422934782,1.3750726150235435,3.970659035312645,0.25662209071543746,-3.7140369445972077,4.227281126028083,-7.684695979909853,8.197940161340728,0.8769400955646597,0.82885731766124
MGY,0.6213196696487444,0.6617621142154421,0.6684413246429302,0.6525113182633011,False,False,69,68,1.3410390909314964,1.4192723479265688,2.494679627023289,0.17522923674978574,-2.319450390273503,2.669908863773075,-4.814130017296792,5.164588490796364,0.8404864724723528,0.7685372763097147
SM,0.8495902081717839,0.7873070241299264,0.7437176779899177,0.7614380315688575,False,False,76,73,1.7227874729213117,1.6532971112425796,4.273162481389933,0.25765943333418967,-4.015503048055744,4.530821914724123,-8.288665529445677,8.803984396114057,0.9013705625789613,0.900972920858111
ERF,0.5710893975083198,0.6179993330801559,0.7917181983014656,0.7634150370549166,True,True,81,84,1.0837328279455436,1.1587746589653602,2.3725853097612597,0.201004834735477,-2.1715804750257828,2.5735901444967366,-4.544165784787042,4.946175454257997,0.8684493225993194,0.8372303616762253
OXY,0.5088067280322736,0.4992749560504584,0.867246613712958,0.8720982413643107,True,True,87,84,0.9309327695429721,0.9262743820620104,3.040033935273021,0.1230535878237315,-2.9169803474492895,3.1630875230967526,-5.9570142827223105,6.203121458369774,0.8905259106921982,0.8540947069227022
PXD,0.4546804639035192,0.41194413230938326,0.7107035833479767,0.7512760331328514,True,True,67,71,0.9615551713360968,0.8528864691966282,2.263493860353882,0.07785862498360677,-2.1856352353702753,2.3413524853374885,-4.449129095724157,4.604846345691371,0.9034721314572092,0.7981849626781684
SLB,0.4037379855198184,0.43622269207367514,0.8449570220011747,0.8328488342888105,True,True,76,83,0.775608675430614,0.7782149970488235,2.212602533404553,0.08114179275134875,-2.1314607406532042,2.2937443261559016,-4.344063274057757,4.5063468595604546,0.9235043559388134,0.8376244491565008
CNQ,0.37960628835005256,0.34549409922652785,0.8302075663783743,0.8582932122551599,True,True,79,87,0.7127766768862897,0.615569805913003,2.247798750832593,0.10857100555891072,-2.1392277452736823,2.3563697563915036,-4.387026496106275,4.604168507224097,0.9093935142703597,0.858032712458696
LBRT,0.880711018142567,0.9239672334735551,0.5514290581547663,0.5258967450300908,False,False,69,71,1.8212878225445484,1.9180705521130008,2.3143430065461037,0.11830952873816944,-2.1960334778079345,2.432652535284273,-4.510376484354038,4.746995541830377,0.7775715428987557,0.7009536755748922
MRO,0.44298968159978874,0.42333579567105256,0.8869316550953728,0.8998263426378506,True,True,80,81,0.8208614793439445,0.7535251184430042,3.004850672254442,0.18052032813729987,-2.824330344117142,3.185371000391742,-5.829181016371584,6.190221672646184,0.9200294424400604,0.9195106209544294
CPE,0.8985475225682982,0.7625671147656883,0.7921148980032703,0.8372543327195137,True,True,77,79,1.7441167557130444,1.451763040465049,4.925320222210191,0.5257377212960889,-4.399582500914102,5.45105794350628,-9.324902723124293,10.37637816571647,0.7553120900737713,0.7650950769182819
