,CLR,FANG,OVV,MTDR,MGY,MRO,ERF,HES,CNQ,CRK,NOV,CPG,FTI,CPE,CHX,SM,SLB,PXD,HAL,APA,COP,OXY,MUR,BKR,LBRT
CLR,1,0.9751599407841047,0.6258161660254838,0.6033576448014348,0.9755661204105052,0.8995368807434768,1.0609711225606595,1.2027199966340856,1.190452715395468,0.7487072985628497,1.0351450397398352,0.7074113760266616,0.6372203187370901,0.43511686641389014,0.9178722439105099,0.6204943470707902,1.186655092885224,1.1595455727380444,1.0061132183078156,0.7361291930183583,1.276013554356929,0.8672064329910911,0.92967751446446,1.2482411918402638,0.8792644150748374
FANG,0.7623633424941924,1,0.504558497026959,0.5381427339010543,0.9268061028225038,0.8032688302836154,0.9816530427942944,1.1186070833303914,1.101368168531839,0.6981363010544877,0.9856673637193806,0.6567737895872319,0.6000181040987661,0.3806260010627737,0.8698293288154267,0.554163587860741,1.1228073001190262,1.107955256278605,0.9178504385776739,0.6935543545280122,1.2014063324188329,0.8143956952435994,0.8794015784616386,1.1892851491197127,0.8384134347179301
OVV,1.0196440730405891,1.0556286679264033,1,0.8299627179527651,1.0420394333636211,1.1452890430417444,1.2242697577179342,1.3310817995632147,1.3578243588094574,0.8243842226091863,1.1419120358907782,0.9218565961801312,0.5882971336622438,0.6314153971001373,0.9833200157687505,0.7810139569174304,1.3191163946043516,1.2093603341175412,1.150115186298179,0.8516340080180099,1.3639121812065578,1.0254648122688668,1.0334962997813113,1.3670198887743361,0.9570148275135281
MTDR,1.1341448117458455,1.284376818946036,0.9472472631471803,1,1.2762696745449236,1.2813482367538696,1.408966258115329,1.5696979686535473,1.6068237443281848,0.9853048304796137,1.358717202045398,1.0158014801813373,0.7811148821173776,0.6516154296761851,1.2106964364125956,0.8694436873099706,1.5633965132452745,1.4910617611226236,1.3416208699067822,0.9997262317186424,1.6681890524192016,1.1870428718341817,1.2184299789748538,1.6184208312742066,1.1306170523399186
MGY,0.6632783732725789,0.8088968628861493,0.4377769159300781,0.4689545709197205,1,0.7048639955751147,0.8527091589194802,0.9910957778527594,0.9449630259609391,0.6325465886305909,0.8761701511674306,0.5731451638765419,0.533421848663078,0.3317791706163913,0.779126520177005,0.4816416759612205,1.002844075868603,0.9680135205979659,0.804641808826111,0.5894984579586753,1.07651768490438,0.7015292419017344,0.7752339384582436,1.0697078421219395,0.7507161920382086
MRO,0.8469532126537059,0.971198529306489,0.6611273863647882,0.6478129864043632,0.9665034921328451,1,1.083816487849085,1.183438912059527,1.1687147790501453,0.7474494177522647,1.021990181943722,0.7670131217142523,0.5925449262994781,0.48583322205023277,0.8968175970939779,0.636318051461095,1.2000398060129271,1.1269688834919434,1.010651425956804,0.7612262516148673,1.2490116608999875,0.8911265126268758,0.9348094263063296,1.2353899029978581,0.8760934374549589
ERF,0.644002170398846,0.764415019004417,0.4542723785435034,0.45933192909193615,0.7588906468993841,0.6993320595772448,1,0.9294797751370653,0.9231479245667139,0.6151993140601183,0.8178699156322218,0.6013522638031259,0.49116304736187405,0.3489770660083395,0.7002077138827233,0.48055507486664917,0.9323241455623943,0.8993200211388886,0.7647243084494495,0.5889496679542955,0.9879468340283747,0.6749249479604239,0.7535642368921222,0.9891486018860498,0.689132726475123
HES,0.6447042645465778,0.7687266255402201,0.43949284945531986,0.45581071929938477,0.7735113597114706,0.6746998226965595,0.8240931738578418,1,0.9343745973746359,0.6128558255256247,0.8376065934864624,0.5481705340872948,0.49379915328060947,0.3238285835161331,0.7168051760094605,0.46177783265660216,0.9588793236631445,0.9323845273800371,0.7800893000345391,0.5760558932322877,1.0296779681265766,0.666311239483273,0.7351431358270797,1.0208341515101085,0.7212067466280333
CNQ,0.6215589814581567,0.7352511889322281,0.4338839764838447,0.45309722451238643,0.7259746821509516,0.6456095309614484,0.7901411261136776,0.9055160955838192,1,0.5849949954079412,0.8047059600853866,0.5637649601300105,0.4655593795978015,0.31476618069309004,0.6829588982833396,0.45223416914804476,0.9147837504385472,0.8927118133568972,0.7601109568889064,0.5581191942942895,0.9910040681116299,0.6472177868552387,0.7077608167795141,0.9823932254162525,0.6846010243412113
CRK,0.429572396830688,0.5155610347018681,0.2909206642991953,0.2989808412226726,0.5360924909953502,0.4493274194844073,0.5767296176810786,0.6437917469092674,0.6398785668328046,1,0.5629918235688367,0.4007400743987837,0.3609019869933144,0.22056854142638616,0.5277570482355158,0.31331447453121153,0.6405537787681799,0.6363415757890044,0.5154061158179322,0.3752412176484202,0.7086232886894369,0.44468053803416335,0.4947333395365999,0.6910256541733693,0.5449476084530255
