,NOV,HES,CLR,APA,CRK,FANG,CPE,MUR,MRO,FTI,HAL,OVV,SM,OXY,ERF,CHX,CNQ,PXD,BKR,MGY,CPG,COP,SLB,LBRT,MTDR
NOV,1,0.9396198731620824,0.8700774759253137,0.8476269182147158,0.6965028113534671,0.9138863032745029,0.7208659313204235,0.9143257524148651,0.8789356914524394,0.7448955241119409,0.9219642900451085,0.7428930735340114,0.8710268776987257,0.9011048881604898,0.8832861214289165,0.8551323236920537,0.9208306680750579,0.9101751758357811,0.9333763802547039,0.8833354798240965,0.8097830758654303,0.9428893153982412,0.9521423446786328,0.8151312449215676,0.8235239815005435
HES,0.9023901604181023,1,0.8920124150720355,0.8706007364336592,0.6946194047609591,0.9407312045655358,0.7494069050363594,0.9217657956039881,0.9173694009192574,0.6812367091829137,0.9174767422881736,0.7799254131759014,0.8919505406163046,0.9143425484719757,0.9067872495097018,0.869143405127062,0.9349966776326932,0.9438534791855036,0.9021913108283269,0.8990747970224631,0.8178914611979531,0.9551594169968134,0.9432782189665553,0.8197820673088699,0.8648136940930492
CLR,0.8689507879621542,0.9037049089259616,1,0.8621098828308033,0.6733527712157452,0.8858545267416654,0.7720341759874942,0.9102235184855656,0.9045813378354045,0.703493106777976,0.8766977676132981,0.8227144603414001,0.8860039615114488,0.9213035464180945,0.8623010134410638,0.8087778411343298,0.8845032733068382,0.8739004256655345,0.8650019291347908,0.8394884734894408,0.821220749173722,0.8862126889639023,0.9149664896009697,0.778805136844407,0.8998991062980801
APA,0.862394050378753,0.9145029045346587,0.8575946819865831,1,0.6794895767931115,0.9089209810382796,0.7623877595135578,0.9094019760747577,0.9106052719654254,0.6873693208770533,0.9174628070793069,0.7782903559530979,0.8824426780570779,0.9095445623723705,0.8933628720184253,0.8533477252958453,0.9013730758066943,0.8987017260791869,0.8612681523870311,0.8617570218989354,0.8109086860812544,0.8793790677531899,0.9050942897890122,0.7644785361711166,0.8653683319959043
CRK,0.743840805321081,0.8048075682319502,0.7326080620973371,0.6988134857842495,1,0.7776009118960936,0.6208568417624393,0.7689658857664449,0.7522427623378468,0.48336261342808706,0.7434537949480244,0.6420931776395897,0.7434765614556964,0.7499095804457611,0.771113489698136,0.6261455190284132,0.7830687843608233,0.7813508030592766,0.7469768729989442,0.7655038952655261,0.7223762175065799,0.8035351515550797,0.7828375623807328,0.6217372329612314,0.6882560150176247
FANG,0.8859394032925474,0.9469262890802372,0.8791577388007276,0.8698941864602664,0.6655088939783083,1,0.7272204321897747,0.9128131704933349,0.9095482367710308,0.6829196573699757,0.9033452879866218,0.7519825102594471,0.8933177447981296,0.9293407757315829,0.8921081209328656,0.869225252050055,0.9239539928815497,0.936281575533774,0.8791782618394449,0.8953107640834463,0.8133202669522661,0.9379482590271543,0.9252827119148629,0.789534782479595,0.855248238775365
CPE,0.694779577455452,0.7630052755038297,0.7510727677061524,0.7421191333210037,0.5466858365391998,0.7495398989027606,1,0.7365266775040878,0.8415763462206375,0.602819744096945,0.7564244699670075,0.8426720343745494,0.8352236292057402,0.8103689255869699,0.7670999840935551,0.6798540921856625,0.7577350903226265,0.7043680617047334,0.7042349004457001,0.7040127101967898,0.7584121753933166,0.7316398523977985,0.7679312733621518,0.6531347712091069,0.8133594023988929
MUR,0.8932317329432228,0.941338595427825,0.8719187614192541,0.8768690179270927,0.7080740442580863,0.9205831374435981,0.7282915776609069,1,0.9005156508184027,0.6910854707352407,0.9169494172551147,0.7502611390591492,0.8848054921792611,0.8960384118203379,0.8969271399895212,0.8483930221959766,0.9211718324947905,0.9233135032107349,0.8924559756457354,0.883294753353688,0.8116341470742113,0.9404215311089645,0.9276721322346423,0.8105530189826671,0.8353071099683936
MRO,0.8339435973178858,0.910228920764915,0.8895077617741355,0.8627686580787263,0.6403189271511638,0.8999723638581814,0.8325966183978012,0.8916854803610762,1,0.6737142196266236,0.8993198282064117,0.8858718543217889,0.9260824623214768,0.9239401140864102,0.8865796630849369,0.8278322080203252,0.8925373948735132,0.8704329063871648,0.8321322082406433,0.848987153452802,0.8549570993645897,0.8857489674982947,0.8973152001451793,0.749646840276469,0.9286825994851162
FTI,0.7631899963652936,0.7309968198343493,0.6883218545941929,0.6714473604720447,0.5896714226940045,0.7458776602268836,0.5260181740769214,0.7361500675132836,0.6602403254538507,1,0.7281926095523469,0.54772700492419,0.6793016690263669,0.7316810741158939,0.6900943016767167,0.7064064514462108,0.7362163808542144,0.7472266159736807,0.7998240042000371,0.7142729735139657,0.5928469154585266,0.7445565244543326,0.7792706658928991,0.6755232258267653,0.6251429705521561
HAL,0.9057059945099487,0.9358684791360484,0.8781577909254845,0.8684225995891035,0.6826708317427167,0.9118963426775443,0.7476461927836233,0.9114679010540759,0.9062326812472831,0.7518369201849914,1,0.8006214507119614,0.8890236897945677,0.9061245973362417,0.8860116266290472,0.86761195983581,0.9274688725370362,0.9093644802545188,0.922428411087931,0.8619410648572572,0.8422703085218413,0.9388084701273511,0.9509002627343159,0.8082868890403272,0.8591278882359832
