,XOP,XLE,XLF,DIA,SPY
CLR,1.2003314087640995,1.5968737575219203,1.591250450752356,2.112531024056057,2.1644706673844962
MTDR,1.6579368123122993,2.0659729519500054,2.0035102025932146,2.716165117527015,2.8137620030129997
BKR,0.7106519053636514,1.0613015466209035,1.1548591359148088,1.5389618302974026,1.5457862404813243
FANG,1.048141753341702,1.4773665866924977,1.4591820247907907,1.9360548655943928,1.9933052913033966
HES,0.8878599277490694,1.2601498075346411,1.2449174281294852,1.6650840887494578,1.70222296760757
OXY,1.178939082470502,1.620801738886378,1.5975593137614144,2.1087651776201337,2.1630853522070854
PXD,0.8505140077288108,1.2360915020514798,1.280068255537854,1.7077263099974291,1.770522837798208
MRO,1.217738706232641,1.5607867098580293,1.4813764490811583,1.98289542886758,2.0292923765356456
LBRT,0.7855232936452675,1.1504342157199055,1.1665808175664287,1.539807370467435,1.5574443872531913
SLB,0.8482298116482565,1.2214560240469443,1.2885583827167202,1.7066275316694912,1.7170796694466568
CNQ,0.8627331987629901,1.2259306760016806,1.2168516489588204,1.671567999022812,1.7244734315802845
APA,1.2345492524272932,1.704193365763751,1.6145093555700443,2.1913454934367693,2.18859934877033
CPE,1.751896001714899,2.121660913558,1.979823718700332,2.6248286881132024,2.6643119980856915
CHX,0.8629705430519466,1.2458018265338628,1.2791408122255863,1.7083595707182182,1.7208183792109422
NOV,0.8732740826582671,1.2889837445908878,1.3347495916961079,1.766871438136384,1.7952460247191857
OVV,1.5332916747105882,1.7460187296918848,1.6420223816641597,2.263502634995326,2.344102977092021
HAL,0.9923608744801393,1.4248002710025707,1.4788371833150582,2.0166182236239356,2.0176842025073785
MUR,1.0337128034207863,1.4880136377597506,1.457587153007961,1.9652006705861178,1.9688420073133424
SM,1.7015346649272818,2.172657970948361,2.047692956150664,2.7432008579420377,2.839091089169624
CRK,0.5982512290650702,0.8371386984209572,0.8517341693921505,1.1559860116808305,1.1131583936714284
FTI,0.7710015882420305,1.1580912798678804,1.2942981360218655,1.7329392063691873,1.7346057264707806
ERF,0.9032665004551901,1.2331962152378964,1.1909124144428356,1.6152051744950602,1.6581475388935192
COP,0.7850267868679337,1.1681092411671068,1.1801881649192467,1.5641868032297932,1.587252899187332
MGY,0.9043692330462509,1.3101999195703122,1.3190491985186972,1.7242014166930149,1.7459232435457042
