,XOP,XLE,XLF,DIA,SPY
COG,0.5768270398824284,0.6731440066267514,0.5985501643171671,0.6052107393082842,0.577846518838905
CNX,0.8197011913924208,0.831910058531609,0.7297898321204963,0.7250517179059839,0.7223197928236336
BKR,0.8641110669929883,0.933484546840314,0.8485004942128413,0.8314305900153754,0.8065731768334822
DVN,0.9171624208170412,0.950615271761437,0.8243607491319914,0.8101470826940379,0.8010439933251846
FTI,0.7106048607730541,0.7728246388967043,0.7507404928991609,0.718198940586484,0.6940555944184738
XOM,0.9015472931514822,0.959643649575217,0.8394104882994547,0.8345635609200813,0.8031192041043759
HP,0.8782865707496005,0.9295224005007249,0.8100592826115023,0.7864303068863788,0.767789881392994
ERF,0.9096737537675326,0.9043227988685681,0.7619973360715556,0.7605702626704264,0.7540371592584864
CRK,0.7706561168696365,0.7749230701962678,0.551656138168514,0.645256071567207,0.6043243651233489
MTDR,0.930895040599171,0.8427974105961202,0.6873358508709785,0.6848122619479763,0.6887724993920307
EQT,0.7434606404402809,0.7602196465058423,0.6461133126777155,0.6501657428868535,0.6569918591643673
NOV,0.8894192929519292,0.946300325128968,0.8422167094715779,0.8210740023031776,0.8036114634733653
MGY,0.8696640622352412,0.9017489448303055,0.7806470534696648,0.7487611954295732,0.7281846605311828
HAL,0.9182810077882703,0.9520134884275794,0.8450202007818028,0.8284550135685157,0.8173624908978647
CLR,0.9188342518671043,0.8915586971350653,0.7677564452967578,0.7492992782563108,0.7401167811204402
MRO,0.9513996873632712,0.8891089419172953,0.7387385527807788,0.7272866828328366,0.7215778962742627
APA,0.8987298781279486,0.905264499502054,0.757030012003483,0.7641983966831353,0.7659829659308406
COP,0.8950691775462187,0.9578443988307528,0.8261092044928756,0.8061375345823922,0.7845534716172259
OXY,0.9174437442790222,0.9130025062953525,0.788631418511773,0.7644944747361673,0.7561307320785279
CNQ,0.9205388669063314,0.9376631260023953,0.8125417246400138,0.819104835120108,0.8043313767032071
HES,0.920495622952833,0.947063961822886,0.8024513319310627,0.7862626860111528,0.7731649835521709
SLB,0.9098680874216717,0.9501518932967351,0.8501699038716464,0.8303846046110884,0.8076222437502013
PXD,0.8874467933955371,0.9483581191308184,0.8400970816920247,0.8242566003703911,0.8140412057463031
FANG,0.903961402280644,0.933703741787942,0.7944053987071258,0.7738984821809721,0.7677638712529005
CVX,0.8435215392240574,0.9492033484971901,0.8608302467003375,0.8525750240545007,0.820099714997606
MUR,0.9003815428589194,0.9440402423202839,0.8042307044389926,0.7944060547747203,0.7733385040009789
LBRT,0.8297318207730894,0.8721674603395335,0.754050210652008,0.731335638467117,0.7117480342507837
EOG,0.8876918962514774,0.9413684233561194,0.8239745715178671,0.7964672670775474,0.7803083277284075
