,mae,mae_main_etf,r2_score,r2_score_main_etf,shapiro_normal,pearson_normal,ks_normal,chisquare_normal,shapiro_normal_main_etf,pearson_normal_main_etf,ks_normal_main_etf,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
RUN,0.9998729711822522,0.9920982723383136,0.4379305190320347,0.44940156422786903,False,False,False,False,False,False,False,False,41,39,2.078826016427999,2.1649425503979636,2.451660946608089,0.19077884103661144,-2.260882105571478,2.6424397876447006,-4.712543052179567,5.09410073425279,0.6610807459784254,0.6683575244002322
ARRY,1.1014802992243167,1.0953374989774418,0.16012464867544451,0.15319925911783816,False,False,False,False,False,False,False,False,32,32,2.8533374643023013,2.809757631922897,2.874832631831887,-0.12407582419086849,-2.9989084560227552,2.7507568076410185,-5.8737410878546426,5.625589439472905,,
SPWR,0.8289032404845033,0.885604775185053,0.389507104933115,0.35888600337244947,False,False,False,False,False,False,False,False,38,36,1.8976636089523664,2.0633985724682997,1.8052944372666206,0.26710678939471943,-1.5381876478719012,2.07240122666134,-3.343482085138522,3.8776956639279607,0.7793401093353589,0.7195362839372006
FSLR,0.6053950968572022,0.6488815453294643,0.4674957952653419,0.41258483789945133,False,False,False,True,False,False,False,True,38,38,1.321854271777693,1.4298328449464492,1.1843213811161988,0.11946206527885633,-1.0648593158373425,1.303783446395055,-2.249180696953541,2.488104827511254,0.6984708394860129,0.6318019859006231
NOVA,0.9701986821575034,0.978210676555223,0.4684597872533287,0.4601746417008352,False,False,False,False,False,False,False,False,44,43,1.893343559276602,1.8831985665321456,1.9451947466972679,0.2338987946583694,-1.7112959520388984,2.179093541355637,-3.6564906987361665,4.124288288052905,0.7080308694451755,0.6821625351957352
SHLS,1.0000667188421035,0.914180265918912,0.0938301333813053,0.2161653818555963,False,False,False,False,False,False,False,False,40,39,2.144692118538927,1.9608458401633857,1.392934782024538,0.10447863543786068,-1.2884561465866773,1.4974134174623985,-2.681390928611215,2.8903481994869367,,
ENPH,0.8534562426242422,0.7895195099123155,0.36125960147880976,0.4642193968505076,False,False,False,False,False,False,False,False,39,47,1.7691128190876673,1.4567003231483253,1.7890594122558816,0.12889583397276178,-1.66016357828312,1.9179552462286433,-3.4492229905390013,3.707014658484525,0.6851001151621139,0.6545947722420837
SEDG,0.7553849609193677,0.8090514743543664,0.41874584017050487,0.409336970989317,False,False,False,False,False,False,False,False,35,33,1.823841714389879,1.9156972645214347,1.5248200456020309,0.1555969069137668,-1.369223138688264,1.6804169525157977,-2.894043184290295,3.2052369981178286,0.7294280116405183,0.6837817204145413
BLDP,1.1232982251383639,1.0818469403097029,0.3249158379412135,0.3545086850220842,False,False,False,False,False,False,False,False,37,36,2.5406818431711145,2.5378374151022625,2.183102847032395,0.19245434219722202,-1.9906485048351732,2.3755571892296174,-4.173751351867568,4.558660036262013,,
JKS,1.6496663674506238,1.616489545932724,0.33031020999633076,0.3224649564369828,False,False,False,True,False,False,False,True,47,46,2.869736122873847,2.895192823579082,2.756988900138225,0.31650961881795825,-2.440479281320267,3.073498518956183,-5.1974681814584915,5.830487419094409,,
CSIQ,0.7805019956320488,0.7946703749556434,0.5312416542858893,0.5249924917012672,False,False,False,True,False,False,False,True,45,46,1.491559254288864,1.50752910116142,1.7744734998055613,0.13643186340780175,-1.6380416363977597,1.910905363213363,-3.412515136203321,3.6853788630189244,0.6863436390606942,0.6435341851075718
