,SHLS,ENPH,RUN,SPWR,BLDP,CSIQ,FSLR,ARRY,NOVA,JKS,SEDG
SHLS,1,0.3977419103402553,0.267434550527638,0.30874311774372815,0.28256810926537784,0.4455486530661114,0.5789556094137462,0.25053982547334225,0.3178005222465988,0.1551773042704471,0.3757530455053042
ENPH,0.5058143123030414,1,0.48152961131404665,0.48689357568957925,0.4874364433650985,0.6076498941050102,0.7566191180052784,0.28691163442321566,0.5558327763349679,0.18974071754729277,0.6718015403145026
RUN,0.653006106534646,0.8768471877548201,1,0.6440777179209676,0.6184837268845453,0.8014482746866167,0.7874435056178112,0.36488587789084964,0.7938514934971241,0.2790776840000297,0.6925286756403372
SPWR,0.61953495843443,0.6833103176991339,0.4882609363589295,1,0.4706460005775947,0.681612526028775,0.9112909090972817,0.2953529495684869,0.5990585199182161,0.3046653312714107,0.5680567461600692
BLDP,0.5509526667264941,0.7044018992100188,0.5049529013941155,0.5331551522590258,1,0.7138023546546826,0.8959651005019721,0.32441922396743034,0.6081833580535615,0.14611726122483606,0.7161122369818614
CSIQ,0.5436897829340966,0.548803755822758,0.4408247089194529,0.49160084613101934,0.4590381770565316,1,0.7875892534887001,0.31443686680999794,0.4937180558766159,0.31493658339658226,0.4852838169132183
FSLR,0.4050893747525334,0.4369639641758678,0.2684792504579518,0.3652233936058609,0.2945201701658048,0.4278506077557552,1,0.19232517270229418,0.3308803591796691,0.15333791839251032,0.3770928035357952
ARRY,0.7339764413858401,0.600348956200822,0.4106220010631351,0.35782353688888313,0.3500341306308148,0.5255893738024682,0.7369734025721427,1,0.5386791871389016,0.13155732285357596,0.34304968462598745
NOVA,0.5713829221113372,0.736269787466925,0.5676193043777898,0.5983055724142095,0.4902567076129142,0.6715233203340234,0.8416820063025714,0.3490228695965178,1,0.23903333318459577,0.5309645147094871
JKS,0.6856933421074854,0.6211055707884374,0.47234968806668903,0.5158457650769809,0.4880548071545458,0.8903307399844166,0.8221809544009212,0.2462547862857528,0.5734219066705101,1,0.5903353431500009
SEDG,0.5444104215744702,0.6566391714062804,0.4106794976668123,0.437216760050224,0.5132232036047921,0.5433387195864907,0.7479380448233727,0.24060332560010297,0.4745964560470637,0.20382580641057726,1
