,SHLS,ENPH,RUN,SPWR,BLDP,CSIQ,FSLR,ARRY,NOVA,JKS,SEDG
SHLS,1,0.6549743421120896,0.5208613249264437,0.5478742724451482,0.5709189867866614,0.6275340961271741,0.672274756111654,0.5417998095594369,0.5882583392957632,0.40374441667716,0.5452179446758144
ENPH,0.5816361653326904,1,0.7250323044451887,0.6601882192727302,0.7371822520466351,0.6553194694287793,0.6682480968796704,0.5152915231089967,0.7268809540021788,0.409725388656875,0.7313397481101641
RUN,0.6074795180155537,0.7718026135960588,1,0.677406281118972,0.6788927532534196,0.6405307493806038,0.6024662250697425,0.5484572601121277,0.7514785864885756,0.4972030341416502,0.6552201440329245
SPWR,0.6345950285880616,0.795208191215717,0.7039279469716209,1,0.6984529554158802,0.7229116541130544,0.7572938859808377,0.49930730222931213,0.7551875719550991,0.5476479575583536,0.7031894789616875
BLDP,0.5657867758910994,0.6773943281747622,0.605529426246958,0.6188599124560222,1,0.6239525549420388,0.5720047615499708,0.5108560399342993,0.6573182191200502,0.2976297613276221,0.6312592158600026
CSIQ,0.5721840499591611,0.6199131753069996,0.6579082846646604,0.6505794749005652,0.6913304859544175,1,0.6922954167558855,0.5441383997012172,0.6632648895682239,0.5964003126237329,0.5805452927114932
FSLR,0.6067210426608897,0.7764263832926858,0.6030629487490844,0.7115702328335243,0.6778568404776366,0.6850341812035946,1,0.475877460564799,0.6630206370156683,0.4468517140471709,0.7091951790337012
ARRY,0.44827081640145294,0.44785668030478937,0.3862169359421656,0.546410352759393,0.5674354650378683,0.6147609213364873,0.6626385732249069,1,0.4438040362055708,0.30839376052035533,0.5031757241904566
NOVA,0.5758714834757582,0.79467598126829,0.7657143214400579,0.6884887248011705,0.6838921949046345,0.6736126328212931,0.6742652090187337,0.5635044740473383,1,0.44953428484499347,0.6238338885180503
JKS,0.44085760799100365,0.4836473110236656,0.4686613943666713,0.4320928697602062,0.48138739920994544,0.6257108903660248,0.45383841504989103,0.27583950878382746,0.4926985335373222,1,0.4849149860729035
SEDG,0.691060789575403,0.8551120401161323,0.7077048327510733,0.6665679464170995,0.8156262677774105,0.664943064498328,0.6913352491973576,0.49261706791563226,0.7317079104183706,0.4674554194461191,1
