,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
MRVL,0.442249009367842,0.445652669156197,0.6667379499952502,0.6623714203712913,True,True,70,71,0.9414025437553865,0.9481470561835272,1.49149590225675,0.20720165320911543,-1.2842942490476346,1.6986975554658654,-2.775790151304385,3.190193457722615,0.765590679208788,0.7567098564840502
ON,0.5721914409198108,0.5697127865555321,0.4712629875013674,0.4724396640905878,False,False,62,60,1.3570507598563235,1.399722105354346,1.7784603465654643,0.15849483801425338,-1.6199655085512108,1.9369551845797177,-3.3984258551166753,3.7154155311451817,0.8001230697537319,0.7975079108933822
MCHP,0.4068570824593636,0.41189062949700894,0.7271202592906505,0.7293071633992105,True,True,72,71,0.8553862660650192,0.898007509067595,1.5568063049350906,0.07858962369299244,-1.4782166812420983,1.635395928628083,-3.035022986177189,3.1922022335631737,0.8497618327472392,0.8334695506879052
AVGO,0.3337093353744638,0.35374360577901104,0.7581025256813173,0.7262124502616155,True,True,84,82,0.6151311646385997,0.6657299696757987,1.318517411858167,0.08054283580958327,-1.2379745760485839,1.3990602476677503,-2.556491987906751,2.7175776595259173,0.8603551712668543,0.8456297076119913
QRVO,0.46769674168808145,0.4762874092651315,0.401647257472609,0.4036331760789247,False,False,55,55,1.2479825105223588,1.255227919115506,1.5433804924003032,0.1793520429043168,-1.3640284494959865,1.72273253530462,-2.9074089418962896,3.266113027704923,0.8019469700735695,0.8333960527798013
NVDA,0.5771009416042742,0.5940185916506754,0.5450701549139008,0.5487656308809192,False,True,74,75,1.234662100179351,1.2475678168011042,1.5795787062780833,0.1654729635348651,-1.4141057427432182,1.7450516698129483,-2.9936844490213015,3.3246303760910316,0.8391306633994523,0.8149119207612483
NXPI,0.48519389187824447,0.5004582920714236,0.6170824280505822,0.6125857446839045,True,True,69,63,1.1080389872862497,1.1966572031459564,1.635619228099266,0.11479682027790043,-1.5208224078213657,1.7504160483771665,-3.1564416359206318,3.3860352764764325,0.8129464809132199,0.8141527625661803
AMKR,0.5816714551094165,0.5770677817340801,0.5662540159255947,0.5727461849282158,True,True,66,67,1.3080488997373227,1.285778716511021,1.596355437394082,0.14307871096727184,-1.4532767264268103,1.7394341483613538,-3.0496321638208923,3.335789585755436,0.8297296705344867,0.8195732367364479
XLNX,0.3941871993056984,0.39877967696387356,0.6472628568310644,0.6496151645244552,True,True,68,70,0.8699289361833127,0.8507827003535532,1.2815896356296657,0.07639704877905247,-1.2051925868506133,1.357986684408718,-2.486782222480279,2.6395763200383837,0.8014736929390428,0.8177370017870091
SWKS,0.4911879112197902,0.5079637412180025,0.2965626471906342,0.31334802066092104,False,False,45,41,1.63323076774527,1.747771374527702,1.4954803948477857,0.1305344682415844,-1.3649459266062014,1.62601486308937,-2.860426321453987,3.121495257937156,0.8771784089693173,0.8637682340798876
TXN,0.3881651500649902,0.42209033981129107,0.6082369768767384,0.5378728509115112,True,True,73,72,0.7882440857438613,0.8490339705858171,1.2739078463823477,0.05453248120456428,-1.2193753651777834,1.3284403275869119,-2.493283211560131,2.6023481739692595,0.8103924162731375,0.834733594625462
MU,0.5480335053883032,0.547510928834588,0.6308897988228646,0.6300985292641195,True,True,75,76,1.1367255394968598,1.1266290268570873,1.7866506064485241,0.13557723768530053,-1.6510733687632235,1.9222278441338247,-3.437723975211748,3.7088784505823487,0.8203351634366635,0.818717342549764
QCOM,0.45494493015402787,0.4623425091206681,0.3634088145422154,0.3730827297487119,False,False,54,59,1.2184083485393529,1.170675905986622,1.4573879327960613,0.17368774581090854,-1.2837001869851528,1.6310756786069698,-2.741088119781214,3.0884636114030313,0.7230119860173723,0.7674687635931001
