,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
NXPI,0.4903280076528208,0.48902471208142967,0.6021580748619868,0.605613559365271,True,True,68,65,1.1198749473584606,1.1458377243649425,1.6542681094320406,0.12781797145561216,-1.5264501379764284,1.7820860808876529,-3.180718247408469,3.4363541903196935,0.799491904090566,0.813596365028127
XLNX,0.3891107438043738,0.387199623984667,0.6449581992212998,0.6510237851384719,True,True,69,69,0.8411237638012675,0.8325661976356756,1.3618152958892726,0.09950494198487285,-1.2623103539043998,1.4613202378741454,-2.6241256497936725,2.823135533763418,0.7088541474540944,0.8171577967351046
QCOM,0.44537810115006593,0.4600917531467285,0.3658473084317876,0.3727544985431237,False,False,55,62,1.170112287551553,1.1207029283282197,1.406753174616839,0.15412502118964755,-1.2526281534271915,1.5608781958064863,-2.6593813280440304,2.9676313704233253,0.7893164413348099,0.8355736307469402
TXN,0.4012301403517922,0.4111689026536217,0.519522354479278,0.5268573938921178,True,True,73,73,0.8052220351937853,0.8201580449609256,1.1991990450860706,0.08070302015940604,-1.1184960249266644,1.2799020652454767,-2.3176950700127352,2.479101110331547,0.8387675723434753,0.8333335568386849
MCHP,0.40020625936143517,0.3985578381710287,0.729774652898209,0.7344776457129079,True,True,71,75,0.8664198738009482,0.8404195842267356,1.5938219971580807,0.11810245742670124,-1.4757195397313794,1.711924454584782,-3.06954153688946,3.3057464517428627,0.814175975196756,0.833679099393548
ADI,0.3505494553309885,0.35202877495585855,0.7141666622222336,0.7196065000232643,True,True,74,76,0.7188141964416666,0.7052707869154732,1.275863254203411,0.09493571371953302,-1.180927540483878,1.370798967922944,-2.456790794687289,2.6466622221263547,0.8300371585116865,0.8337236228385081
SWKS,0.41579973164414386,0.4322913450115732,0.5922507065938364,0.5806380012257015,True,True,58,58,1.0739448875183646,1.1006891473924294,1.494548329016635,0.13077843809585882,-1.3637698909207763,1.6253267671124938,-2.858318219937411,3.119875096129129,0.8757176643199475,0.8620656026559785
ON,0.5604117158324206,0.5689123358171078,0.4775347900636132,0.4713586389899962,False,False,66,61,1.305713972165791,1.3955381160119689,1.8012882402816495,0.182102074760492,-1.6191861655211575,1.9833903150421415,-3.420474405802807,3.784678555323791,0.7936904766816439,0.796623911615856
MU,0.5597493040524187,0.5582219646905645,0.6219719016109713,0.6209144374201743,True,True,78,79,1.1382368262217004,1.1342329847447865,1.7950145625073648,0.133346386506884,-1.6616681760004808,1.9283609490142488,-3.456682738507846,3.7233755115216134,0.8183581283493043,0.8176691690602093
NVDA,0.5870616427946144,0.6035832282438957,0.5379360164499689,0.546992064434263,False,True,71,76,1.304305374801623,1.274763282589415,1.604345812391617,0.17462578348297542,-1.4297200289086416,1.7789715958745924,-3.034065841300259,3.383317408266209,0.8228693573861339,0.8101292207630543
AVGO,0.3511760643770236,0.3622250318691581,0.7301918853384092,0.7141672571667969,True,True,85,82,0.6525311582934705,0.6851246703661125,1.3261705270707367,0.08811029102438568,-1.238060236046351,1.4142808180951223,-2.5642307631170875,2.740451345165859,0.8532564597115445,0.8436854832515134
QRVO,0.4365118652244118,0.4508699873784994,0.4533466639318193,0.4470546769602647,False,False,60,63,1.0760622760197929,1.0691871271646278,1.5225822138181881,0.1598894631088884,-1.3626927507092996,1.6824716769270767,-2.885274964527488,3.2050538907452646,0.8255969372561506,0.8311167100963133
MRVL,0.5227421716044252,0.5324088816243764,0.35419015946942467,0.36213706773552323,False,False,57,58,1.3796524970161177,1.3733763905040173,1.5106966425684456,0.21805607873012878,-1.292640563838317,1.7287527212985743,-2.8033372064067623,3.23944936386702,0.7556213789667969,0.7491044128661528
