,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
QCOM,0.4513091121661788,0.4600792122760743,0.3501740237368116,0.3638557054036422,False,False,53,58,1.2180386386113535,1.1723224704142556,1.398443800312997,0.15954283390523769,-1.2389009664077595,1.5579866342182347,-2.6373447667207564,2.956430434531232,0.7901509780841832,0.7712900318048795
ON,0.5634708228392202,0.5650319606511579,0.4639940043487495,0.4631474529995876,False,False,62,61,1.3586896006007276,1.3799133300875628,1.7625310117032102,0.16063058484746703,-1.6019004268557433,1.9231615965506772,-3.3644314385589533,3.6856926082538877,0.7996871371692602,0.7966909880193485
NXPI,0.4866012740076502,0.5013109284945347,0.6060133175816199,0.6034893015291325,True,True,67,63,1.135465135715505,1.1958379403885515,1.621600638346687,0.12948991382662828,-1.4921107245200587,1.7510905521733153,-3.113711362866746,3.372691190520002,0.8211408137105614,0.8140008800670367
XLNX,0.4114995893078449,0.414420893670754,0.5985912026494097,0.5997127749391813,True,True,63,68,0.961404125025743,0.9127441566828116,1.2695413760968128,0.0856378707468995,-1.1839035053499134,1.3551792468437123,-2.453444881446726,2.6247206229405253,0.803445695005694,0.8233673163501303
MU,0.5401105095484816,0.540744126496619,0.6238264304785759,0.6221151637117348,True,True,76,77,1.1156390819064192,1.1099749984900444,1.7943895861794004,0.13952684349042918,-1.6548627426889713,1.9339164296698295,-3.4492523288683716,3.72830601584923,0.8193771431113417,0.8186950122134182
QRVO,0.46040739237479583,0.4786920121626365,0.40407340024449323,0.4000829091366468,False,False,51,55,1.2860236219747512,1.2553373413304278,1.5132613253435634,0.16162227174955748,-1.351639053594006,1.6748835970931208,-2.8649003789375693,3.1881449224366842,0.8296681279448479,0.8320236814580898
SWKS,0.49420479753439156,0.5158122293211638,0.30331506886831927,0.31479874511614314,False,False,42,41,1.7264300115323998,1.7917561420163943,1.4900908235973047,0.1254158270270717,-1.364674996570233,1.6155066506243765,-2.854765820167538,3.105597474221681,0.8792595996279806,0.8637022878823731
MRVL,0.4413225269423314,0.4466403917873185,0.6648064817907946,0.6606497348948831,True,True,73,71,0.9222363280993943,0.9482935894656532,1.5059845733411656,0.21970949528188422,-1.2862750780592815,1.7256940686230497,-2.792259651400447,3.2316786419642156,0.762131998767503,0.7560032116563448
ADI,0.34150779852956686,0.35085244885717676,0.7287601680836868,0.7291138679441737,True,True,71,79,0.7134184877098884,0.6851492472110695,1.261005713928115,0.09244095516944775,-1.1685647587586672,1.3534466690975628,-2.429570472686782,2.614452383025678,0.8375655337244615,0.8338319352020342
NVDA,0.5719208106782648,0.5881816569344036,0.5469374173356614,0.5549577370576217,False,True,71,74,1.2525868130103177,1.2398645043277268,1.584850129272276,0.17221223147786768,-1.4126378977944083,1.7570623607501439,-2.9974880270666846,3.3419124900224197,0.8389304690598596,0.8166654535985789
TXN,0.396766733791581,0.4206209306734034,0.5262848233625715,0.5325221792879004,True,True,68,72,0.8457564540229797,0.8445275844698895,1.2007831083231306,0.07973693927243007,-1.1210461690507005,1.2805200475955607,-2.321829277373831,2.4813031559186913,0.8450976831089342,0.8349509487023119
AMKR,0.5774466309954207,0.5724043092915241,0.5596732802242865,0.5641940983576685,True,True,64,67,1.3090884270809129,1.2678463000699973,1.591410033762283,0.14045942504105544,-1.4509506087212276,1.7318694588033383,-3.0423606424835103,3.3232794925656215,0.8301667823498747,0.8194033267587595
MCHP,0.4212982225473446,0.4096162237571701,0.7098226884625842,0.7225531054536172,True,True,73,71,0.8973052453602766,0.8936723250525046,1.5425683020954828,0.0850100193774415,-1.4575582827180413,1.6275783214729242,-3.000126584813524,3.170146623568407,0.8294515187802848,0.8329394860582563
