,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
NXPI,0.47739085134866976,0.48902471208316933,0.6072361273421345,0.6056135593653246,True,True,67,65,1.1155325703566292,1.1458377243676772,1.6341009432389424,0.12475986113943638,-1.509341082099506,1.7588608043783789,-3.1434420253384485,3.392961747617321,0.8117969934631877,0.8135963650281283
XLNX,0.3852046706076746,0.3871996239845851,0.6490301864426895,0.6510237851385549,True,True,70,69,0.8332164647719238,0.8325661976354698,1.2805287728245682,0.07343426824500382,-1.2070945045795645,1.353963041069572,-2.4876232774041327,2.63449181389414,0.7992092745768056,0.8171577967351047
QCOM,0.4483533730506651,0.46009175313399586,0.36501583614947586,0.37275449854252574,False,False,60,62,1.1147871879560853,1.1207029283034364,1.4024371070381658,0.1588037399943266,-1.2436333670438393,1.5612408470324923,-2.646070474082005,2.963677954070658,0.7897720114769815,0.8355736307469392
TXN,0.38458407981919485,0.4111689026536263,0.5535970868399355,0.5268573938921137,True,True,72,73,0.7902082611727576,0.8201580449609409,1.2055074216130424,0.07723784593864777,-1.1282695756743946,1.2827452675516902,-2.333776997287437,2.4882526891647325,0.8532991015143052,0.8333335568386857
ADI,0.3511178616572269,0.35202877495589335,0.715832024145781,0.7196065000232515,True,True,77,76,0.7023032989006563,0.7052707869154728,1.2670682283180839,0.09482860669901927,-1.1722396216190645,1.3618968350171032,-2.4393078499371486,2.628965063335187,0.8507499978570483,0.8337236228385084
SWKS,0.4175013617126748,0.4322913450115312,0.5927396112650819,0.5806380012257171,True,True,56,58,1.0915484359879464,1.100689147392374,1.514196161501411,0.13757049461402068,-1.3766256668873904,1.6517666561154316,-2.8908218283888014,3.1659628176168426,0.8530225271381573,0.8620656026559783
ON,0.5660423088920938,0.5689123358171491,0.4991324261826442,0.47135863898996244,False,False,62,61,1.3540227884547476,1.3955381160120608,1.784018859694714,0.16798709853799212,-1.6160317611567219,1.952005958232706,-3.400050620851436,3.73602481792742,0.8105303191081461,0.7966239116158567
MU,0.5580105697732728,0.5582219646897995,0.6229782642964279,0.6209144374206328,True,True,78,79,1.138027501693173,1.134232984743826,1.783086779537253,0.13183705346361635,-1.6512497260736365,1.9149238330008693,-3.4343365056108897,3.698010612538122,0.8196255562888801,0.8176691690602095
NVDA,0.5907154410087507,0.6035832282438929,0.5423685017197676,0.5469920644342456,False,True,73,76,1.2833077478019292,1.274763282589438,1.5811753681251257,0.16412707649365516,-1.4170482916314706,1.7453024446187808,-2.9982236597565963,3.3264778127439065,0.8387589053514484,0.8101292207630545
AVGO,0.3479941206573966,0.36222503187070004,0.7330821813583566,0.7141672571622127,True,True,84,82,0.6522967563593461,0.6851246703716571,1.3201954113783227,0.08702829525311923,-1.2331671161252036,1.407223706631442,-2.553362527503526,2.727419118009765,0.8549730532460507,0.8436854832515142
QRVO,0.4384979677033579,0.4508699873779916,0.4530709163283334,0.44705467695978807,False,False,61,63,1.065473017925589,1.0691871271664013,1.5283058639848421,0.17177839378750362,-1.3565274701973384,1.7000842577723458,-2.8848333341821806,3.228390121757188,0.8014342129765473,0.8311167100963126
MRVL,0.5265763198020481,0.5324088816244988,0.35479179121343507,0.3621370677354421,False,False,56,58,1.3973509504188273,1.3733763905042593,1.5106966425684456,0.21805607873012878,-1.292640563838317,1.7287527212985743,-2.8033372064067623,3.23944936386702,0.7548894648178415,0.7491044128661537
AMKR,0.5758771082600029,0.5823080200968853,0.5697918151949,0.5717749289544851,False,True,62,69,1.3547535191706321,1.2778533814361765,1.6004645594826503,0.1655449984082054,-1.434919561074445,1.7660095578908557,-3.035384120557095,3.366474117373506,0.8280730815572294,0.8186289306126054
