,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
QRVO,0.4344447362237483,0.4486384093153518,0.4445023245138465,0.4395725154732365,False,False,61,63,1.0675437798344878,1.0727249855214622,1.5339411754618142,0.14109931189480587,-1.3928418635670083,1.67504048735662,-2.9267830390288223,3.2089816628184344,0.8040664379763998,0.8301018112193537
AVGO,0.3738733286967649,0.3866162544752368,0.654838729581396,0.6477480756624707,True,True,77,80,0.7466601851337642,0.7578828466421945,1.3219582386136723,0.08831628368033205,-1.2336419549333404,1.4102745222940043,-2.5556001935470127,2.7322327609076766,0.8518002730512035,0.8431695783765238
MCHP,0.39675744028322874,0.3894566498256232,0.7311544837904635,0.7385635618099284,True,True,74,74,0.8403884168186707,0.8289799379158614,1.5437426472453648,0.08803240052728738,-1.4557102467180774,1.6317750477726523,-2.999452893963442,3.175517695018017,0.8283001347085382,0.8342274360863151
QCOM,0.4332402566266911,0.4477161262378662,0.37139828670736363,0.38112830143467225,False,False,59,60,1.1033097535582503,1.1215015418360996,1.399613866694078,0.1576689162257431,-1.2419449504683349,1.5572827829198213,-2.641558817162413,2.956896649613899,0.7903836764506094,0.8365682717637605
SWKS,0.4098480322978819,0.42972408470341367,0.5888772514099887,0.5762798193075338,True,True,58,58,1.0602409605443108,1.0904203143656337,1.4814144315576359,0.12496394328478398,-1.3564504882728519,1.6063783748424199,-2.837864919830488,3.0877928064000555,0.8762160576485926,0.8622720266610823
TXN,0.393506963250418,0.40744637458205896,0.5266873820365259,0.5320028109756045,True,True,72,75,0.8056991746330756,0.8082158626232108,1.193950465890093,0.07868282197786562,-1.1152676439122273,1.2726332878679587,-2.3092181098023206,2.4665837537580515,0.8398657305882271,0.8330736125369841
MRVL,0.5259984231428186,0.5305678472295156,0.35545683608168166,0.36625511027788504,False,False,54,58,1.4366571795257688,1.3734842309569038,1.49590094770462,0.21204527595289127,-1.2838556717517287,1.7079462236575111,-2.7797566194563483,3.2038471713621313,0.7587409293311794,0.7502538872583906
AMKR,0.5776320074258942,0.5803260109478776,0.575737490806637,0.5744574628484074,True,True,65,70,1.3105026145144516,1.2584328007849621,1.594034459934511,0.1423986308918159,-1.4516358290426952,1.736433090826327,-3.0456702889772065,3.330467550760838,0.8247823486853678,0.8191158575058496
ON,0.5537431533414781,0.5544764725633661,0.47805376511515585,0.4734371921364723,False,False,67,63,1.2622036128755012,1.322049111263175,1.7497734501025064,0.14405903566299916,-1.6057144144395072,1.8938324857655056,-3.3554878645420136,3.643605935868012,0.800806307669172,0.7974020696459581
ADI,0.3479721685138082,0.3464363832053681,0.7215133705315899,0.729257617242848,True,True,76,78,0.7060273594444816,0.6889686329450614,1.257826963678582,0.09576585558881189,-1.16206110808977,1.3535928192673938,-2.419888071768352,2.6114197829459758,0.8335991323052092,0.8342340385522427
NXPI,0.4714227513319751,0.4810215367399086,0.594900905597964,0.5963373707798407,True,True,68,65,1.0835110070277092,1.1213943230474304,1.6008301792634705,0.11392899268265944,-1.486901186580811,1.71475917194613,-3.0877313658442818,3.3155893512096,0.8226524661399708,0.814138028897802
XLNX,0.3892291405294363,0.39018655341381386,0.6452455983062214,0.6543910434439935,True,True,68,70,0.8624762255329023,0.8293442178910507,1.2820108543114956,0.09031704691082336,-1.1916938074006722,1.372327901222319,-2.473704661712168,2.6543387555338147,0.7903354183307618,0.8177658797048932
NVDA,0.6045912065978691,0.6011818255363627,0.5365063610762959,0.5601125728220412,False,True,73,77,1.3121340055100026,1.2606579110451366,1.6130600231847236,0.18782459649996489,-1.4252354266847587,1.8008846196846886,-3.0382954498694823,3.4139446428694122,0.8237906161492141,0.810882432789559
