,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
MCHP,0.4017271866988909,0.39396888325603746,0.7230674105337453,0.7348117233669489,True,True,72,74,0.8651109608829461,0.8393666928416916,1.5445098707111815,0.08696533395723338,-1.4575445367539481,1.631475204668415,-3.0020544074651294,3.1759850753795966,0.8317486570193816,0.8340151903417528
QRVO,0.4429496306546852,0.45339675537018026,0.4441556524182947,0.43907382404730766,False,False,63,64,1.0612801627337334,1.0724370832347734,1.509518496389488,0.14638055071569955,-1.3631379456737887,1.6558990471051875,-2.8726564420632767,3.1654175434946756,0.8222799186328735,0.8301207370177028
AMKR,0.5732272385177108,0.5759552887388577,0.570433616429355,0.5716343544359607,True,True,62,69,1.3334115702403415,1.2645767078480743,1.5861966293734862,0.14758921840078693,-1.4386074109726992,1.7337858477742731,-3.0248040403461856,3.319982477147759,0.8249688925126288,0.8188550826548019
MU,0.5898348104034745,0.5560147999373432,0.6026359423736227,0.6239987817885487,True,True,81,80,1.1553175183675548,1.1268580853702272,1.8393846529254396,0.16735091997069276,-1.6720337329547468,2.0067355728961322,-3.5114183858801864,3.846120225821572,0.804028719736217,0.8188700720539104
MRVL,0.5330649331462295,0.5309397722163722,0.3494168158666755,0.36589175968959553,False,False,58,58,1.3747852397746478,1.3736992138919641,1.5018862309007324,0.20653457415724702,-1.2953516567434853,1.7084208050579794,-2.7972378876442177,3.210307035958712,0.7598463150907651,0.7499223706355449
AVGO,0.35158928128950867,0.36502983289295227,0.7315205971080685,0.7099235423641275,True,True,85,83,0.6532385919240766,0.688435712938405,1.3222129910170302,0.08990505766206336,-1.2323079333549667,1.4121180486790936,-2.554520924371997,2.734331039696124,0.8524469488902916,0.8431395004429466
ADI,0.35098953619148676,0.3491332972601053,0.7229461995461652,0.7241772961298389,True,True,76,78,0.6886623555255987,0.6923132931325864,1.253927157404344,0.09067374443143308,-1.1632534129729108,1.3446009018357772,-2.417180570377255,2.598528059240121,0.8369841077023039,0.8338647129661607
ON,0.551964273501052,0.5532912065349331,0.4732822080136935,0.4747354009122414,False,False,65,63,1.306648229333454,1.322542769468034,1.7510730721826455,0.1421778127805871,-1.6088952594020585,1.8932508849632326,-3.359968331584704,3.644323957145878,0.8013873530602231,0.7972218607689419
TXN,0.39697098511217027,0.4122805660572445,0.5229066042693649,0.5236352406179369,True,True,75,74,0.7875896838343133,0.8210674397206528,1.1915192719197731,0.07399409385015407,-1.1175251780696192,1.2655133657699271,-2.309044449989392,2.4570326376897005,0.8399564462959667,0.8326823417591224
XLNX,0.38611401015365554,0.3879124496672824,0.6478217107385096,0.6508022064985317,True,True,68,69,0.8489021618601434,0.8325079656850041,1.2715017199722198,0.08630044149455872,-1.185201278477661,1.3578021614667786,-2.456702998449881,2.6293038814389984,0.8045396756939838,0.8233604762523824
NXPI,0.4778748667911787,0.49622789471713874,0.5959120483709379,0.5905034113100248,True,True,62,63,1.166127947590281,1.1939167578779037,1.592234480498942,0.1141304580917735,-1.4781040224071684,1.7063649385907154,-3.07033850290611,3.2985994190896575,0.822966525848668,0.8139758266066529
SWKS,0.4071758637101649,0.42869012251638094,0.5913028729446046,0.5765799320370021,True,True,56,58,1.0763237080516068,1.0894935204440817,1.4823871524400614,0.1239042130883934,-1.358482939351668,1.6062913655284548,-2.840870091791729,3.0886785179685163,0.8763789151739603,0.8620444998682301
QCOM,0.4370660890983565,0.4544542527360732,0.3701748473065968,0.3796403244543167,False,False,52,61,1.1970525257508366,1.1251005610047322,1.396558431072656,0.16044671128333896,-1.236111719789317,1.557005142355995,-2.632670150861973,2.9535635734286507,0.7911018446786768,0.8361390891625031
