,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
MCHP,0.40372432131493585,0.3939688832599054,0.7173177791892789,0.7348117233637829,True,True,70,74,0.87520894910099,0.839366692847674,1.577729238243557,0.10086706364225928,-1.4768621746012978,1.6785963018858163,-3.0545914128448546,3.2563255401293736,0.8269232566564019,0.8340151903417526
QRVO,0.4430802829988473,0.45339675537036644,0.4476716984090273,0.43907382404766926,False,False,65,64,1.0436140732294226,1.07243708323363,1.5063276035778523,0.16125481562650051,-1.3450727879513518,1.667582419204353,-2.851400391529204,3.1739100227822052,0.8285443762194749,0.8301207370177033
AMKR,0.5997466269362313,0.575955288738962,0.5378515999574618,0.5716343544358595,False,True,70,69,1.3223310326214508,1.2645767078481993,1.8561711261317915,0.1983103638767017,-1.6578607622550898,2.0544814900084933,-3.514031888386881,3.910652616140285,0.6251273328107485,0.8188550826548019
MU,0.5578603394126602,0.5560147999452792,0.6242996815348849,0.6239987817839028,True,True,81,80,1.1223321922733736,1.1268580853800247,1.7966041467560658,0.14005315466776258,-1.6565509920883033,1.9366573014238284,-3.453155138844369,3.7332614481798942,0.8188769169788472,0.8188700720539103
MRVL,0.5242966883705066,0.5309397722163215,0.35761720585461,0.36589175968962706,False,False,57,58,1.3888390891958742,1.3736992138918709,1.5256812742758608,0.21151057965773848,-1.3141706946181222,1.7371918539335993,-2.839851968893983,3.26287312820946,0.7492723280386151,0.7499223706355449
NVDA,0.5859773233289496,0.6015710450627194,0.5563525308228727,0.5572707116682634,False,True,70,77,1.3031425002689743,1.2608239152209464,1.5873293203211876,0.17076872800162027,-1.4165605923195672,1.758098048322808,-3.003889912640755,3.3454273686439953,0.8359876518998729,0.8106421312238115
AVGO,0.3525783382692762,0.36502983289579133,0.7272176173182601,0.7099235423556222,True,True,88,83,0.6499851456028984,0.6884357129492543,1.3302985720285838,0.1010543265543095,-1.2292442454742742,1.4313528985828934,-2.5595428175028583,2.761651470611477,0.8556412895615183,0.8431395004429469
ADI,0.3454846651202896,0.3491332972600408,0.7243408838340352,0.7241772961298589,True,True,75,78,0.7029807251735104,0.6923132931325734,1.2722895247797825,0.09524898733057242,-1.1770405374492101,1.367538512110355,-2.4493300622289924,2.6398280368901377,0.838617957829573,0.8338647129661598
ON,0.533169877480193,0.5532912065349294,0.5004186596418343,0.47473540091224364,False,False,64,63,1.2544435959436044,1.322542769468025,1.7916874456926308,0.17589291653819938,-1.6157945291544316,1.96758036223083,-3.4074819748470624,3.759267807923461,0.8085483840781059,0.7972218607689412
TXN,0.40585773568473804,0.4122805660573205,0.5119733250893601,0.5236352406178628,True,True,68,74,0.8558582561022313,0.8210674397209126,1.2114865994279744,0.08566592631252296,-1.1258206731154514,1.2971525257404974,-2.337307272543426,2.5086391251684717,0.8389357173714906,0.8326823417591225
XLNX,0.3846471390339365,0.387912449667146,0.6478094200586788,0.6508022064986797,True,True,70,69,0.8436675339604037,0.832507965684626,1.4015088308614425,0.10770075487362965,-1.2938080759878128,1.5092095857350722,-2.6953169068492553,2.9107184165965148,0.6842666945562641,0.8233604762523821
SWKS,0.4107617506535828,0.42869012251907096,0.5891656930548863,0.5765799320356604,True,True,55,58,1.0964421072520478,1.0894935204486071,1.4880155424687065,0.1320320648594279,-1.3559834776092785,1.6200476073281345,-2.843999020077985,3.1080631497968407,0.8761565698174943,0.8620444998682291
QCOM,0.44001788258397406,0.454454252741987,0.37200014452460384,0.3796403244549227,False,False,57,61,1.1389202014606146,1.1251005610166271,1.4026336808880804,0.15238983130522726,-1.2502438495828532,1.5550235121933076,-2.6528775304709336,2.957657193081388,0.7900936123923995,0.8361390891625022
