,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
XLNX,0.41148317167333326,0.41309828885188676,0.5988649306370796,0.5996890200863563,True,True,62,68,0.9680608956527026,0.9103314166938297,1.2715992145378965,0.08511562912022622,-1.1864835854176703,1.3567148436581227,-2.4580827999555668,2.628314058196019,0.8030070606144638,0.8236828003857605
ADI,0.3638693647510572,0.35140592622967043,0.7028822210259387,0.7302503391617756,True,True,70,78,0.7670333519138988,0.6868833390481297,1.2732691131608112,0.10040527503528288,-1.1728638381255283,1.373674388196094,-2.4461329512863395,2.646943501356905,0.8343144896702048,0.8348791082541932
MCHP,0.42375981499973164,0.4129206741057503,0.722849442055151,0.7212882574396369,True,True,70,72,0.9037170999131894,0.8913508244915316,1.570242154414308,0.11061336636419347,-1.4596287880501144,1.6808555207785014,-3.0298709424644223,3.2510976751928093,0.838797053081852,0.8324194894883843
TXN,0.41509105058789514,0.42036456043438847,0.5202505481633212,0.5343270234698636,True,True,68,72,0.8733087093909669,0.841771362241087,1.2020568154884392,0.07806502003521043,-1.1239917954532288,1.2801218355236497,-2.326048610941668,2.482178651012089,0.841921492812463,0.8356740589756186
AVGO,0.34984884116367787,0.35808168950870944,0.7297744128377561,0.7171544190475494,True,True,83,81,0.6568629541572258,0.6811228757146301,1.3310983432240382,0.09161001111968037,-1.239488332104358,1.4227083543437185,-2.570586675328396,2.753806697567757,0.8546200340687006,0.8464827622570892
MU,0.528079099164612,0.5289965925801546,0.6413969286937891,0.6385283601713614,True,True,76,76,1.0737120637142497,1.0808035709501742,1.7803684793921781,0.12034909613807257,-1.6600193832541055,1.9007175755302508,-3.4403878626462836,3.681086054922429,0.8278536640854862,0.8264678899201369
QCOM,0.43382601680262706,0.44778121416833994,0.36096675894551566,0.37072697068628546,False,False,54,57,1.1499714706782866,1.1434935871068563,1.401239147103805,0.16301463355030718,-1.238224513553498,1.5642537806541121,-2.6394636606573028,2.9654929277579174,0.7904667307951002,0.7706926670636327
SWKS,0.5065898025071105,0.5194452459454809,0.3019197193974287,0.3146200766198797,False,False,44,42,1.6932348813002172,1.7627216444438236,1.4992537903101546,0.1346758733922695,-1.364577916917885,1.633929663702424,-2.86383170722804,3.1331834540125785,0.8770960917249414,0.8637371584979863
NXPI,0.4873661212580786,0.5081419194158027,0.6286831455459834,0.6062700463023496,True,True,68,64,1.1011920974121645,1.1910116371793462,1.6522028128095982,0.14128783130695674,-1.5109149815026415,1.793490644116555,-3.1631177943122397,3.4456934569261533,0.8115386064440201,0.8139853523168397
AMKR,0.5763029300607793,0.56958924446735,0.5637746157148615,0.566661521610992,True,True,68,66,1.255491409374445,1.2769743971522267,1.6121591475971346,0.16536549979633178,-1.4467936478008028,1.7775246473934665,-3.0589527953979374,3.389683794990601,0.8375198288318757,0.8198358029392029
MRVL,0.4487861186752465,0.4516495036431307,0.664758244489905,0.6616943002601275,True,True,71,68,0.9486153501196013,0.9818444988387047,1.5121790568397984,0.2233973465666468,-1.2887817102731516,1.7355764034064451,-2.80096076711295,3.2477554602462435,0.7535427764464284,0.747300828642454
NVDA,0.5710122816100803,0.577757008910923,0.544793548068301,0.5596654780950985,False,True,75,72,1.198925365890917,1.2276914112287842,1.5790106306135165,0.16937068786875403,-1.4096399427447626,1.7483813184822705,-2.988650573358279,3.3273919490957873,0.8407701797839251,0.8187144957664582
