,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
XLNX,0.4097735041947565,0.41309828885183386,0.6022140801021085,0.5996890200864056,True,True,58,68,0.9965926649177362,0.9103314166937008,1.2901752308961818,0.0826419817865225,-1.2075332491096593,1.3728172126827043,-2.497708480005841,2.662992443578886,0.7975766781381539,0.8236828003857617
ADI,0.34894285103235534,0.3514059262296883,0.7243347019579056,0.7302503391617736,True,True,76,78,0.699448805743607,0.6868833390481204,1.2831101861629062,0.0948800899665172,-1.188230096196389,1.3779902761294234,-2.471340282359295,2.6611004622923295,0.8275550923250088,0.8348791082541929
MCHP,0.41872623327540953,0.4129206741063232,0.7123608532889019,0.7212882574390089,True,True,72,72,0.8984223920481033,0.8913508244923745,1.5601665364093968,0.0888360199339696,-1.4713305164754273,1.6490025563433663,-3.031497052884824,3.2091690927527634,0.8239826960394075,0.8324194894883843
TXN,0.4117979309344129,0.4203645604343614,0.5243491005721933,0.5343270234698757,True,True,68,72,0.8562639695793076,0.8417713622410178,1.2062847124712233,0.07364499914058802,-1.1326397133306352,1.2799297116118113,-2.3389244258018587,2.4862144240830344,0.8407141705265667,0.8356740589756191
AVGO,0.3479543435955582,0.35808168951073477,0.7325833454760434,0.7171544190407736,True,True,85,81,0.6434407667166079,0.6811228757231703,1.3178464953719147,0.07809091690678112,-1.2397555784651335,1.3959374122786958,-2.557602073837048,2.7137839076506105,0.8547841585720704,0.846482762257089
MU,0.5436084503005562,0.5289965925539106,0.63169413624824,0.638528360189798,True,True,75,76,1.1024000077164595,1.0808035709110808,1.7845361809104543,0.12563580634043367,-1.6589003745700206,1.910171987250888,-3.443436555480475,3.694708168161342,0.8282148756862997,0.8264678899201376
SWKS,0.5022543311731248,0.5194452459436052,0.3062252079315809,0.3146200766197972,False,False,42,42,1.7416057230839015,1.7627216444377467,1.644173691628849,0.15158576573757407,-1.4925879258912749,1.795759457366423,-3.136761617520124,3.439933148995272,0.7283314665341344,0.8637371584979856
NXPI,0.5005726278138172,0.5081419194130371,0.6049464220061614,0.6062700463013289,True,True,67,64,1.1495946238375352,1.1910116371763866,1.6027759634934318,0.10382237158388492,-1.498953591909547,1.7065983350773166,-3.1017295554029785,3.3093742985707486,0.8212190911393391,0.8139853523168394
AMKR,0.568828227342851,0.5695892444800497,0.5685244025875689,0.5666615215984556,True,True,65,66,1.2810068608468432,1.2769743971670284,1.5909000743067259,0.1315421616845808,-1.459357912622145,1.7224422359913067,-3.050257986928871,3.3133423102980326,0.8301484142107176,0.8198358029392027
MRVL,0.4483412323776403,0.4516495036431777,0.6640624945144324,0.6616943002600908,True,True,70,68,0.9562680604000302,0.9818444988387613,1.4976220993379414,0.2151825067305293,-1.2824395926074121,1.7128046060684707,-2.7800616919453534,3.2104267054064124,0.7556431194267673,0.7473008286424551
NVDA,0.5692624848122433,0.5777570089109156,0.5419191378514102,0.5596654780950845,False,True,70,72,1.2456712637098117,1.2276914112288013,1.5790106306135165,0.16937068786875403,-1.4096399427447626,1.7483813184822705,-2.988650573358279,3.3273919490957873,0.840442940580525,0.8187144957664594
ON,0.5611143928800287,0.5659818485019311,0.4702376322679477,0.46526624176890297,False,False,63,60,1.350535862428031,1.3967946118555028,1.757865926295468,0.15009974425069575,-1.6077661820447722,1.9079656705461636,-3.36563210834024,3.6658315968416315,0.7980181338138754,0.7968871968623242
