,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
MRVL,0.4396405826717876,0.4456526691561579,0.6667394818587585,0.6623714203713216,True,True,71,71,0.9327405854190937,0.94814705618348,1.5060810800477389,0.21538100302266078,-1.290700077025078,1.7214620830703997,-2.796781157072817,3.2275431631181384,0.762971003349166,0.7567098564840499
ON,0.5661358628467571,0.5697127865556362,0.4750554842689717,0.4724396640905095,False,False,63,60,1.3514676332927977,1.399722105354575,1.7692531112370138,0.1551221357876266,-1.614130975449387,1.9243752470246405,-3.383384086686401,3.693628358261654,0.7985051842704618,0.7975079108933818
MCHP,0.4173261505315525,0.4118906294992188,0.722250070915734,0.7293071633968877,True,True,72,71,0.8956615301052196,0.898007509072388,1.5617897088171873,0.0786969363790507,-1.4830927724381366,1.6404866451962379,-3.044882481255324,3.202276354013425,0.8199772877845228,0.8334695506879055
AVGO,0.3396174832856354,0.3537436057804338,0.7474145243407593,0.7262124502573499,True,True,85,82,0.6262074811690223,0.665729969681534,1.3202688948330898,0.08142034728020851,-1.2388485475528814,1.4016892421132983,-2.559117442385971,2.7219581369463883,0.8558727925904135,0.8456297076119907
ADI,0.3528393397644419,0.351942785554236,0.7213359821505518,0.7321193063144997,True,True,75,77,0.7146988848560856,0.6938653672875763,1.2788126765435455,0.09604799118585597,-1.1827646853576894,1.3748606677294015,-2.461577361901235,2.653673344272947,0.8279786387087953,0.8350124865900512
NVDA,0.5746545706814652,0.5940185916507037,0.5467242584412432,0.5487656308809836,False,True,72,75,1.2440935835043794,1.2475678168010274,1.583952218100826,0.16046926273803647,-1.4234829553627897,1.7444214808388625,-3.0074351734636156,3.328373698939689,0.838189114520644,0.8149119207612485
NXPI,0.4981222255234387,0.5004582920755909,0.6070599707830138,0.612585744685574,True,True,64,63,1.18655914236296,1.19665720315071,1.6030300773427628,0.11415955254816663,-1.4888705247945961,1.7171896298909295,-3.091900602137359,3.3202197072336923,0.8204046075167724,0.8141527625661795
AMKR,0.5762770965758921,0.5770677817385775,0.5719884605485048,0.5727461849239986,True,True,64,67,1.3172165364816855,1.285778716516513,1.5980242619106158,0.14198524220578218,-1.4560390197048336,1.7400095041163979,-3.0540632816154494,3.3380337660270136,0.8295485823823483,0.819573236736448
XLNX,0.3987683549471611,0.39877967696396227,0.6457687900456304,0.6496151645243651,True,True,62,70,0.9194343093965283,0.8507827003537646,1.2852901507283403,0.07504312077844114,-1.210247029949899,1.3603332715067815,-2.4955371806782396,2.6456234222351216,0.7933188581719861,0.8177370017870077
SWKS,0.4602541827419927,0.5079637412189284,0.4097336557489081,0.31334802066086576,False,False,43,41,1.5495791741429141,1.747771374530204,1.6674710963673673,0.15040830464353097,-1.5170627917238364,1.8178794010108983,-3.1845338880912037,3.4853504973782656,0.7705736120576404,0.8637682340798879
TXN,0.4158310973043685,0.4220903398112734,0.5223147367103862,0.5378728509115179,True,True,70,72,0.8558415612570958,0.849033970585765,1.200352591938075,0.07644919688004449,-1.1239033950580306,1.2768017888181196,-2.3242559869961057,2.4771543807561947,0.8397002748930721,0.834733594625461
MU,0.5494519233193127,0.5475109288148605,0.6290362163609744,0.6300985292770476,True,True,76,76,1.1291992299614937,1.1266290268279102,1.7881426924337027,0.12442465746236865,-1.663718034971334,1.9125673498960714,-3.4518607274050366,3.7007100423297743,0.8180997387042908,0.8187173425497634
QCOM,0.453271704626326,0.4623425091166697,0.2713085985185064,0.37308272974822654,False,False,52,59,1.249989788443232,1.1706759059785166,1.56716868274801,0.1802697897345011,-1.3868988930135089,1.7474384724825112,-2.954067575761519,3.314607155230521,0.6403304947443763,0.7674687635930988
