,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
XLNX,0.41002839722323653,0.4130982888518026,0.5966276948506781,0.5996890200864344,True,True,59,68,1.0023391330324674,0.910331416693625,1.285607882723219,0.07966981598873046,-1.2059380667344883,1.3652776987119495,-2.4915459494577075,2.650885581435168,0.7988583673826211,0.8236828003857607
ADI,0.3627638506457174,0.3514059262297113,0.6782469579321515,0.7302503391617712,True,True,73,78,0.7582600053288886,0.6868833390481085,1.278182376744156,0.10233044793466622,-1.1758519288094897,1.3805128246788223,-2.454034305553646,2.658695201422978,0.8298775528148399,0.8348791082541929
MCHP,0.46175241434154296,0.4129206741073216,0.5990809351105792,0.7212882574379148,True,True,65,72,1.0660632877409832,0.8913508244938436,1.5709813988298815,0.10345852871036197,-1.4675228701195195,1.6744399275402435,-3.038504268949401,3.245421326370125,0.8156602276622489,0.8324194894883845
TXN,0.4203275907915433,0.42036456043436266,0.4966936525682899,0.534327023469875,True,True,70,72,0.8750519401034871,0.8417713622410211,1.2020568154884392,0.07806502003521044,-1.1239917954532288,1.2801218355236497,-2.326048610941668,2.482178651012089,0.8409499351891505,0.8356740589756186
AVGO,0.3485812469040227,0.35808168951175334,0.700725664719894,0.7171544190373658,True,True,84,81,0.6555073593656439,0.6811228757274652,1.3220449599920034,0.08250848366981725,-1.239536476322186,1.4045534436618208,-2.5615814363141896,2.726598403653824,0.857757204688117,0.8464827622570885
MU,0.5315979941050942,0.5289965925714702,0.6335487922062755,0.6385283601774623,True,True,76,76,1.0922301724688779,1.0808035709372377,1.7803684793921781,0.12034909613807257,-1.6600193832541055,1.9007175755302508,-3.4403878626462836,3.681086054922429,0.8268361578570995,0.826467889920137
QCOM,0.4308495783133089,0.4477812141611529,0.3725768859451569,0.37072697068585103,False,False,56,57,1.103948576725466,1.1434935870910181,1.4322893592766779,0.17131431118443785,-1.2609750480922401,1.6036036704611156,-2.693264407368918,3.0358930297377937,0.7820706271206017,0.7706926670636335
NXPI,0.5096632098710447,0.508141919416356,0.5941897038781919,0.6062700463025537,True,True,66,64,1.1776963940577652,1.1910116371799382,1.6022644785279716,0.11436040202757836,-1.4879040765003932,1.71662488055555,-3.090168555028365,3.3188893590835216,0.821060089190996,0.8139853523168389
AMKR,0.5770070670542591,0.5695892444780478,0.5619720263584271,0.5666615216004318,True,True,65,66,1.301107961594963,1.2769743971646954,1.598380830951744,0.14107665807080966,-1.4573041728809344,1.7394574890225536,-3.055685003832678,3.337838319974298,0.8291765174838248,0.8198358029392032
MRVL,0.46004219106831046,0.45164950364319645,0.6516835176460383,0.6616943002600761,True,True,68,68,1.0021210213440737,0.9818444988387839,1.5014994609170165,0.21056652241896467,-1.290932938498052,1.712065983335981,-2.7924323994150684,3.2135654442529975,0.7591552856351202,0.7473008286424538
NVDA,0.56525889249422,0.5777570089109179,0.5458614424224686,0.5596654780950887,False,True,70,72,1.2386558684108937,1.227691411228796,1.5815290174360923,0.16527435736481622,-1.4162546600712762,1.7468033748009084,-2.9977836775073685,3.3283323922370007,0.8410976057360948,0.818714495766457
ON,0.5645633590407064,0.5659818485019422,0.46046698141794085,0.46526624176889386,False,False,62,60,1.3840555401250643,1.3967946118555328,1.7759605371588383,0.1645505253303029,-1.6114100118285353,1.9405110624891413,-3.3873705489873736,3.7164715996479796,0.7951242511322212,0.7968871968623259
