,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
NVDA,0.5716423879175958,0.5881816569344314,0.5459596571173535,0.5549577370576988,False,True,73,74,1.2351769817049338,1.2398645043276253,1.5812716583812996,0.1675727839669067,-1.4136988744143928,1.7488444423482064,-2.9949705327956924,3.330116100729506,0.8390901162799703,0.8166654535985789
AVGO,0.3315479553698687,0.35037248759094225,0.7496253694215251,0.7271473013714809,True,True,79,81,0.6398693894597582,0.6670581660115846,1.3214022727655712,0.08640288468894981,-1.2349993880766215,1.407805157454521,-2.5564016608421927,2.729207430220092,0.8602264089282154,0.8464148263470782
XLNX,0.41966690445891675,0.414420893670786,0.5544854158785522,0.5997127749391515,True,True,71,68,0.9296068200335375,0.9127441566828884,1.2818253406254356,0.08694840835158295,-1.1948769322738526,1.3687737489770186,-2.4767022728992885,2.650599089602454,0.7887985668409346,0.82336731635013
AMKR,0.5797397269348534,0.5724043092918855,0.5559858745768079,0.5641940983573326,True,True,64,67,1.3155793185565108,1.2678463000703761,1.5846529668477418,0.14378461407895207,-1.4408683527687898,1.7284375809266939,-3.0255213196165314,3.313090547774436,0.8304191210754622,0.8194033267587602
MRVL,0.4440799430019738,0.44664039178728565,0.6628056183491648,0.6606497348949079,True,True,71,71,0.9386043939841041,0.9482935894656156,1.4913800548779141,0.2115129102142302,-1.279867144663684,1.7028929650921443,-2.771247199541598,3.1942730199700584,0.764532506851547,0.7560032116563458
MCHP,0.4044934230871541,0.40961622375030743,0.7382023262395956,0.7225531054612687,True,True,73,71,0.8443270278929066,0.8936723250408501,1.5675404719332586,0.08908109877925727,-1.4784593731540014,1.6566215707125158,-3.04599984508726,3.2241620426457747,0.8391579456792644,0.8329394860582562
QCOM,0.4522526533789685,0.4600792122804884,0.3443869898933589,0.3638557054038929,False,False,55,58,1.203176678464858,1.1723224704240383,1.4043799465306794,0.1598594318533579,-1.2445205146773215,1.5642393783840374,-2.648900461208001,2.968619324914717,0.7910168057556644,0.7712900318048792
MU,0.5357365088083401,0.54074412649947,0.6260791799288927,0.6221151637097597,True,True,77,77,1.1067051042790959,1.1099749984943155,1.78759892351574,0.13687670081939385,-1.650722222696346,1.9244756243351337,-3.438321146212086,3.7120745478508734,0.8208698964058978,0.8186950122134184
ON,0.5621691856533494,0.5650319606512461,0.46447681317615797,0.46314745299950966,False,False,65,61,1.3177895168935898,1.3799133300877922,1.7622504419022647,0.15685829116320438,-1.6053921507390603,1.919108733065469,-3.367642592641325,3.6813591749677337,0.8007674483507545,0.7966909880193476
ADI,0.31675236399521495,0.35085244885717887,0.7824430665571054,0.7291138679441737,True,True,74,79,0.6505697195847439,0.6851492472110681,1.2846974640059081,0.08913680987583933,-1.1955606541300687,1.3738342738817475,-2.480258118135977,2.6585317378876554,0.8561129936953841,0.8338319352020338
QRVO,0.4750928536964245,0.47869201216182833,0.39338379137921897,0.40008290913577316,False,False,55,55,1.2462653101806196,1.2553373413346747,1.5201033274550182,0.16439273445170333,-1.3557105930033149,1.6844960619067215,-2.875813920458333,3.2045993893617397,0.8248326614314659,0.8320236814580905
SWKS,0.5042088958917659,0.5158122293246346,0.2957442503034815,0.3147987451164943,False,False,44,41,1.6991265058051226,1.7917561420288506,1.4934347003799928,0.1297934692389498,-1.363641231141043,1.6232281696189426,-2.857075931521036,3.1166628699989354,0.8761788695311854,0.8637022878823729
NXPI,0.4994306217376266,0.5013109284991576,0.5923982719201353,0.6034893015302103,True,True,68,63,1.1448977312670077,1.1958379403938095,1.617488556379509,0.12108302301582852,-1.4964055333636805,1.7385715793953374,-3.1138940897431895,3.3560601357748463,0.8240730966591052,0.814000880067037
