,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
NXPI,0.48696721649704783,0.4890247120868595,0.6021277682421027,0.6056135593654383,True,True,66,65,1.135688876152997,1.1458377243734783,1.602913518659324,0.10805917767901643,-1.4948543409803074,1.7109726963383405,-3.0977678596396316,3.3138862149976642,0.8157732912248181,0.8135963650281278
QCOM,0.4515405106013358,0.4600917531415225,0.36593750763086985,0.37275449854287923,False,False,58,62,1.1460645297036154,1.1207029283180863,1.423190519120459,0.16299605441883405,-1.260194464701625,1.586186573539293,-2.683384983822084,3.009377092659752,0.7781319250621441,0.835573630746939
TXN,0.4021486661000133,0.4111689026536231,0.49170386080476636,0.5268573938921166,True,True,70,73,0.8323237290607969,0.8201580449609303,1.208595735216439,0.06260441437553732,-1.1459913208409016,1.2712001495919762,-2.3545870560573405,2.479795884808415,0.827904158876614,0.8333335568386847
MCHP,0.40599558259997615,0.3985578381768492,0.7238100631291147,0.734477645708242,True,True,74,75,0.856676658298748,0.8404195842351053,1.5576987921548766,0.0735429538477551,-1.4841558383071216,1.6312417460026316,-3.041854630461998,3.1889405381575084,0.826137473230975,0.8336790993935491
ADI,0.3504678184443649,0.35202877495584933,0.7140218157301021,0.7196065000232676,True,True,74,76,0.7161011306882752,0.7052707869154734,1.265184270834788,0.0914772405844669,-1.1737070302503212,1.3566615114192548,-2.438891301085109,2.621845782254043,0.836519361526171,0.8337236228385081
SWKS,0.41277766570564867,0.43229134500377014,0.5919332720546643,0.5806380012285782,True,True,57,58,1.0837049858767083,1.1006891473821059,1.4922373484269973,0.11781089433234786,-1.3744264540946494,1.6100482427593452,-2.866663802521647,3.1022855911863423,0.8734808383334633,0.8620656026559774
ON,0.5693295523399888,0.5689123358170932,0.47295100410411917,0.47135863899000807,False,False,65,61,1.3435574975132591,1.3955381160119373,1.7501705981666167,0.14052924002104406,-1.6096413581455726,1.8906998381876607,-3.359811956312189,3.6408704363542777,0.7989164152153119,0.7966239116158561
MU,0.56038525816575,0.5582219647075415,0.6199099494552478,0.6209144374099997,True,True,81,79,1.1215425664278602,1.13423298476609,1.7926157388962969,0.13922957983974832,-1.6533861590565486,1.9318453187360451,-3.4460018979528453,3.7244610576323423,0.8095522007384439,0.8176691690602101
NVDA,0.5862122105355791,0.6035832282438943,0.5372155274677777,0.5469920644342552,False,True,73,76,1.2846444860907293,1.2747632825894253,1.5887812942956612,0.15784807483825994,-1.4309332194574012,1.7466293691339212,-3.0197145137530623,3.3354106634295824,0.8318327465857246,0.8101292207630542
AVGO,0.3488913923406564,0.362225031869896,0.7330125237400628,0.7141672571646029,True,True,85,82,0.6490831223334551,0.685124670368766,1.3165042763385915,0.08287641410686893,-1.2336278622317225,1.3993806904454604,-2.550132138570314,2.715884966784052,0.8530051174545764,0.8436854832515137
QRVO,0.43862240578149647,0.4508699873810212,0.45199140931436077,0.4470546769626321,False,False,65,63,1.029995732912841,1.0691871271558215,1.5291760400358883,0.15391429121781477,-1.3752617488180734,1.683090331253703,-2.904437788853962,3.212266371289591,0.8138505935626947,0.8311167100963139
MRVL,0.5223528790576563,0.5324088816245272,0.35482992999320606,0.3621370677354233,False,False,53,58,1.4371843399808748,1.3733763905043157,1.5086841610565753,0.21181116218839804,-1.2968729988681773,1.7204953232449733,-2.8055571599247524,3.229179484301549,0.7565177301068373,0.7491044128661524
AMKR,0.5889382700135272,0.5823080200963198,0.5640633835278566,0.5717749289550169,True,True,62,69,1.3652461778038851,1.2778533814354618,1.5837062639735031,0.12963650250297376,-1.4540697614705294,1.7133427664764769,-3.0377760254440327,3.2970490304499798,0.8135395533651879,0.8186289306126051
