,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
AMKR,0.5767905949638095,0.5688178054215851,0.5663078029942367,0.5712213653353717,True,True,63,66,1.3200789201263414,1.27750228498388,1.5810651354734278,0.13132232079248654,-1.4497428146809412,1.7123874562659143,-3.0308079501543688,3.2934525917393422,0.8308541364829946,0.820445329394838
MRVL,0.4502744179529228,0.45143451584548805,0.6643829944739621,0.6630943262632787,True,True,71,68,0.9488394017093318,0.9795712954787182,1.4946259441241017,0.20899860775086343,-1.2856273363732382,1.703624551874965,-2.78025328049734,3.1982504959990665,0.7643736630919805,0.7561843895050057
QCOM,0.4354322358303339,0.44732308833530565,0.3608910607261113,0.3718627427481249,False,False,55,56,1.141924130368915,1.1538147908689838,1.3985682142946665,0.15699307159930542,-1.241575142695361,1.555561285893972,-2.6401433569900274,2.9541295001886385,0.7899161212423434,0.7707887490593772
ON,0.5678494134900126,0.5698779242977399,0.4684394802989671,0.4669815013998728,False,False,63,61,1.3601390337868984,1.391643727049087,1.7482163167980311,0.1402981096600935,-1.6079182071379376,1.8885144264581246,-3.356134523935969,3.6367307432561558,0.797580835222368,0.7967284968912032
QRVO,0.465860025953993,0.4796649527732666,0.4048504436515702,0.4071287108335937,False,False,51,55,1.2920514863884056,1.2468657424359693,1.5113940743149554,0.15297315317081042,-1.358420921144145,1.664367227485766,-2.8698149954591003,3.1757613018007214,0.827186666049945,0.8334416326642057
NVDA,0.5228118577017766,0.5381909491944825,0.6432572630520058,0.6415679269847046,True,True,79,82,1.052517455287868,1.046362818212065,1.5759835122466115,0.16497351124503196,-1.4110100010015796,1.7409570234916434,-2.986993513248191,3.316940535738255,0.8397354560521735,0.8179957636752927
ADI,0.35038899105024063,0.3494368926061899,0.7230486578219291,0.7343908574650834,True,True,76,80,0.701120806503356,0.671933547610909,1.259207175894933,0.08549672574491352,-1.1737104501500195,1.3447039016398465,-2.4329176260449525,2.6039110775347796,0.834549470630299,0.8363010036173487
AVGO,0.34849129942941953,0.35901344025397103,0.7354636068916136,0.7206654566820105,True,True,86,82,0.6396787430605108,0.6758274912396248,1.3187641024040246,0.07678096913707647,-1.2419831332669482,1.395545071541101,-2.5607472356709726,2.714309173945126,0.8551461602394479,0.8473888068309042
SWKS,0.5054000901104896,0.5203009616437569,0.30215114216226313,0.3153475176756436,False,False,42,42,1.7428531087262005,1.7623914264910154,1.4905449616058102,0.11946870557525141,-1.3710762560305587,1.6100136671810616,-2.861621217636369,3.100558628786872,0.8754206794052719,0.8635595287141341
MU,0.5355332408166107,0.5343073882853818,0.6309973578700121,0.631541628564462,True,True,78,77,1.0764455068761016,1.0821831941760378,1.7802716445474565,0.117565799542119,-1.6627058450053374,1.8978374440895756,-3.442977489552794,3.678109088637032,0.8262638166086459,0.8261898731660499
TXN,0.4080095044228151,0.41538496894137816,0.5262567356628399,0.5418795418774249,True,True,68,70,0.8542491768245427,0.8473086333744859,1.1966116839134915,0.06898285083940589,-1.1276288330740856,1.2655945347528974,-2.3242405169875773,2.4622062186663887,0.8413894686661212,0.8366521929185551
MCHP,0.4219773121890937,0.413263592410767,0.7120612989452975,0.7237643549689994,True,True,72,73,0.9049831900683023,0.8828497171161266,1.5463939691048774,0.0913369290191527,-1.4550570400857246,1.6377308981240302,-3.001451009190602,3.1841248672289075,0.8260532192954593,0.8320584008248766
XLNX,0.4062096983372596,0.4088957907713369,0.5989854071325575,0.5985192382692646,True,True,60,67,0.972316563701096,0.9097120427489488,1.2699580605910432,0.08187818019370834,-1.188079880397335,1.3518362407847515,-2.458037940988378,2.621794301375795,0.8030009441113817,0.82355627994355
NXPI,0.5039832617040207,0.50616887793752,0.6079563015183732,0.6147562932698365,True,True,66,64,1.1703113318975706,1.1888914341766696,1.5923519836340039,0.10239929617007333,-1.4899526874639306,1.6947512798040771,-3.0823046710979343,3.2871032634380812,0.8210031010611903,0.8152239905754696
