,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
CDAY,0.4206374452393441,0.4536463209001424,0.21686091824217102,0.18249382100876743,True,True,8,8,1.0676289864335955,1.1489622793980834,0.5916448448216702,0.07300069523807559,-0.5186441495835946,0.6646455400597459,-1.110288994405265,1.256290384881416,0.6272152663506649,0.5541188919118624
TWLO,1.4603783911444348,1.248094782715174,-0.20192183171269606,-0.13062369823303843,False,False,7,7,4.464853823409812,3.9778709082279766,0.9234813409216007,-0.026472485067372306,-0.949953825988973,0.8970088558542284,-1.8734351669105738,1.8204901967758291,0.3209405656946368,0.3052689104056192
ETSY,1.3390521697301556,1.1093557118286188,-0.571784916781124,-0.03232037127071585,True,True,8,9,3.027810322318683,2.3440540798296414,1.021723168119803,0.05279619350732652,-0.9689269746124763,1.0745193616271294,-1.9906501427322794,2.0962425297469323,0.24409507890051985,0.29568673652539434
BOX,0.7036732081093837,0.774702577470405,0.07792794068319964,0.013490641362630118,False,False,3,2,4.6686958480683165,6.775488706759286,1.4673892582353136,0.21969004146303003,-1.2476992167722836,1.6870792996983437,-2.7150884750075974,3.154468557933657,0.26589177261358043,0.3184360653917022
INTU,1.0454912404632692,1.0125649148712572,-0.031853940272093206,0.025945457333227173,False,False,5,5,4.327048657782399,4.237975310577248,1.6552491520823076,0.28484766797181177,-1.370401484110496,1.9400968200541193,-3.0256506361928035,3.595345972136427,0.20762620876328508,0.47289980186814795
COUP,0.598735212226277,0.5742992119923283,0.01610706834278608,0.10675188197976926,True,True,11,9,1.0914928921040172,1.156549132607574,0.755827654847803,0.1385612636423115,-0.6172663912054915,0.8943889184901145,-1.3730940460532945,1.6502165733379175,0.45188898230792474,0.4072769097523634
DOCN,1.6938307977925586,1.5134789765294756,0.06814896882977572,0.20715952483839006,True,True,12,11,2.835454519330027,2.7221384875809664,1.8521918849137124,0.20806525902585474,-1.6441266258878577,2.0602571439395674,-3.49631851080157,3.91244902885328,0.37798188064388194,0.31969952058723106
PLTR,0.809601627524313,0.8218471833444582,0.1779417805169139,0.10660291314069203,True,True,8,8,1.9192076220286247,2.012778447544046,0.9230117589235521,-0.045233971328258474,-0.9682457302518106,0.8777777875952937,-1.8912574891753628,1.8007895465188457,0.4737896889473089,0.44416237158869654
SPOT,0.7611916955076544,0.7101052769659941,-0.085135517107777,0.03815666170481091,True,True,12,11,1.42018415434132,1.3513367367903373,0.8990380388790763,0.009480115159019005,-0.8895579237200573,0.9085181540380953,-1.7885959625991337,1.8075561929171715,0.2226732123305556,0.2043811736233172
AMZN,0.5124646632797002,0.4468046718298961,0.1128509932645021,0.24554690057091455,True,True,8,10,1.1754321839461048,0.9306951071738089,0.483096930308825,0.1408100566864896,-0.3422868736223354,0.6239069869953147,-0.8253838039311604,1.1070039173041395,0.5575996052645278,0.5425664459518524
ZS,0.9774236538332586,0.9073033634895338,0.06257558318641421,0.15623669291685882,False,False,6,5,2.9822134902156,2.9490379843536907,1.140035182763251,0.22824913409930933,-0.9117860486639418,1.3682843168625605,-2.051821231427193,2.5083194996258116,0.3823110698645795,0.3762039683626561
ANGI,0.7079041749150191,0.6725398786485999,0.3385922986555929,0.28348434801262257,True,True,12,11,1.0971143258008011,1.1474218015277395,0.9663408500051084,-0.07056684547126683,-1.0369076954763752,0.8957740045338416,-2.0032485454814837,1.8621148545389499,0.5079636343892757,0.46148664413906526
CERN,0.4229783714320348,0.4284270241610801,-0.24810783691302984,-0.21572450580479208,True,True,8,12,0.9523228270141453,0.7896963817594179,0.2838340557094396,0.10127854213015657,-0.182555513579283,0.38511259783959617,-0.4663895692887226,0.6689466535490357,0.15357739801312087,0.03226173700402435
DOCU,2.069101541126468,2.012667104425354,-0.05169082987673712,-0.04071921025588976,False,False,3,3,14.494760548268994,14.192507085316697,0.9337311662213833,0.1805458902671181,-0.7531852759542652,1.1142770564885014,-1.6869164421756486,2.0480082227098846,0.4448027331381479,0.36931545513587416
SNOW,1.2127209017335827,1.2190978982599092,-0.012262051172441835,-0.004940423711246034,False,False,7,5,3.4991003540233083,4.282477767526165,1.0817314752150653,-0.10903546576728583,-1.1907669409823511,0.9726960094477795,-2.272498416197416,2.054427484662845,0.4424817085417003,0.3305919001120752
TEAM,0.8716712986044077,0.843678336367618,-0.0912843347924559,-0.07429292232091922,False,False,7,6,2.396305318294291,2.544993530665237,0.7913487246373727,-0.013844258342368892,-0.8051929829797416,0.7775044662950038,-1.5965417076171142,1.5688531909323766,0.42900274843154584,0.30579521424450307
