,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
XM,1.174836976640221,1.155448432539763,-0.005938541281017118,-0.01828194804296368,False,False,5,5,4.52922812377915,4.5358309508823975,0.8111508180833038,-0.05944122238198397,-0.8705920404652878,0.7517095957013198,-1.6817428585485916,1.5628604137846236,0.6384524224784818,0.5207922553529221
BOX,0.29375219874028224,0.31206971398268046,0.3273603793864689,0.1953883282346791,True,True,12,14,0.4565582915324847,0.4923529517842548,0.5433975462177068,0.07838550682146968,-0.4650120393962371,0.6217830530391765,-1.008409585613944,1.165180599256883,0.3850591461676629,0.3191591951669579
NOW,0.36146068139362414,0.40298575159391475,0.28496918025588824,0.1283769404398324,True,True,11,10,0.6095053370967433,0.6984949836867483,0.5654594219225282,0.13354096868671844,-0.43191845323580974,0.6990003906092466,-0.997377875158338,1.2644598125317748,0.5633014080881416,0.4804006615379296
AMZN,0.5968863038135892,0.4390031465007993,0.28315769837970195,0.387009907886264,True,True,11,10,1.054436038379474,0.9060421450271716,0.880577738080563,0.01911415925758245,-0.8614635788229806,0.8996918973381455,-1.7420413169035436,1.7802696354187086,0.4856215385620569,0.4312669141787876
GDDY,0.991977607675702,0.9990519751473782,-0.04144621248076996,-0.042100690835793486,False,False,2,2,9.870358127956266,9.870855111491785,0.5504399761273536,0.0587545519280885,-0.49168542419926514,0.6091945280554422,-1.0421254003266187,1.1596345041827958,0.6174888088301124,0.56825088016809
BIGC,1.0892845896157455,1.0623070377791894,0.057334091370580764,0.024910384053729695,False,False,5,4,3.8369953657225913,4.585175095040285,1.103168306604173,0.055678066482976345,-1.0474902401211967,1.1588463730871494,-2.15065854672537,2.2620146796913225,0.5967566182103232,0.5089832747574606
AKAM,0.36300232811970023,0.40050571608595503,0.011260148950924531,-0.05074635677749151,True,True,9,9,0.8616502239265175,0.9001919816562387,0.4025253959072423,0.10841037252614724,-0.2941150233810951,0.5109357684333895,-0.6966404192883373,0.9134611643406318,0.47487209186936385,0.38690090337130534
SNOW,0.45944688000016953,0.43185300739728055,0.33338606764243217,0.2969315913663907,True,True,10,12,0.832726536913545,0.7845844258523266,0.8839017808735614,-0.07294539299772079,-0.9568471738712823,0.8109563878758406,-1.8407489547448437,1.694858168749402,0.3425399774578063,0.2989584890271376
PLTR,0.6312605559795449,0.6597374010798435,0.30431455701867827,0.2593591843063572,True,True,6,8,1.7829664485869616,1.5542879390173394,1.10993307044387,0.15582223387827432,-0.9541108365655956,1.2657553043221443,-2.0640439070094656,2.375688374766014,0.11205623923246255,0.09465145378292839
ANGI,0.4405467088692622,0.4147546545982286,0.44640344331818815,0.5200297124271227,True,True,12,13,0.6858528909076766,0.6352691855182976,0.8933497926258845,-0.026457933907567167,-0.9198077265334517,0.8668918587183174,-1.8131575191593363,1.7602416513442019,0.5378963992884456,0.5239262205268838
