,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
XM,1.1707054678447884,1.155448432539763,-0.010887567394424646,-0.01828194804296368,False,False,5,5,4.539432902059453,4.5358309508823975,1.0749589908543828,-0.13564587316697257,-1.2106048640213554,0.9393131176874103,-2.2855638548757384,2.014272108541793,0.3782716464161503,0.5207922553529221
BOX,0.3026997288570545,0.31206971398268046,0.23847262640058353,0.1953883282346791,True,True,13,14,0.48783508690347993,0.4923529517842548,0.5433975462177068,0.07838550682146968,-0.4650120393962371,0.6217830530391765,-1.008409585613944,1.165180599256883,0.33751532772904247,0.319159195166958
NOW,0.39242092790226507,0.40298575159391475,0.18291994142260837,0.12837694043983217,True,True,10,10,0.6721662698669615,0.6984949836867484,0.5654594219225282,0.13354096868671844,-0.43191845323580974,0.6990003906092466,-0.997377875158338,1.2644598125317748,0.4887286079739649,0.4804006615379297
AMZN,0.5633417281209157,0.43900314650080136,0.3100959278419124,0.3870099078862633,True,True,12,10,0.9239141396490673,0.9060421450271745,0.8805777380805632,0.019114159257582423,-0.8614635788229807,0.8996918973381456,-1.7420413169035438,1.7802696354187089,0.4646633741878736,0.4312669141787874
GDDY,0.9796649681153049,0.9990519751473782,-0.05185536339721741,-0.042100690835793486,False,False,2,2,9.919479557860397,9.870855111491785,0.5504399761273536,0.05875455192808851,-0.4916854241992651,0.6091945280554422,-1.0421254003266187,1.1596345041827958,0.6063212995439465,0.5682508801680897
BIGC,1.108014274156932,1.0623070377791894,0.05898111512967774,0.024910384053729695,False,False,4,4,4.522841138648871,4.585175095040285,1.103168306604173,0.05567806648297635,-1.0474902401211967,1.1588463730871494,-2.15065854672537,2.2620146796913225,0.5997750075973595,0.5089832747574603
SNOW,0.43925630660452797,0.4318530073972806,0.23549610052526826,0.2969315913663907,True,True,8,12,0.9674769423726823,0.7845844258523266,0.9103578432697161,-0.0984413298286899,-1.008799173098406,0.8119165134410262,-1.9191570163681222,1.7222743567107424,0.3676473771376615,0.2989584890271376
PLTR,0.6461267186034539,0.6597374010798435,0.2654836135455457,0.2593591843063573,True,True,6,8,1.8112203396495383,1.554287939017339,1.10993307044387,0.1558222338782743,-0.9541108365655956,1.2657553043221441,-2.0640439070094656,2.375688374766014,0.11042476509946764,0.09465145378292805
ANGI,0.4292484200284776,0.4147546545982286,0.47536563898726003,0.5200297124271227,True,True,12,13,0.6606945537605892,0.6352691855182976,0.8933497926258845,-0.026457933907567167,-0.9198077265334517,0.8668918587183174,-1.8131575191593363,1.7602416513442019,0.5503251125015343,0.5239262205268833
DASH,1.5398824332977783,1.5181683827812402,-0.06483447110565765,-0.08202250006035983,False,False,7,6,4.93186320336022,5.442524219226393,1.0222256586076728,0.02796899227491755,-0.9942566663327552,1.0501946508825903,-2.0164823249404282,2.072420309490263,0.3000215008746032,0.23225913904372186
