,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
U,1.0383320211618876,1.006299803360997,0.17349497871216535,0.20813537870329746,False,False,8,7,2.7824667678633883,2.967942540310752,1.0615812428963363,-0.14459554686162945,-1.2061767897579658,0.9169856960347068,-2.267758032654302,1.978566938931043,0.4506533977151266,0.4342876590910143
ETSY,0.7484621304100847,0.7320613757130209,0.12222312694514559,0.08122988471317127,True,True,8,8,1.6491269329658698,1.679908556934547,0.9403695894463698,0.0018747864873228355,-0.938494802959047,0.9422443759336927,-1.878864392405417,1.8826139653800624,0.6450763443244187,0.48677553711146715
VMW,0.4040209083416441,0.39947538770770513,0.07930625064594465,0.05895460860016932,True,True,9,8,0.7737301514377858,0.8459944561666028,0.547484054046532,0.03166713350544697,-0.5158169205410851,0.5791511875519789,-1.063300974587617,1.126635241598511,0.4468407537664594,0.3231237757278147
EBAY,0.4725020683397417,0.4685649270488249,0.014835902376093668,0.02113626793798129,False,False,6,6,1.394097659772158,1.3587145303851187,0.5984307246826895,0.029680341874483283,-0.5687503828082062,0.6281110665571729,-1.1671811074908958,1.2265417912398624,0.6183844245988761,0.5646857254441049
DBX,0.4025856515343168,0.3736640006897525,0.3520009971454524,0.3576814602521373,True,True,12,10,0.6614179946653492,0.7558428744208865,0.6446570831248427,-0.005182448392834066,-0.6498395315176768,0.6394746347320086,-1.2944966146425194,1.2841317178568514,0.5547389201235018,0.4983041206784097
ZM,0.7074341982544328,0.739067919755805,0.023975352760747026,-0.01128620456535434,False,False,9,10,1.6542870258298057,1.611336802016401,0.8674234220347703,-0.03316259247214153,-0.9005860145069118,0.8342608295626288,-1.768009436541682,1.7016842515973991,0.4209870005959606,0.37725367442515734
CRM,0.2655351705728133,0.24265130931359358,0.4121910355065871,0.44922564339331816,True,True,13,12,0.4371735002859366,0.4365647484538156,0.5088563745348906,0.054671874642579776,-0.45418449989231086,0.5635282491774705,-0.9630408744272014,1.072384623712361,0.49705417991570666,0.4910322299515921
INTU,0.2890314541230368,0.30016045243566003,0.2609289661661338,0.17699100783380872,True,True,10,10,0.5532194453240498,0.5976354803975339,0.502298204396048,0.11589175956635939,-0.3864064448296886,0.6181899639624073,-0.8887046492257367,1.1204881683584553,0.5408119928060278,0.5241288576363308
DDOG,1.1997713830299357,1.1915292221435794,-0.014055645301283004,-0.019107287572830423,False,False,5,5,4.4081066079105495,4.345767493020849,0.8022199135682656,0.061473369437516016,-0.7407465441307496,0.8636932830057816,-1.5429664576990152,1.6659131965740472,0.4822661971085902,0.4751625225817748
FTCH,1.3212102240564174,1.2787871874169152,0.013634602045209943,0.009973615294444071,False,False,4,4,5.709350703707028,5.673101001939487,1.1407319736666348,-0.054659986636314814,-1.1953919603029497,1.08607198703032,-2.3361239339695845,2.2268039606969547,0.4672631522999783,0.42539335158674574
