,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
S,1.413359598373937,1.193019450681969,0.16481593991103194,0.2090420334527845,False,False,9,7,3.081948925332307,3.438368853223054,1.5670261925903706,0.23299851738111926,-1.3340276752092513,1.80002470997149,-2.901053867799622,3.3670509025618602,0.6151845677436996,0.5829908842474578
PD,0.9475398615545326,0.9299667505576307,0.12055698388078584,0.1265186856184488,False,False,5,5,3.8481352358339067,3.8225897098860626,1.0623822594971166,0.14442486456387163,-0.917957394933245,1.2068071240609883,-1.9803396544303615,2.2691893835581047,0.6345580937506359,0.6258862034754773
DBX,0.44808361310420325,0.424768843579123,0.3700258989586489,0.37198895426688106,True,True,12,11,0.7705701026312188,0.7958294891290201,0.648092340601161,0.01077217909435026,-0.6373201615068108,0.6588645196955113,-1.2854125021079719,1.3069568602966724,0.5176884659487206,0.47988749619368376
SQ,0.8070839167145312,0.8299642609567518,0.50689762778135,0.4853716752149574,True,True,10,9,1.5912165285255395,1.7414927728217642,1.2680482615045394,0.05295913385748612,-1.2150891276470532,1.3210073953620256,-2.483137389151593,2.589055656866565,0.6757989860354586,0.5775787590822127
SPLK,0.9768567838741565,0.9577060882270365,0.008358953260730995,0.02740975046729066,False,False,7,7,3.012300813050145,2.960311170045941,0.6922658041701238,-0.051834884613403354,-0.7441006887835272,0.6404309195567205,-1.436366492953651,1.3326967237268443,0.555759584916906,0.5436790742140412
NUAN,0.12608396638450894,0.1181161864425334,-0.008729693151970697,-0.01796075988605872,True,True,8,9,0.2732464273659991,0.26111634322499433,0.08474254946352269,-0.0011611492387237677,-0.08590369870224646,0.08358140022479893,-0.17064624816576915,0.16832394968832162,0.09818854974482072,0.057275740657350416
TEAM,0.5763637812190447,0.5738368000737123,0.3975593326251631,0.3942469226393961,True,True,9,10,1.2323208689259955,1.1633400512214165,0.8752168722007322,0.04478786202470791,-0.8304290101760243,0.92000473422544,-1.7056458823767564,1.7952216064261723,0.4485595961182164,0.4043225018522806
DOCS,1.8632166101706258,1.681567600943406,-0.04679868391718833,0.03354618777575269,False,False,9,8,4.168244206389467,3.954769737606848,1.4644158755717451,0.12177688755250693,-1.3426389880192382,1.586192763124252,-2.8070548635909836,3.050608638695997,0.36604406917772003,0.331868922369872
GDDY,1.2326290023277213,1.0722851031920817,0.0013498783577169382,-0.008939010535767178,False,False,2,2,9.864282027598716,9.979555057754098,1.202337316746923,-0.08899879317180462,-1.2913361099187275,1.1133385235751183,-2.4936734266656506,2.315675840322041,0.34984831610439526,0.46820229006341574
BIGC,1.3734099674753282,1.3428594883549978,0.013496652486543192,0.003063956735140927,False,False,7,6,4.149868319822948,4.544429191267963,1.1258057844956326,-0.04654922722048105,-1.1723550117161137,1.0792565572751516,-2.2981607962117465,2.205062341770784,0.38908152628255666,0.32788803182487003
SE,1.1657502125771158,0.983628981283284,-0.07811532039720448,0.23220432045080575,True,True,14,12,1.924287030283629,1.7160696804946245,1.2900566457494633,0.27796162495853793,-1.0120950207909254,1.5680182707080013,-2.3021516665403885,2.858074916457465,0.3130340611409911,0.30079923038873335
COUP,0.5874213715709047,0.5951215392372686,-0.1914546361049152,-0.0002126061492773168,True,True,11,11,1.0765321763595923,1.0612991319720964,0.804053907078771,0.0964599475476593,-0.7075939595311117,0.9005138546264303,-1.5116478666098827,1.7045677617052013,0.2809998034097214,0.24901941394461413
ZM,1.7628532209425865,1.7566631510810509,-0.09929193047970153,-0.058448987746614334,False,False,6,7,6.126114729674644,5.454686750642533,1.6671355998450703,-0.051620727217361294,-1.7187563270624315,1.615514872627709,-3.385891926907502,3.2826504724727794,0.38044587556295595,0.18316670557321713
U,1.4006876176230523,1.4126274726190515,0.21631014679413152,0.22146114928128136,False,False,11,10,2.8013421598288164,2.973965193021694,1.238264494016418,0.013655817893115712,-1.2246086761233024,1.2519203119095337,-2.46287317013972,2.490184805925952,0.5314874074346603,0.4874919505235864
UBER,1.3143268007617075,1.4977730082114804,0.27217946520146996,0.09781171975614966,False,False,9,8,3.044575773905407,3.7152007824152395,1.2097914614355503,-0.01818859157823151,-1.2279800530137819,1.1916028698573187,-2.437771514449332,2.401394331292869,0.5524043352025538,0.32765037145370735
WDAY,0.5689157563636258,0.5631850403146635,0.09666892770044055,0.06150737461357514,True,True,8,8,1.367856908579817,1.358576408609379,0.6155114880458976,0.10750621446304029,-0.5080052735828573,0.7230177025089379,-1.123516761628755,1.3385291905548355,0.37588329432942436,0.34530351266771553
FTCH,2.3450165202173885,2.230580594162993,0.04641613427201052,0.016579760293442658,False,False,3,3,13.584299024785759,13.90456932718683,1.2194632261496328,-0.0479100639717407,-1.2673732901213735,1.171553162177892,-2.486836516271006,2.391016388327525,0.47619217305501615,0.45810733547303406
ADBE,0.5875280530679047,0.5567284574228155,0.26657943424628205,0.32478152080390243,True,True,9,10,1.3791414504883173,1.2144749600583236,0.6902454120155194,0.2315993113525641,-0.4586461006629553,0.9218447233680834,-1.1488915126784747,1.6120901353836028,0.5438825498115507,0.5497404345839048
TWLO,0.9188820613249363,0.699250767058657,-0.40306094326054165,0.09899860599800547,True,True,10,9,1.9737788003920371,1.6903963225800203,1.0109644053702571,0.021463120507547263,-0.9895012848627098,1.0324275258778044,-2.000465690232967,2.0433919312480615,0.4032770070694801,0.3849248386816625
XM,1.0167355579466728,0.9599892604443934,0.07871685182090771,0.07730309546431513,False,False,6,7,3.1993770284498115,2.8517579802316178,0.8504568630009477,0.04890035106388888,-0.8015565119370588,0.8993572140648366,-1.6520133749380066,1.7498140770657842,0.6514260633015392,0.6052734791408898
SPOT,0.7744011186994028,0.7381321360209139,0.1664118172696828,0.22387623411400903,True,True,14,11,1.3481644307951623,1.4102266578074432,0.9671075380919484,0.06385825337495149,-0.9032492847169968,1.0309657914669,-1.8703568228089453,1.9980733295588482,0.3247551927633998,0.2874960632439286
BMBL,1.4042111321406157,1.6164575380266688,0.10018820310151078,0.03841567116004585,False,False,4,5,7.261325311717235,6.663928629760788,1.4554252281400386,0.1840719786792571,-1.2713532494607815,1.6394972068192957,-2.72677847760082,3.0949224349593343,0.5933656044787148,0.4738670152936708
