,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
WDAY,0.5857527569153336,0.5631850403146637,0.04981817778217723,0.06150737461357514,True,True,8,8,1.399649252954748,1.3585764086093788,0.6155114880458976,0.10750621446304032,-0.5080052735828573,0.7230177025089379,-1.123516761628755,1.3385291905548355,0.3735312362106321,0.3453035126677153
NUAN,0.12816419907131144,0.11811618644253323,-0.04439843452115211,-0.01796075988605783,True,True,9,9,0.2584022891259385,0.2611163432249928,0.08474254946352268,-0.0011611492387237675,-0.08590369870224644,0.08358140022479892,-0.17064624816576912,0.1683239496883216,0.0682079457009932,0.057275740657350305
CRWD,1.354483458705219,1.275430934703658,-0.07814039677890827,0.05133904577697368,True,True,9,9,3.0198365774227174,2.772907967345935,0.9549969357044888,0.2076457021649124,-0.7473512335395764,1.1626426378694013,-1.7023481692440652,2.11763957357389,0.3350018843566245,0.30003873319375995
PD,0.9710687253209135,0.9299667505576306,0.10673205189415258,0.1265186856184488,False,False,4,5,4.776300739925645,3.8225897098860626,1.0623822594971166,0.14442486456387163,-0.917957394933245,1.2068071240609883,-1.9803396544303615,2.2691893835581047,0.6468299618781039,0.6258862034754771
DOCN,1.7726161906824072,1.6802779169542348,0.24292687549440184,0.24567718086605017,True,True,14,13,2.6566322136307585,2.7928822853351343,1.9358975944318835,0.2981450858420933,-1.6377525085897902,2.234042680273977,-3.5736501030216736,4.16994027470586,0.43786799269074594,0.36870588856928754
S,1.3771721349226962,1.1930194506819685,0.17695091082318193,0.2090420334527846,False,False,7,7,3.538822903498057,3.438368853223054,1.5670261925903703,0.23299851738111926,-1.334027675209251,1.8000247099714897,-2.9010538677996216,3.36705090256186,0.625587006331891,0.5829908842474577
LYFT,1.3244910847877307,1.5402868457305312,0.15335731042958123,0.07117758751569847,False,False,5,5,4.953591325693185,5.545534648302645,1.2391088078597359,-0.05807240910034195,-1.2971812169600778,1.181036398759394,-2.536290024819814,2.4201452066191296,0.5967920255459603,0.3603981883214763
SPLK,0.9397583200698365,0.9577060882270365,0.04000743695892062,0.02740975046729055,False,False,7,7,2.9408179135441643,2.960311170045941,0.6922658041701238,-0.05183488461340336,-0.7441006887835272,0.6404309195567205,-1.436366492953651,1.3326967237268443,0.5609571373094688,0.5436790742140407
NTNX,1.0752393017225963,0.6028383130280022,-3.036137571368183,0.2322071190098548,False,True,7,10,2.9152220493558128,1.2329145785593454,1.0679839195304552,0.1543779360090926,-0.9136059835213626,1.222361855539548,-1.9815899030518178,2.290345775070003,0.513314177073509,0.5609794413220499
NET,1.3978316453366377,1.307546216710518,0.16528349955529842,0.10487988602564124,True,False,9,9,2.8613544448828434,3.017699641027221,1.2673884608039507,0.0009251930199134128,-1.2664632677840373,1.2683136538238642,-2.533851728587988,2.535702114627815,0.4043020167049277,0.36040024128084347
TWLO,0.911558601115187,0.699250767058657,-0.3281834251288007,0.09899860599800547,True,True,10,9,2.006370291174155,1.6903963225800203,1.0109644053702571,0.021463120507547267,-0.9895012848627098,1.0324275258778044,-2.000465690232967,2.0433919312480615,0.4203573074015732,0.38492483868166216
PANW,0.6730240646892215,0.6834893317032525,0.23215014812853085,0.16065278915844472,True,True,11,9,1.2636813985842381,1.4914119767467575,0.6290840109315295,0.11882000393913085,-0.5102640069923987,0.7479040148706604,-1.1393480179239281,1.37698802580219,0.4494256775741229,0.39356876745679925
CDAY,0.44143571332606796,0.4632234958746713,0.3705788432101653,0.2640905860717192,True,True,9,9,1.0479543801607616,1.1351939625620473,0.7191229291210727,0.059154385337853686,-0.659968543783219,0.7782773144589263,-1.3790914729042916,1.4974002435799991,0.4774423997673376,0.6045448948146424
EBAY,0.3867953085347766,0.3177313767568493,-0.002481623994106563,0.31804097929432196,True,True,10,10,0.7504302989819743,0.6405883558676837,0.569585947931856,0.07630990680075676,-0.49327604113109924,0.6458958547326128,-1.0628619890629554,1.2154818026644687,0.5058749062245057,0.4651109207377311
BOX,0.7187794328878397,0.7789805550593684,0.09185700428636523,0.011669652982375434,False,False,3,3,4.629738456947851,4.802781304126512,1.441670082549897,0.23569763980809028,-1.2059724427418066,1.6773677223579873,-2.6476425252917037,3.119037804907884,0.25392553193393064,0.37123130241956726
U,1.4066204388223782,1.4126274726190513,0.25523196885920607,0.22146114928128147,False,False,10,10,2.867718678487417,2.9739651930216935,1.4230338344819842,-0.061980077271505285,-1.4850139117534895,1.3610537572104788,-2.9080477462354737,2.784087591692463,0.4869702953910081,0.4874919505235864
NOW,0.550965630891851,0.5276053691187282,0.2156999730314939,0.37333254497880275,True,True,11,10,0.9726897658308207,0.9265146776957287,0.6299165261322238,0.15089673573188347,-0.4790197904003404,0.7808132618641073,-1.108936316532564,1.4107297879963312,0.5316615451137054,0.5032767310277139
PLAN,1.2106522876328278,1.232183081321362,0.029822168670208704,0.025729900141124196,False,False,2,2,11.851149714870544,11.76387031563708,0.7150793529416155,0.014505328085490538,-0.700574024856125,0.729584681027106,-1.4156533777977405,1.4446640339687216,0.5371095312272184,0.5240556429243667
ETSY,1.154817296638859,1.1009092928747497,-0.07180691272014994,0.06373151156496626,True,True,10,9,2.436618696237602,2.4260011095199223,0.9996358609232652,0.19740332249755488,-0.8022325384257103,1.19703918342082,-1.8018683993489755,2.1966750443440852,0.34390040166257185,0.4132753489210318
