,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
XM,1.154420101603634,0.9643171703782593,-0.24193933128889644,0.08467774573635156,False,False,7,6,3.462558145663938,3.1315369548960548,0.8798512865266894,0.008177215460067203,-0.8716740710666222,0.8880285019867566,-1.7515253575933116,1.767879788513446,0.5954435435262027,0.6238178992327608
INTU,1.1469982400162184,1.0241051049296308,-0.036543211655260865,0.021605386547792316,False,False,5,5,4.431508849501416,4.258219467711279,0.7008612432584178,0.13306417771944065,-0.5677970655389771,0.8339254209778585,-1.268658308797395,1.5347866642362762,0.43782540776663736,0.5156252128398623
SPLK,1.0647842092356663,0.953478346164678,-0.07419311690878261,0.020274252353530642,False,False,7,7,3.23274085405732,2.9798859095729595,0.6849678067480219,-0.05263021601671696,-0.7375980227647388,0.632337590731305,-1.4225658295127608,1.317305397479327,0.5600136165231945,0.5344073104610483
DDOG,1.5533456005629673,1.6643460521615454,0.40846871955980546,0.05594572144853427,False,False,9,8,3.64818883005267,4.501138063075558,1.9611329736958931,0.2988021043975696,-1.6623308692983234,2.259935078093463,-3.6234638429942168,4.221068051789356,0.7519916183027694,0.49907075529289213
LYFT,1.2896138206283154,1.5773771568873047,0.18044776334297907,0.06472927726051736,False,False,6,5,3.9442213612315116,5.544001166317868,1.3135928749543326,-0.007711642387931387,-1.321304517342264,1.3058812325664013,-2.6348973922965966,2.619474107520734,0.6769814775920966,0.3186953481379078
S,1.4305471420058584,1.063181954885464,0.015169092405650675,0.2193529754560749,False,False,6,6,4.0753529335580305,3.383846972691513,1.982910767206812,0.14511181478019913,-1.837798952426613,2.128022581987011,-3.8207097196334248,4.110933349193823,0.440916027597276,0.5799269803009668
ZM,2.0000434432198366,1.8100172563126624,-0.3022172939425727,-0.059071533053365766,False,False,6,7,6.843248563266864,5.454614934038309,1.7713388211243848,-0.11625975693633571,-1.8875985780607205,1.655079064188049,-3.6589373991851053,3.426417885312434,0.38261978028369603,0.1826570133678238
SE,1.0850949228261098,0.9497131457630923,-0.02515409996693707,0.2679425497961425,True,True,12,11,2.0176016984537477,1.718065471266536,1.297716067246901,0.29250354294981823,-1.0052125242970829,1.5902196101967192,-2.3029285915439837,2.8879356774436205,0.335470293525967,0.3185484056441529
DBX,0.6537834915072649,0.4513318008439675,-0.44652559190573005,0.33965605674868826,True,True,11,12,1.1683034583446565,0.808147814173528,0.7242023668027165,0.04238891600378806,-0.6818134507989285,0.7665912828065046,-1.406015817601645,1.4907936496092211,0.3765582613657493,0.4671665804765983
CRM,0.7203422181854706,0.7185746717372786,0.0619824490799904,0.060803718954970276,False,False,8,9,1.6981056675204536,1.6452962130690476,0.8235962099944577,0.0105627923088163,-0.8130334176856414,0.834159002303274,-1.6366296276800991,1.6577552122977317,0.2864974502981432,0.4891500274939551
VMW,0.8004781751827555,0.8137996044981186,-0.06164964365258685,0.046805267457568855,True,True,9,11,1.8020520279363106,1.5462751872177014,0.6530730446579983,0.04384187986629461,-0.6092311647917037,0.6969149245242929,-1.2623042094497021,1.3499879691822911,0.38064672073305816,0.33394466888068386
AKAM,0.4419706056992623,0.41005310195842504,-0.11578713091364556,-0.04118181036881907,True,True,9,8,0.9041038004178641,0.9270095760475128,0.4100767361435418,0.1277999332012966,-0.2822768029422452,0.5378766693448384,-0.692353539085787,0.9479534054883801,0.4384109354924206,0.37558975354627633
WDAY,0.6512513762983959,0.6063988346481523,-0.029422366556057122,0.0549437377002322,True,True,7,5,1.6543054894620897,1.8275055407271446,0.6208225875399304,0.10784937241908103,-0.5129732151208494,0.7286719599590114,-1.1337958026607797,1.3494945474989417,0.39013346410123506,0.343209899678639
NUAN,0.1120778261131775,0.1001646936514602,-0.1559469664611315,-0.0699336682947529,True,True,11,9,0.1948484227845267,0.20802220845371946,0.0851385207314257,-0.0007642647287986723,-0.08590278546022437,0.08437425600262702,-0.17104130619165006,0.1695127767340527,0.08729107371759581,0.0570886751269738
TEAM,0.7209384567456424,0.5987771386681936,-0.21167529569365473,0.3547154356323995,True,True,7,10,1.9453328037731652,1.197686896978579,0.877796649407592,0.03324476722222565,-0.8445518821853663,0.9110414166298176,-1.7223485315929583,1.7888380660374095,0.4799601686703867,0.39367042130331464
