,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
WDAY,0.8001426503961967,0.5631850403146637,-1.266398006583421,0.06150737461357514,False,True,7,8,2.3431122796342385,1.3585764086093788,0.9796325961195135,0.18768699404494213,-0.7919456020745713,1.1673195901644555,-1.7715781981940848,2.146952186283969,0.41904382031908183,0.34530351266771553
NUAN,0.12609903983209772,0.11811618644253322,-0.03736437336783549,-0.01796075988605783,True,True,9,9,0.25815964597556573,0.26111634322499266,0.08474254946352268,-0.001161149238723766,-0.08590369870224644,0.08358140022479892,-0.17064624816576912,0.1683239496883216,0.07890389935544462,0.057275740657350305
CRWD,1.3413447308549062,1.275430934703658,-0.03845769166172408,0.05133904577697368,True,True,9,9,2.8919397318019135,2.7729079673459354,0.9549969357044886,0.2076457021649124,-0.7473512335395762,1.162642637869401,-1.7023481692440647,2.1176395735738898,0.35105852652595815,0.30003873319375973
PD,0.9440857055181446,0.9299667505576305,0.12919617269559558,0.12651868561844914,False,False,6,5,3.3556535812237294,3.8225897098860626,1.0623822594971166,0.14442486456387166,-0.9179573949332449,1.2068071240609883,-1.9803396544303615,2.2691893835581047,0.6445090804788576,0.6258862034754771
ASAN,2.1914926868154994,2.2764603844677582,0.008166096908692078,0.023535986972650802,False,False,6,8,6.781996956092389,5.860435080474012,1.4971233363269063,0.1993263469177555,-1.2977969894091508,1.6964496832446618,-2.794920325736057,3.193573019571568,0.5175967109754462,0.548321097460296
DOCN,1.81971015581323,1.6802779169542348,0.1777897433361647,0.2456771808660504,True,True,13,13,2.887082381341966,2.7928822853351343,1.9358975944318833,0.29814508584209326,-1.63775250858979,2.2340426802739763,-3.573650103021673,4.169940274705859,0.4146759214404794,0.36870588856928754
S,1.47738653699779,1.1930194506819685,0.10904171270121654,0.2090420334527846,False,False,9,7,3.3717935492578324,3.438368853223054,1.5670261925903703,0.23299851738111932,-1.334027675209251,1.8000247099714897,-2.9010538677996216,3.36705090256186,0.6569917431379935,0.5829908842474577
LYFT,1.4586870966079952,1.540286845730542,0.08336617985132688,0.07117758751569314,False,False,5,5,5.37105573199859,5.545534648302673,1.3379004367590248,0.021107058053139997,-1.3167933787058848,1.3590074948121649,-2.65469381546491,2.6969079315711895,0.6086268989428398,0.36039818832147597
SPLK,0.9570356798128843,0.9577060882270365,0.03495134443057413,0.02740975046729066,False,False,7,7,2.9298849176108286,2.960311170045941,0.692265804170124,-0.05183488461340335,-0.7441006887835273,0.6404309195567206,-1.4363664929536513,1.3326967237268446,0.564655207987536,0.5436790742140409
NTNX,0.5913644351137904,0.6028383130280022,0.26168703041650965,0.2322071190098547,True,True,9,10,1.2073938587384492,1.2329145785593458,0.7934411774876541,0.07934469192425683,-0.7140964855633972,0.8727858694119109,-1.5075376630510513,1.666227046899565,0.6414241981413038,0.5609794413220497
