,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
NUAN,0.10451623598380931,0.0909612349957533,-0.1150401981250393,0.020285829017391288,True,True,11,9,0.18096908508655474,0.18347060454989356,0.08321384357627554,-0.00016881606757966419,-0.0833826596438552,0.08304502750869587,-0.16659650322013073,0.16625887108497142,0.14548630518486438,0.13098834365334378
ZS,0.7591969997460096,0.7988993044376128,0.2971356320828935,0.15274880739514618,False,False,7,7,1.8342089616755235,1.9377772789411094,1.1037529869644571,0.3062405617665958,-0.7975124251978614,1.4099935487310529,-1.9012654121623185,2.51374653569551,0.40404711667124493,0.3762039683626559
SNOW,1.252625497189226,1.207773291263838,-0.011401298863608744,-0.010431324352452531,False,False,4,4,5.413405542491677,4.974712789368265,1.07881092776486,-0.09378480060549202,-1.172595728370352,0.9850261271593681,-2.251406656135212,2.063837054924228,0.3871047086263697,0.29043215658386967
FSLY,1.5116854186516433,1.3804339593998938,-0.09187866449246718,0.027768016510128612,False,False,8,6,3.820298658443598,4.224123499292246,0.9291820046483371,-0.12825711946856755,-1.0574391241169048,0.8009248851797696,-1.9866211287652418,1.7301068898281067,0.3637849727447815,0.33784718523954516
ABNB,1.3909630778328415,1.2312881816609786,-0.0460476447415783,0.09805293726829023,False,False,9,7,3.108066532992095,3.265703952462656,1.2029922304317366,-0.1857331010050648,-1.3887253314368015,1.0172591294266717,-2.591717561868538,2.2202513598584086,0.5535098667040736,0.43497333195378574
WDAY,0.6641212292058257,0.61769103486717,-0.1106204892121958,-0.011620193160427617,True,True,7,6,1.6839756478272823,1.686947405520068,0.5802972083671667,0.09604013685380382,-0.4842570715133629,0.6763373452209706,-1.0645542798805296,1.2566345535881371,0.4091958427265102,0.36115203722243316
NET,1.227404368381435,1.0115995981132673,-0.07025621163766416,0.059968591805243165,True,False,9,9,2.4749664257786064,2.1365181691712443,1.1406357283061346,-0.0771530726385325,-1.2177888009446671,1.063482655667602,-2.3584245292508017,2.2041183839737366,0.3112577597613697,0.2653625453188597
GDDY,1.1722027639135044,1.0996316953482475,-0.024522302976071497,-0.00931414616882642,False,False,3,2,7.215106634958012,9.979272774349743,0.5696289973018135,0.012947337897595668,-0.5566816594042179,0.5825763351994091,-1.1263106567060313,1.1522053325012227,0.4891952921438333,0.4589927970456189
BIGC,1.41245690686951,1.161255729992287,-0.06926496676476002,0.048427384514671545,False,False,5,6,5.2368942708830515,3.6945900700496535,1.1301882606375386,-0.02173933610178349,-1.151927596739322,1.1084489245357552,-2.2821158573768607,2.238637185173294,0.4918795597053861,0.4337298504738034
SQ,0.8724973285320867,0.681006740349836,-0.3932832049710071,0.49443038637862025,False,True,6,9,2.3445978598915365,1.325185620319949,1.1640325470843533,0.04311458092673019,-1.1209179661576232,1.2071471280110835,-2.2849505132419763,2.371179675095437,0.6149565423431647,0.5594951586867649
XM,1.129832583120969,0.8869199768961789,-0.201302680438044,0.03023507173998341,False,False,6,5,3.607663074161765,3.319835411887099,0.780603468860905,-0.017506010010796692,-0.7981094788717017,0.7630974588501084,-1.5787129477326067,1.5437009277110134,0.6099244895618208,0.5239710129725828
FTCH,2.563931887234089,2.2288339443989735,-0.006935080211834865,0.007181743705536481,False,False,4,3,11.588381436276666,13.902648926685117,1.168247915794044,-0.07048627745771015,-1.2387341932517542,1.0977616383363338,-2.406982109045798,2.266009554130378,0.45004862679142377,0.42606106875636307
LYFT,1.4628527777968587,1.6045588954226402,0.12498223105788786,0.03682586874939309,False,False,5,6,4.977981148603836,5.056241320048836,1.2279332397471325,-0.10722214258712649,-1.335155382334259,1.120711097160006,-2.5630886220813918,2.3486443369071384,0.5674752937402409,0.3118729837762837
U,1.425238536418097,1.2737032031320747,-0.13154613063671494,0.19820723986306898,False,False,6,10,4.222146205046006,2.6037841960906856,1.1582842731389706,-0.0425805243794594,-1.2008647975184301,1.1157037487595112,-2.3591490706574008,2.273988021898482,0.4682901666407786,0.4524900653140439
NOW,0.4836313564305254,0.44365400977877373,0.1554485842586879,0.3678714083161775,True,True,12,10,0.7272737525885594,0.7076474964976682,0.5790232600676183,0.14158943574533472,-0.43743382432228356,0.7206126958129531,-1.016457084389902,1.2996359558805712,0.47684786489068076,0.42307293669384083
MQ,1.9392184102836842,2.0370233863838294,0.13378576248972818,0.08670014651980318,False,False,9,8,4.48448790293227,4.768938546978621,2.5143033758542024,0.5667224378216794,-1.947580938032523,3.0810258136758817,-4.461884313886725,5.5953291895300845,0.5358080373231885,0.1897718148483375
