,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
U,1.020393490048477,1.0062998033609971,0.19964848522527567,0.20813537870329724,False,False,7,7,2.9781528604360394,2.967942540310752,1.0615812428963363,-0.14459554686162945,-1.2061767897579658,0.9169856960347068,-2.267758032654302,1.978566938931043,0.4712761383640187,0.4342876590910143
ETSY,0.7473004460457032,0.732061375713021,0.040493728254960004,0.08122988471317127,True,True,9,8,1.5931366507516727,1.679908556934547,0.9403695894463697,0.0018747864873228507,-0.9384948029590469,0.9422443759336926,-1.8788643924054167,1.8826139653800622,0.49697246419848473,0.48677553711146737
VMW,0.4023795194361841,0.39947538770770513,0.04629823807271605,0.05895460860016932,True,True,11,8,0.709476828371925,0.8459944561666028,0.547484054046532,0.03166713350544698,-0.515816920541085,0.579151187551979,-1.063300974587617,1.126635241598511,0.44482035103059436,0.3231237757278145
EBAY,0.4463465692372638,0.4685649270488249,0.009458179977108627,0.02113626793798129,False,False,6,6,1.373229612450424,1.3587145303851182,0.630223527367997,0.05156036191453026,-0.5786631654534667,0.6817838892825273,-1.2088866928214639,1.3120074166505242,0.6017887400003272,0.5646857254441051
DBX,0.3790219462983939,0.3736640006897525,0.3950164403260087,0.35768146025213743,True,True,12,10,0.6332784839928616,0.7558428744208864,0.6446570831248427,-0.0051824483928340674,-0.6498395315176768,0.6394746347320086,-1.2944966146425194,1.2841317178568514,0.5877283577705144,0.4983041206784099
ZM,0.7730279837996628,0.739067919755805,-0.003563069887030146,-0.011286204565354563,False,False,9,10,1.7091697193091706,1.611336802016401,0.9567183820098398,0.010987875214203939,-0.9457305067956359,0.9677062572240438,-1.9024488888054758,1.9244246392338835,0.34120009326598055,0.37725367442515734
CRM,0.24382156226773333,0.24265130931359363,0.4469910630954149,0.44922564339331794,True,True,12,12,0.4505162266985587,0.4365647484538157,0.6175226270950701,0.09177529981443443,-0.5257473272806357,0.7092979269095046,-1.1432699543757059,1.3268205540045745,0.48294285141947624,0.4910322299515919
INTU,0.2777669844263137,0.30016045243566003,0.33325351316241825,0.1769910078338086,True,True,11,10,0.5070304561523151,0.5976354803975339,0.5255404226806323,0.09855298869587975,-0.42698743398475253,0.624093411376512,-0.9525278566653848,1.1496338340571444,0.5891969147588447,0.5241288576363309
DDOG,1.179517118376563,1.1915292221435796,0.00858279129110795,-0.019107287572830645,False,False,4,5,5.107097711406925,4.34576749302085,0.8022199135682656,0.06147336943751601,-0.7407465441307496,0.8636932830057816,-1.5429664576990152,1.6659131965740472,0.509754444496185,0.4751625225817747
FTCH,1.3576303274886836,1.2787871874169152,0.01193199372413245,0.009973615294444071,False,False,3,4,7.159991706337327,5.673101001939487,1.1407319736666348,-0.054659986636314814,-1.1953919603029497,1.08607198703032,-2.3361239339695845,2.2268039606969547,0.46330340154672267,0.4253933515867454
