,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
DBX,0.41133790797816583,0.36832127889265387,0.23920366678593274,0.29783812821818567,True,True,15,11,0.6440583240370845,0.7374938447055677,0.6330888268332575,0.01076774853230091,-0.6223210783009566,0.6438565753655584,-1.255409905134214,1.276945402198816,0.5703834815203306,0.4910649200278473
FTCH,2.113289636629902,1.9747097473260666,0.00860035578598528,0.001258367270834948,False,False,4,3,11.016063444915588,13.909689042833255,1.1227862034465195,-0.05533386291180859,-1.178120066358328,1.067452340534711,-2.3009062698048477,2.19023854398123,0.5007330867708042,0.4137564699883821
DOCU,0.5616916001400036,0.5804851007080211,0.14504745963163268,0.11791946466141912,True,True,11,11,1.1156405908616582,1.1386265845243564,0.7376970466389161,0.10830054586570195,-0.6293965007732142,0.845997592504618,-1.3670935474121302,1.5836946391435343,0.3778583809784769,0.3559242147295224
COUP,0.6911227113320952,0.5985089304316924,-0.08008422860847353,0.014561893605085974,True,True,15,11,1.0053914590733382,1.1411480577283646,0.7499245523354071,0.14496184914936008,-0.6049627031860471,0.8948864014847672,-1.3548872555214542,1.6448109538201743,0.4704665418429055,0.39839860468814847
VMW,0.4456345100921632,0.43495853192317613,0.07928017250243657,0.06268049086857597,True,True,10,10,0.8727222802475689,0.8848380500742898,0.5955479583163327,0.05909717176266102,-0.5364507865536716,0.6546451300789937,-1.1319987448700044,1.2501930883953263,0.4171704336412334,0.32132858673358844
PLTR,0.6398937246838713,0.6875746795159929,0.2431159179037229,0.17296868904667928,True,True,9,10,1.4957576841824367,1.4693905638501035,0.7778573114769332,0.07703143874403891,-0.7008258727328942,0.8548887502209721,-1.4786831842098274,1.6327460616979053,0.5625766637152156,0.4781720570410263
WDAY,0.5991832478902148,0.6010164243150927,-0.07050092083731241,-0.058149496980311355,True,True,7,8,1.5958072642572745,1.428646862978564,0.6065100634575277,0.08513260206631851,-0.5213774613912092,0.6916426655238461,-1.1278875248487368,1.298152728981374,0.3488035521034135,0.3035812638998714
DOCN,1.1544871801231973,1.311337682755445,0.30319681814048205,0.14591729723969693,True,True,11,11,2.308382602768976,2.5723244012148383,1.7038095022219129,0.32955448877447097,-1.3742550134474418,2.0333639909963837,-3.0780645156693547,3.7371734932182967,0.41359279959739215,0.24106237972967648
SQ,0.6283227200420123,0.5846435151645133,0.3446938264438846,0.43535976270886045,True,True,13,12,1.0132384240523746,0.977356434452831,1.0507029166048276,0.06601834704427828,-0.9846845695605493,1.116721263649106,-2.035387486165377,2.1674241802539336,0.6046859661631778,0.562454189276482
BIGC,1.1108562273728668,1.072306428031444,0.084578633761489,0.038041446770410325,False,False,5,6,4.215733069683249,3.6013521123228585,1.131330362244328,0.0005596999328188824,-1.1307706623115092,1.1318900621771468,-2.2621010245558373,2.263220424421475,0.5349815952091843,0.4214625264883899
SPOT,0.9143305488874468,0.9443802475884008,0.058080312563477676,0.04834641972864562,False,False,11,10,1.9134973654082792,2.0493129791689304,0.8745627125493449,-0.02000757269110855,-0.8945702852404535,0.8545551398582364,-1.7691329977897985,1.7291178524075812,0.3229345002856989,0.25464742406957663
INTU,0.7370151157623978,0.7696282318335514,-0.02422481393156417,-0.016956179528638593,False,False,3,3,5.17019553308411,5.236505603674533,0.47624759544249673,0.12594709234288953,-0.3503005030996072,0.6021946877853863,-0.8265480985421039,1.078442283227883,0.5754872880672861,0.4849175088787938
GDDY,1.2360127259250597,0.9729190715946712,-0.6755398648439841,-0.027922455277477276,False,False,1,2,23.829701010543253,9.869252779639309,2.249051074749341,0.1339001717522117,-2.1151509029971294,2.3829512465015528,-4.36420197774647,4.632002321250894,0.16464450394214813,0.5472385785332892
