,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
SPOT,1.0060817174597125,0.9510319032334663,-0.00037108610703007194,0.03937298393529576,False,False,11,11,2.0131190045893295,1.9571786016586463,0.8944096365282432,0.004985190101414561,-0.8894244464268287,0.8993948266296578,-1.7838340829550718,1.793804463157901,0.32820050370685905,0.24110553007190083
COUP,0.6339271069626211,0.6243385459863566,0.04035320504875295,0.08481816328195768,True,True,12,12,1.1892112363406377,1.1308147489870408,0.7464082035194023,0.14180224132654126,-0.604605962192861,0.8882104448459436,-1.3510141657122634,1.6346186483653458,0.40941042290337304,0.3947863006824004
ANGI,0.5124920271183481,0.5251821154676516,0.4609918375019676,0.313471872017248,True,True,13,12,0.8145299337865304,0.9088501111019518,0.9453394179992091,-0.05519643410309077,-1.0005358521022998,0.8901429838961183,-1.945875270101509,1.8354824018953273,0.5578927658623631,0.4995793798406932
PD,0.396668475198905,0.43570875573860135,0.4475268671243574,0.38279354596876536,True,True,13,12,0.6668376370265849,0.7205344945586738,0.8650250394198454,0.042169278746519163,-0.8228557606733262,0.9071943181663646,-1.6878808000931718,1.77221935758621,0.5872460321659976,0.5334771051479172
ADBE,0.41131645425827856,0.41968238074396425,0.19872993648971404,0.22826408304566492,True,True,11,12,0.829754400976601,0.7765645971856898,0.5625895816664503,0.18027407876358315,-0.3823155029028672,0.7428636604300335,-0.9449050845693175,1.3054532420964837,0.5149659037669041,0.4694483087762713
AMZN,0.5453392796967561,0.46763348548755806,0.50077832402824,0.28669558511817106,True,True,11,11,0.8857618292713189,0.9432208303089497,0.9661646442788974,-0.02713497383205628,-0.9932996181109537,0.939029670446841,-1.959464262389851,1.9051943147257384,0.6911882672668286,0.39966668545892814
DOCN,1.336097254437532,1.2630413995940089,0.13132629536413865,0.17711388216346802,True,True,12,9,2.5365272562251473,2.8258194888608026,1.7102204924055264,0.289050804442199,-1.4211696879633275,1.9992712968477253,-3.1313901803688537,3.709491789253252,0.33665887944343464,0.2605879523716279
NET,1.057263075347898,1.045441757898566,0.0864731977298766,0.08722159060349688,False,False,11,10,2.1208175558393036,2.1101949273268277,1.074352870240976,-0.09739191502060404,-1.1717447852615799,0.9769609552203719,-2.246097655502556,2.0513138254613477,0.350683543716826,0.2913552603744276
U,1.0839025795103134,1.083705342368191,0.18619530418600805,0.20912465892947785,False,False,10,10,2.5538008292444605,2.5342170030152853,1.1117242268707557,-0.11723085539304932,-1.228955082263805,0.9944933714777063,-2.340679309134561,2.106217598348462,0.46786478466430204,0.4913278206308125
AKAM,0.3954501436088971,0.39779346753963457,-0.057672308290416474,-0.05890796461158487,True,True,11,10,0.7876473064462128,0.8285251955197213,0.4002814034431034,0.11138216803016643,-0.288899235412937,0.5116635714732698,-0.6891806388560404,0.9119449749163733,0.44456921308862773,0.3774838146709043
SQ,0.592958666215871,0.5957222609925997,0.39906089136270984,0.4360066365425097,True,True,15,11,0.9324660994662992,1.0452813147489557,1.075606766407538,0.0270132395577583,-1.0485935268497797,1.1026200059652962,-2.1242002932573176,2.178226772372834,0.617813911932475,0.5802064568592574
PLTR,0.745157673283661,0.7714864263592046,0.2891803972185534,0.18842384600410778,True,True,8,10,1.8109762874804027,1.6944088620702131,0.8567763776429097,0.026090299738665976,-0.8306860779042438,0.8828666773815756,-1.6874624555471534,1.7396430550244855,0.6088071737261423,0.48998477335305846
