,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
S,1.4379273443159222,1.1930194506819685,0.14336794834516242,0.2090420334527846,False,False,9,7,3.2048828983650903,3.438368853223054,1.5670261925903703,0.23299851738111926,-1.334027675209251,1.8000247099714897,-2.9010538677996216,3.36705090256186,0.6705010619622145,0.5829908842474578
PD,0.9087812385706016,0.9299667505576307,0.13662331688158869,0.1265186856184488,False,False,5,5,3.7876069107093158,3.8225897098860626,1.1014087426535413,0.11197959844507667,-0.9894291442084646,1.213388341098618,-2.0908378868620057,2.3147970837521594,0.6013178886698813,0.6258862034754774
DBX,0.439617497409507,0.424768843579123,0.3965667444621981,0.3719889542668813,True,True,13,11,0.7227749642898522,0.7958294891290199,0.648092340601161,0.010772179094350253,-0.6373201615068108,0.6588645196955113,-1.2854125021079719,1.3069568602966724,0.5289736912535199,0.4798874961936834
SQ,0.8307866869215006,0.8299642609567517,0.46028453503543254,0.4853716752149574,True,True,9,9,1.7525214546245043,1.7414927728217642,1.2680482615045394,0.05295913385748608,-1.2150891276470532,1.3210073953620256,-2.483137389151593,2.589055656866565,0.6319842433274042,0.5775787590822131
SPLK,0.957608629158783,0.9577060882270365,0.031123868613948336,0.02740975046729066,False,False,8,7,2.6897347628558403,2.960311170045941,0.796055660100008,-0.03100244731155965,-0.8270581074115676,0.7650532127884483,-1.6231137675115754,1.5611088728884563,0.3948576938604421,0.5436790742140409
NUAN,0.1262745780600948,0.11811618644253317,0.0798966142091635,-0.01796075988605761,True,True,9,9,0.24561422388117127,0.26111634322499216,0.10762933716670409,0.005857324616344794,-0.1017720125503593,0.11348666178304888,-0.20940134971706337,0.22111599894975298,0.2833913912813597,0.05727574065735008
TEAM,1.4807836280215534,0.5738368000737125,-2.467175352577473,0.39424692263939554,True,True,11,10,2.700451804147345,1.1633400512214167,0.8752168722007321,0.04478786202470789,-0.8304290101760242,0.9200047342254399,-1.7056458823767562,1.7952216064261721,0.44955801143638796,0.4043225018522807
DOCS,1.8535239526378464,1.681567600943406,-0.05184169803488414,0.033546187775753133,False,False,7,8,4.7010980788855505,3.954769737606848,1.4644158755717451,0.12177688755250694,-1.3426389880192382,1.586192763124252,-2.807054863590983,3.0506086386959974,0.3749454413782498,0.33186892236987175
GDDY,1.0690398876188183,1.0722851031920815,-0.018066499846894013,-0.008939010535767178,False,False,2,2,10.092241511427977,9.979555057754098,0.5748270363822383,0.020682097321576578,-0.5541449390606618,0.5955091337038149,-1.1289719754429,1.1703361700860533,0.5036824981356297,0.46820229006341574
BIGC,1.3681494823853915,1.3428594883549978,0.012151511110475854,0.003063956735140927,False,False,7,6,4.1662828499341895,4.544429191267963,1.1258057844956326,-0.046549227220481056,-1.1723550117161137,1.0792565572751516,-2.2981607962117465,2.205062341770784,0.3802973727024962,0.3278880318248699
SE,1.0361976285205015,0.983628981283284,0.11684390039572701,0.23220432045080575,True,True,12,12,1.8798896248041286,1.7160696804946243,1.2900566457494635,0.277961624958538,-1.0120950207909256,1.5680182707080015,-2.302151666540389,2.8580749164574653,0.3788623018819185,0.3007992303887338
COUP,0.6174376816290759,0.5951215392372687,-0.08910202646554066,-0.00021260614927709476,True,True,10,11,1.134323407550868,1.0612991319720964,0.804053907078771,0.0964599475476593,-0.7075939595311117,0.9005138546264303,-1.5116478666098827,1.7045677617052013,0.27558927946152023,0.2490194139446139
ZM,1.6956090687091578,1.7566631510810509,-0.033831552045189284,-0.058448987746614334,False,False,6,7,5.957487795487783,5.454686750642533,1.6671355998450705,-0.051620727217361315,-1.7187563270624318,1.6155148726277093,-3.3858919269075023,3.28265047247278,0.4011115240815758,0.18316670557321735
U,1.3961980029595693,1.4126274726190509,0.22429586806373003,0.22146114928128158,False,False,12,10,2.6627635380125834,2.973965193021693,1.2761236841742833,-0.021916004049860875,-1.2980396882241443,1.2542076801244224,-2.5741633723984276,2.5303313642987058,0.48277845589312185,0.4874919505235862
UBER,1.3217703947039006,1.4977730082114804,0.28849318072596963,0.0978117197561501,False,False,8,8,3.2353039393642016,3.7152007824152387,1.1684727119050797,0.018032760833394224,-1.1504399510716854,1.186505472738474,-2.318912662976765,2.354978184643554,0.6069381070499142,0.32765037145370735
WDAY,0.5755507455632148,0.5631850403146637,0.053671739280832464,0.06150737461357514,True,True,8,8,1.382298059657267,1.3585764086093788,0.6155114880458976,0.10750621446304029,-0.5080052735828573,0.7230177025089379,-1.123516761628755,1.3385291905548355,0.38559170651317975,0.3453035126677152
FTCH,2.233809609875037,2.230580594162993,0.048636618419154676,0.016579760293442658,False,False,3,3,13.613090060253151,13.90456932718683,1.2194632261496328,-0.047910063971740635,-1.2673732901213735,1.171553162177892,-2.486836516271006,2.391016388327525,0.5321326223831462,0.4581073354730336
ADBE,0.5888641500014324,0.5567284574228155,0.28159066581964287,0.3247815208039023,True,True,9,10,1.3549945250005924,1.214474960058324,0.6902454120155194,0.2315993113525641,-0.4586461006629553,0.9218447233680834,-1.1488915126784747,1.6120901353836028,0.5485963390897752,0.5497404345839043
TWLO,0.8932826966204696,0.699250767058657,-0.28016421603822494,0.09899860599800525,True,True,10,9,1.8898575321356763,1.6903963225800203,1.0109644053702571,0.021463120507547284,-0.9895012848627098,1.0324275258778044,-2.000465690232967,2.0433919312480615,0.4133259040336198,0.3849248386816623
XM,0.9680357071911005,0.9599892604443935,0.09271182844077863,0.07730309546431513,False,False,7,7,2.8402172071891476,2.8517579802316178,0.8504568630009476,0.048900351063888896,-0.8015565119370587,0.8993572140648365,-1.6520133749380064,1.749814077065784,0.6583713550442867,0.6052734791408895
SPOT,0.8354450095838633,0.7381321360209138,0.03836519685672968,0.22387623411400892,True,True,14,11,1.448530407662069,1.4102266578074436,1.001533135142678,0.0929849666961051,-0.9085481684465728,1.094518101838783,-1.9100813035892508,2.096051236981461,0.33118339227612104,0.2874960632439286
BMBL,1.416802585294953,1.6164575380266686,0.0953090864622479,0.03841567116004607,False,False,4,5,7.279672701869007,6.663928629760787,1.4554252281400384,0.1840719786792571,-1.2713532494607813,1.6394972068192954,-2.7267784776008197,3.094922434959334,0.5954941544960077,0.4738670152936705
CDAY,0.44153194734768103,0.4632234958746713,0.32437667278843907,0.2640905860717192,True,True,9,9,1.0749217728613352,1.1351939625620473,0.6152579309600689,0.09854585308957022,-0.5167120778704987,0.7138037840496391,-1.1319700088305675,1.329061715009708,0.6598067010843773,0.6045448948146419
TDOC,1.1747952555901087,1.1115374140709693,-0.17731044555155973,-0.04121033156917586,False,False,11,10,2.4754970621183734,2.474755924572757,1.4153038972838543,-0.022313905403102286,-1.4376178026869566,1.392989991880752,-2.852921699970811,2.8082938891646063,0.3507052703113115,0.32888830172012085
DOCN,1.8302741699109937,1.6802779169542348,0.20045339846232524,0.24567718086605028,True,True,13,13,2.7993823800567466,2.7928822853351343,1.9358975944318837,0.29814508584209326,-1.6377525085897904,2.234042680273977,-3.573650103021674,4.16994027470586,0.43154563629561504,0.36870588856928777
CRM,0.6941113561906899,0.6767873798755085,0.051088500486882626,0.07077805971513529,False,False,9,10,1.6142439546366865,1.5320683243212208,0.8174481059380454,0.016616842926753615,-0.8008312630112918,0.834064948864799,-1.618279368949337,1.6515130548028445,0.2703926332472547,0.49710649138715224
PLAN,1.2365048851622418,1.232183081321362,0.028232626710424147,0.025729900141124196,False,False,2,2,11.965062867083617,11.76387031563708,0.7150793529416155,0.014505328085490548,-0.700574024856125,0.729584681027106,-1.4156533777977405,1.4446640339687216,0.5364210925689136,0.5240556429243666
BOX,0.7356690812768457,0.7789805550593684,0.05738610890264739,0.011669652982375434,False,False,2,3,6.5654550983910624,4.802781304126512,1.4416700825498965,0.23569763980809033,-1.2059724427418061,1.6773677223579868,-2.647642525291703,3.119037804907883,0.25235137229474003,0.37123130241956703
AKAM,0.4406217897806127,0.40742401339385487,-0.10446693524788997,-0.045880605502238714,True,True,9,7,0.8817441716093214,1.0046442812351615,0.4070102668785927,0.13012219978644646,-0.27688806709214625,0.5371324666650392,-0.683898333970739,0.9441427335436319,0.41465353833363094,0.3826287041611901
NET,1.3682276599058665,1.307546216710518,0.1701591133092888,0.10487988602564102,False,False,8,9,3.059789173483013,3.017699641027221,1.3261095330704091,-0.04284977946077563,-1.3689593125311847,1.2832597536096335,-2.695068845601594,2.6093692866800424,0.40241865065755467,0.3604002412808436
BILL,1.3252778063507118,1.3272922878842164,0.060986143563778406,0.037334645317743664,False,False,4,3,5.133917797061685,6.482185646303688,1.1515986915193939,0.12308975342524375,-1.0285089380941501,1.2746884449446376,-2.180107629613544,2.4262871364640315,0.45059748325434335,0.42925681606657273
INTU,0.996918444591282,0.9984677425320613,0.002468958672327104,0.022073098562055082,False,False,5,5,4.218955705213567,4.257550164859879,0.6954646929180163,0.1400321288376129,-0.5554325640804034,0.8354968217556291,-1.2508972569984196,1.5309615146736455,0.47249175882367833,0.5188893720174128
DOCU,2.0004773242824627,2.0489004615476163,-0.01768075828988147,-0.026586395514218486,False,False,3,3,14.181748588873893,14.195908709912311,0.9679361386008007,0.2225914250671708,-0.74534471353363,1.1905275636679715,-1.7132808521344307,2.1584637022687723,0.389838885338482,0.36533235014219423
EBAY,0.34595145923429776,0.3177313767568493,0.19865588311238058,0.31804097929432185,True,True,10,10,0.6773189423311954,0.6405883558676838,0.569585947931856,0.07630990680075676,-0.49327604113109924,0.6458958547326128,-1.0628619890629554,1.2154818026644687,0.5275882919045863,0.4651109207377312
PLTR,0.8048816602232358,0.8230091316195074,0.2780413186736008,0.19667930210060758,True,True,8,10,1.9465856902555587,1.7992312904986274,0.9440492784068792,-0.00034887476344312257,-0.9443981531703224,0.9437004036434361,-1.8884474315772015,1.8877496820503155,0.5203016758384593,0.49053163847486525
NOW,0.5462686504066784,0.5276053691187282,0.3185814949427298,0.37333254497880286,True,True,12,10,0.8661950743119903,0.9265146776957287,0.6612802971304858,0.12881556526024185,-0.5324647318702439,0.7900958623907276,-1.1937450290007297,1.4513761595212133,0.4873714299574049,0.503276731027714
RNG,2.189633069011886,2.224423978500383,-0.03964654381532906,-0.040217580192935865,False,False,5,5,9.098214838558949,9.128090646829687,0.8587538268341727,-0.02796591344411341,-0.886719740278286,0.8307879133900593,-1.7454735671124588,1.6895417402242319,0.37675391790422563,0.2665243822561316
AMZN,0.5133073142927228,0.3304898016087324,-0.5258839589849977,0.36251296427817536,True,True,10,10,0.9610737842943294,0.6440427240144179,0.5117614241332212,0.1605715588848073,-0.3511898652484139,0.6723329830180286,-0.8629512893816351,1.1840944071512498,0.60611595001837,0.6081419047708467
ASAN,3.441130046274576,2.2764603844677587,-0.47057722292825255,0.023535986972650802,False,False,8,8,8.2627511657255,5.860435080474012,2.0670663319641114,0.35134848990644224,-1.715717842057669,2.4184148218705537,-3.7827841740217805,4.485481153834665,0.5029881750951469,0.5483210974602962
FSLY,1.3389902282310546,1.3156036795360533,-0.017478423892260064,0.04284315043918019,False,False,8,7,3.678105571512099,3.8601067009193804,0.935029651654427,-0.11466011684943435,-1.0496897685038613,0.8203695348049926,-1.9847194201582883,1.7553991864594196,0.39435243601314207,0.34902667204788085
VMW,0.778122742243526,0.80190022367071,-0.023630994104854253,0.04162859949647513,True,True,8,11,1.8751884821737865,1.5462940967678342,0.6639770315149284,0.04784582389875558,-0.6161312076161728,0.711822855413684,-1.2801082391311012,1.3757998869286123,0.32122789533457174,0.33500593012962765
DDOG,1.661024537909859,1.6235471669329333,0.07031371470657033,0.06291315778416173,False,False,7,8,4.897062595954544,4.470913414643796,0.9566715541236609,0.08320702922473623,-0.8734645248989247,1.0398785833483972,-1.8301360790225856,1.996550137472058,0.4795705894784855,0.5167452796052983
MQ,2.0319535579785533,2.0895246995005516,0.14045937900772754,0.12862852400389901,False,False,11,9,4.348754131771291,4.837548955286371,1.889053840741556,0.3860312942514205,-1.5030225464901354,2.2750851349929766,-3.3920763872316915,4.164138975734533,0.34931739846940524,0.26212118885853086
CARG,0.7495873353901323,0.7365598183255689,0.08979784155178261,0.11316955339896773,True,True,9,8,1.6092548583904405,1.6553233810315084,0.8985373247773303,0.1503370241499064,-0.7482003006274238,1.0488743489272367,-1.646737625404754,1.947411673704567,0.5111667082346161,0.41807423297179547
CRWD,1.2525214069943362,1.2754309347036583,0.03485660865232176,0.05133904577697368,True,True,9,9,2.780488877841077,2.7729079673459354,1.0744964748115085,0.19917057087151652,-0.8753259039399919,1.273667045683025,-1.9498223787515003,2.3481635204945333,0.27095846032421744,0.3000387331937595
ZS,1.0072034266675194,1.0043437780332112,0.1959363266692291,0.1746151222114355,False,False,7,6,2.7023711038107288,2.9814181888794002,1.1820483464427447,0.2526703681243431,-0.9293779783184015,1.4347187145670879,-2.1114263247611462,2.6167670610098326,0.485980491945898,0.4717406349767108
NTNX,1.1778972667888454,0.6028383130280022,-2.018615184162074,0.2322071190098547,False,True,9,10,2.6945498170242264,1.2329145785593456,1.0679839195304552,0.1543779360090926,-0.9136059835213626,1.222361855539548,-1.9815899030518178,2.290345775070003,0.5156696642812545,0.5609794413220497
LYFT,1.371591494054503,1.5402868457305414,0.14873114700665702,0.07117758751569347,False,False,5,5,4.892442492484928,5.54553464830267,1.269071802141936,-0.026030044526190215,-1.2951018466681263,1.2430417576157458,-2.5641736488100624,2.512113559757682,0.5732862135879779,0.3603981883214762
ETSY,1.1150418561455102,1.1009092928747497,0.06347271516122444,0.06373151156496626,True,True,9,9,2.4034533371902405,2.4260011095199228,1.0869632674691814,0.15076671003387337,-0.9361965574353079,1.2377299775030548,-2.0231598249044893,2.324693244972236,0.4046474130817178,0.41327534892103157
