,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
XM,1.1959512068620257,1.1554484325397627,-0.0391590594338207,-0.01828194804296368,False,False,5,5,4.595207430210773,4.5358309508823975,0.8111508180833037,-0.05944122238198397,-0.8705920404652877,0.7517095957013197,-1.6817428585485914,1.5628604137846234,0.6469548767212974,0.5207922553529222
BOX,0.3213646481280811,0.31206971398268046,0.2550653516329694,0.1953883282346791,True,True,13,14,0.4627136863887103,0.4923529517842548,0.5433975462177068,0.07838550682146964,-0.46501203939623714,0.6217830530391764,-1.008409585613944,1.165180599256883,0.3699476941944242,0.319159195166958
NOW,0.3910836959118789,0.40298575159391475,0.1413541436336564,0.12837694043983217,True,True,10,10,0.691866326202933,0.6984949836867484,0.5654594219225282,0.13354096868671841,-0.4319184532358098,0.6990003906092466,-0.997377875158338,1.2644598125317748,0.48454150751460356,0.4804006615379294
AMZN,0.5628181769376945,0.43900314650080113,0.30692908655224627,0.38700990788626355,True,True,12,10,0.9402765606398833,0.9060421450271743,0.880577738080563,0.01911415925758245,-0.8614635788229806,0.8996918973381455,-1.7420413169035436,1.7802696354187086,0.4649261088455544,0.4312669141787884
GDDY,0.9973596454597912,0.9990519751473782,-0.04743244246787337,-0.042100690835793486,False,False,2,2,9.925995276204334,9.870855111491785,0.5504399761273536,0.05875455192808851,-0.4916854241992651,0.6091945280554422,-1.0421254003266187,1.1596345041827958,0.6025919356675652,0.5682508801680903
BIGC,1.0031664850532034,1.0623070377791894,0.09079197395359417,0.024910384053729695,False,False,2,4,7.631284633066878,4.585175095040285,1.1031683066041729,0.05567806648297631,-1.0474902401211965,1.1588463730871492,-2.1506585467253694,2.262014679691322,0.6680708730857052,0.5089832747574605
AKAM,0.3819906343257254,0.4005057160859551,-0.04450367450580761,-0.05074635677749151,True,True,9,9,0.9070520937346228,0.9001919816562389,0.4025253959072423,0.10841037252614724,-0.2941150233810951,0.5109357684333895,-0.6966404192883373,0.9134611643406318,0.4727837745190746,0.3869009033713049
SNOW,0.42580661312496987,0.4318530073972806,0.34227290845300984,0.2969315913663907,True,True,7,12,0.927718740797049,0.7845844258523266,0.9233789635075547,-0.10335089586493659,-1.0267298593724912,0.820028067642618,-1.9501088228800458,1.7434070311501728,0.3855060195216018,0.2989584890271376
PLTR,0.6533160782457871,0.6597374010798434,0.24396193606589056,0.2593591843063575,True,True,7,8,1.7269676151510047,1.554287939017339,1.138250814938291,0.12588196511121366,-1.0123688498270773,1.2641327800495048,-2.1506196647653684,2.402383594987796,0.1543870681699525,0.0946514537829285
ANGI,0.4829724136029853,0.41475465459822863,0.35030242824715085,0.5200297124271226,True,True,10,13,0.7928601171753968,0.6352691855182978,0.8933497926258845,-0.026457933907567177,-0.9198077265334517,0.8668918587183174,-1.8131575191593363,1.7602416513442019,0.5467758669873125,0.5239262205268831
DASH,1.4684870485078276,1.5181683827812402,-0.06307051783719975,-0.08202250006035983,False,False,7,6,4.916543083369272,5.442524219226393,1.022225658607673,0.027968992274917583,-0.9942566663327554,1.0501946508825906,-2.0164823249404282,2.072420309490264,0.35004637974172914,0.23225913904372197
SE,0.7100211910110699,0.6730878956553793,-0.04018410550457663,0.08625873135907625,True,True,8,10,1.5930335571750351,1.2833529308592546,1.2352574564613241,0.34061807234361213,-0.894639384117712,1.5758755288049362,-2.129896840579036,2.8111329852662603,0.373420644065948,0.2907977661313824
