,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
CDAY,0.4451495398468939,0.4536463209001423,0.2418428130980853,0.18249382100876754,True,True,8,8,1.0674644210567688,1.1489622793980832,0.5916448448216703,0.07300069523807559,-0.5186441495835947,0.664645540059746,-1.1102889944052652,1.2562903848814162,0.6369473090678812,0.5541188919118627
TWLO,1.3314356098669566,1.248094782715174,-0.14771829965540606,-0.13062369823303843,False,False,6,7,4.658844384138644,3.977870908227977,0.9234813409216007,-0.0264724850673723,-0.949953825988973,0.8970088558542284,-1.8734351669105738,1.8204901967758291,0.368167824159485,0.30526891040561954
ETSY,1.2446426743861383,1.1093557118286186,-0.2403260280599595,-0.03232037127071563,True,True,10,9,2.3889720330844364,2.344054079829641,0.9551341426966509,0.0932313158033636,-0.8619028268932872,1.0483654585000144,-1.8170369695899382,2.0034996011966655,0.2373723724673159,0.29568673652539434
BOX,0.7239317038049785,0.774702577470405,0.43032069323367694,0.013490641362630451,False,False,3,2,3.903599806778106,6.775488706759285,1.5601196522942846,0.16112953486353038,-1.3989901174307542,1.721249187157815,-2.959109769725039,3.2813688394520995,0.6217978178240171,0.318436065391702
INTU,1.015255403165632,1.0125649148712572,0.011134790761041069,0.025945457333227173,False,False,4,5,4.995797843726013,4.237975310577248,0.7253207539032969,0.0837145648975407,-0.6416061890057562,0.8090353188008376,-1.366926942909053,1.5343560727041345,0.44523345591820307,0.47289980186814784
COUP,0.612337138119785,0.5742992119923281,0.063091885554168,0.10675188197976926,True,True,10,9,1.1085426545779216,1.1565491326075743,0.7558276548478029,0.13856126364231153,-0.6172663912054914,0.8943889184901144,-1.3730940460532943,1.6502165733379173,0.44069538483305226,0.4072769097523635
DOCN,1.7120623024401984,1.5134789765294756,0.10558968109329192,0.20715952483839006,True,True,12,11,2.6895074874640237,2.7221384875809664,1.8521918849137124,0.20806525902585465,-1.6441266258878577,2.060257143939567,-3.4963185108015704,3.9124490288532794,0.3845583229934535,0.31969952058723106
PLTR,0.7321075224418837,0.821847183344458,0.2890701526680093,0.10660291314069215,True,True,8,8,1.7473310519154346,2.0127784475440453,0.9230117589235521,-0.04523397132825845,-0.9682457302518106,0.8777777875952937,-1.8912574891753626,1.800789546518846,0.5393067281448671,0.4441623715886963
SPOT,0.7426534152028609,0.7101052769659941,-0.048297993625783464,0.03815666170481091,True,True,11,11,1.443278118190934,1.3513367367903373,0.8990380388790763,0.009480115159019005,-0.8895579237200573,0.9085181540380953,-1.7885959625991337,1.8075561929171715,0.26349809550355374,0.2043811736233172
AMZN,0.48706901764518346,0.44680467182989597,0.1643470158856709,0.24554690057091477,True,True,9,10,1.0450461075138704,0.9306951071738089,0.483096930308825,0.1408100566864896,-0.3422868736223354,0.6239069869953147,-0.8253838039311604,1.1070039173041395,0.542625409126484,0.5425664459518522
