,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
SPOT,0.9713964154857756,0.9510319032334664,0.03154233884176083,0.03937298393529565,False,False,12,11,1.8554206410233156,1.9571786016586463,0.8944096365282433,0.004985190101414555,-0.8894244464268288,0.8993948266296579,-1.783834082955072,1.7938044631579013,0.29618326518076743,0.2411055300719006
COUP,0.6505270992832034,0.6243385459863566,0.020461440200450376,0.08481816328195801,True,True,14,12,1.0488624729838503,1.1308147489870406,0.7994089701431666,0.17256061356352817,-0.6268483565796384,0.9719695837066947,-1.426257326722805,1.7713785538498614,0.40581966192462526,0.3947863006824005
ANGI,0.6529197249720159,0.5251821154676515,0.09304997285247452,0.3134718720172479,True,True,12,12,1.0867688549842118,0.9088501111019518,0.9453394179992091,-0.055196434103090726,-1.0005358521022998,0.8901429838961183,-1.945875270101509,1.8354824018953273,0.5634359168521408,0.49957937984069334
PD,0.39098222303403474,0.4357087557386014,0.4821573458183751,0.38279354596876536,True,True,11,12,0.6962788067165905,0.7205344945586738,0.8650250394198454,0.04216927874651916,-0.8228557606733262,0.9071943181663646,-1.6878808000931718,1.77221935758621,0.6130357572318311,0.5334771051479175
ADBE,0.4168903600535915,0.4196823807439643,0.2847685754373025,0.22826408304566492,True,True,11,12,0.7738866419588678,0.7765645971856898,0.5885508944681899,0.16177858856767827,-0.42677230590051163,0.7503294830358681,-1.0153232003687014,1.338880377504058,0.5107935830824422,0.4694483087762713
AMZN,0.5618539928511016,0.46763348548756845,0.27031619049815414,0.2866955851181666,True,True,10,11,1.0063140468450036,0.9432208303089628,0.85929161514545,0.03239876109977473,-0.8268928540456754,0.8916903762452247,-1.6861844691911254,1.7509819913906748,0.4568538635660404,0.3996666854589275
DOCN,1.3128493233963334,1.263041399594009,0.1884725052263837,0.17711388216346802,True,True,12,9,2.4065994837321214,2.825819488860803,1.7102204924055264,0.28905080444219894,-1.4211696879633275,1.9992712968477253,-3.1313901803688537,3.709491789253252,0.3603138459193632,0.260587952371628
NET,1.0494763084807508,1.045441757898566,0.12802829200080845,0.08722159060349688,False,False,8,10,2.4002666699572144,2.1101949273268277,1.0743528702409757,-0.09739191502060407,-1.1717447852615797,0.9769609552203716,-2.2460976555025556,2.051313825461347,0.379407754485357,0.2913552603744275
U,1.1201993760803033,1.083705342368191,0.18254478605929847,0.20912465892947762,False,False,9,10,2.7091890807745798,2.5342170030152853,1.1117242268707557,-0.11723085539304928,-1.228955082263805,0.9944933714777064,-2.340679309134561,2.106217598348462,0.482355193250132,0.4913278206308117
AKAM,0.3707099245969188,0.3977934675396348,0.05738256813593978,-0.05890796461158487,True,True,11,10,0.7546072817990038,0.8285251955197213,0.4536075059024828,0.08920364319246017,-0.3644038627100226,0.542811149094943,-0.8180113686125053,0.9964186549974258,0.44510367554049124,0.3774838146709044
SQ,0.6525621660231676,0.5957222609926,0.3344996561351611,0.4360066365425096,True,True,13,11,1.0517448605117181,1.045281314748956,1.075606766407538,0.027013239557758313,-1.0485935268497797,1.1026200059652962,-2.1242002932573176,2.178226772372834,0.6355280317414875,0.5802064568592568
PLTR,0.8612543401935081,0.7714864263592046,0.13282402472926524,0.1884238460041079,True,True,9,10,1.8822717423846866,1.6944088620702131,0.8567763776429097,0.026090299738665987,-0.8306860779042438,0.8828666773815756,-1.6874624555471534,1.7396430550244855,0.6118230363317009,0.48998477335305823
NUAN,0.10805800003122149,0.10361208112976637,-0.059631235781942404,0.015773760503460355,True,True,10,9,0.19314701094287312,0.2032146657974062,0.08368744549998622,0.0007862615900737675,-0.08290118390991245,0.08447370709005998,-0.16658862940989866,0.16816115259004621,0.15401367116558684,0.0977642276468148
TWLO,1.1051847508458772,1.051634231787049,-0.06348456145157333,-0.08370279576030493,False,False,4,5,5.564139374455355,4.781849287729005,0.976372239189085,-0.013806445716282869,-0.9901786849053679,0.9625657934728021,-1.966550924094453,1.938938032661887,0.5606755411022286,0.4756406193920981
SE,0.7738741587662842,0.6824293476933783,0.036636085643884875,0.2260181474782016,True,True,9,13,1.639366360915847,1.2120176726333902,1.22813482112025,0.29347676532941736,-0.9346580557908327,1.5216115864496675,-2.162792876911083,2.7497464075699174,0.3881499588509907,0.30282487326246643
TEAM,1.1182403555698748,0.795175905443002,-0.16165228065096282,-0.013751068469212813,False,False,12,7,2.078459874371864,2.248485171661719,1.8135958682306594,0.15686943756347857,-1.656726430667181,1.970465305794138,-3.47032229889784,3.7840611740247976,0.05711762711283919,-0.007256296948707108
LYFT,1.2038400025510974,1.3173579715329928,0.12224519914579601,0.051360196296066474,False,False,5,4,4.804888902934264,6.300127487515209,1.1594047954293578,-0.11807030355687233,-1.2774750989862302,1.0413344918724854,-2.436879894415588,2.200739287301843,0.5487789170939573,0.33153283522017307
ZM,1.5739395101548812,1.6174289003058036,0.046974930041930096,-0.03832661748704269,False,False,5,5,6.644491457982727,6.962206108446577,1.9224704810053581,-0.009412477714843874,-1.931882958720202,1.9130580032905142,-3.85435343972556,3.8355284842958723,0.3955123121436779,0.3178233755900174
XM,1.1592331054027343,1.1448846213783297,-0.0028641924981711586,-0.009358885740732958,False,False,7,7,3.685521219168332,3.6693064284402985,0.7878127915190538,-0.04905423325765635,-0.8368670247767102,0.7387585582613975,-1.624679816295764,1.5265713497804512,0.6438035156411391,0.5144465316495224
CDAY,0.39760704352844495,0.41728840663033007,0.15059287415769484,0.10128359990406344,True,True,9,8,0.9360233635662794,1.08570471816912,0.5963641459948458,0.07110459934652859,-0.5252595466483172,0.6674687453413743,-1.1216236926431629,1.2638328913362202,0.6095889607047671,0.5528821231867631
WDAY,0.6287472620167924,0.6126454738178309,-0.09322919286113884,-0.04004163920593529,True,True,10,9,1.3445446410521416,1.3854854907467664,0.6211495644842971,0.06364430732659632,-0.5575052571577008,0.6847938718108935,-1.1786548216419979,1.3059434362951907,0.40104586090185634,0.3274675927416959
ETSY,0.9620851636707124,0.8984218629525904,-0.19693198815098367,-0.12923876919204225,True,True,10,9,2.0297300024454583,2.0896598903736123,0.9836419175659077,0.09099844414263022,-0.8926434734232774,1.0746403617085378,-1.8762853909891852,2.0582822792744455,0.4064783960786723,0.43708881846691106
VMW,0.48595786561295634,0.575459795346594,0.03826561901868164,-0.04690469057158064,True,True,9,8,1.1409137221856083,1.3447287178438927,0.5760719823758206,0.023539365795288866,-0.5525326165805318,0.5996113481711094,-1.1286045989563522,1.17568333054693,0.535317434746315,0.33627627645615754
PLAN,1.484078463455556,1.1143125384009767,0.013975208167688047,0.017819329443583998,False,False,5,1,6.173632799085661,22.123362822314785,1.7070932890611457,0.15918509414451248,-1.5479081949166331,1.8662783832056582,-3.2550014839777788,3.573371672266804,0.14270124028863795,0.5096410905286008
UBER,1.1636828004293724,1.2131693422157,0.2367476611122762,0.07537917126205063,False,False,6,5,3.566725963336443,4.5777607130258176,1.0311162703176326,-0.07894964634245345,-1.1100659166600861,0.9521666239751791,-2.141182186977719,1.9832828942928118,0.6433986955409496,0.33821440813867865
CHWY,0.6064255580766623,0.6101772001204682,0.0038927368221626235,-0.03019493163913811,True,True,10,10,1.2217975089928175,1.224563482898051,0.7534205318811807,-0.02142881745589401,-0.7748493493370747,0.7319917144252868,-1.5282698812182556,1.4854122463064674,0.3757673635501846,0.2893084164195062
SPLK,0.688854041541648,0.7080416923282258,0.1599264905048975,-0.042583035446894346,False,False,6,5,2.3219340199798943,2.934546086534385,1.1119854654156522,-0.18226687462215416,-1.2942523400378063,0.9297185907934981,-2.4062378054534586,2.0417040562091504,0.3613673147678471,0.46070373786732743
GDDY,0.9686552394262609,0.9995947265079205,-0.014058324848176262,-0.009492895918294275,False,False,2,2,9.892832903276311,9.864909760282321,0.5697946246532808,0.022427538096932122,-0.5473670865563487,0.5922221627502129,-1.1171617112096295,1.1620167874034937,0.6063586729313059,0.5664234971187001
MQ,2.193748141067937,2.2174948138924084,0.06683205476749576,0.05805103846593962,False,False,12,11,4.27828950937178,4.453894875263803,1.357796114677372,0.1978991755580237,-1.1598969391193483,1.5556952902353958,-2.5176930537967204,2.913491404912768,0.36804657625806325,0.2616786033797889
BIGC,1.1083884691643977,1.1061982356055797,0.11474736663782359,0.07226120451770734,False,False,5,5,4.065588906735135,4.190463012364027,1.1548930817782335,-0.03960283076449476,-1.1944959125427281,1.1152902510137388,-2.349388994320962,2.270183332791972,0.5594349174718729,0.44074050472169646
NTNX,0.4790249632137095,0.5067614241974823,0.052089872640149304,0.05519928668159213,True,True,8,9,1.1512656904290166,1.1371689210610036,0.7162143148687266,0.009661846510493835,-0.7065524683582327,0.7258761613792204,-1.4227667832269593,1.442090476247947,0.6371450980136146,0.4876913378743769
DASH,1.7183425514209079,1.686049574363237,-0.049694139523460024,-0.052870315467415496,False,False,8,8,4.636098242591068,4.626602050384999,1.1437562877865008,0.011132341968778851,-1.132623945817722,1.1548886297552796,-2.2763802336042227,2.2986449175417807,0.3417343354544543,0.20094579709212146
CRM,0.37067517791182525,0.3576116828772966,0.3879161692472646,0.34183815456085476,True,True,9,9,0.7826816410134114,0.8059336845344381,0.5453703364613393,0.030956892273846556,-0.5144134441874927,0.5763272287351858,-1.059783780648832,1.121697565196525,0.5264612597506887,0.45913168504808965
INTU,0.7798168036782598,0.7828748219900092,0.0030076985750736585,-0.001074987842647701,False,False,3,3,5.159839160060856,5.241469114666306,0.49536059528681586,0.10862062734863819,-0.38673996793817766,0.6039812226354541,-0.8821005632249935,1.0993418179222698,0.5201877725617194,0.4747111604229669
SNOW,0.5115667884220753,0.5797443782208355,0.4025152999754398,0.2299047353269157,True,True,8,11,1.2036337648485262,1.1550401542251036,1.0137102923591048,-0.15891192896045944,-1.1726222213195643,0.8547983633986453,-2.186332513678669,1.8685086557577502,0.36484515547607377,0.2973075790963984
TDOC,1.0138577340131727,1.0317210758545143,-0.08018655166072297,-0.08113895147669115,False,False,5,6,4.245072864550597,3.7534824007559577,1.338792814930151,-0.019639492330892096,-1.358432307261043,1.3191533225992589,-2.697225122191194,2.6579461375294096,0.38056493771616207,0.39526074650003395
NOW,0.35916532703976256,0.3985684380860991,0.3973227325283456,0.34664476657134324,True,True,12,12,0.6253075600885412,0.6404694208207663,0.5834067707958381,0.0994759634581009,-0.48393080733773725,0.6828827342539391,-1.0673375781335754,1.266289505049777,0.5321470665262691,0.4919112693036639
FTCH,2.0475567793693457,1.9971285743402993,0.019376922249337958,0.0024544520278525495,False,False,3,3,13.834064438487404,13.911501174095951,1.1754840885180609,-0.04534427865233054,-1.2208283671703914,1.1301398098657303,-2.3963124556884523,2.305623898383791,0.41797889803277666,0.4255021682416077
DOCU,0.7090388969212319,0.7748502233366795,0.06879921852183757,-0.11727311411124863,False,False,8,8,1.8583485261730686,2.012534904465234,0.9667019805988992,0.1308397908165903,-0.8358621897823089,1.0975417714154896,-1.802564170381208,2.064243752014389,0.4829873744711082,0.36353403047246147
BILL,1.197120189709588,1.1899638362467153,0.04721509534680801,0.014191313209792056,False,False,6,3,3.659807403613262,5.9867895221587615,1.0276702092384171,0.07238659894388894,-0.9552836102945281,1.1000568081823061,-1.9829538195329452,2.1277270174207232,0.4219048289925178,0.3773702588435912
DBX,0.3885267457408455,0.3609012781183187,0.3126403204824013,0.31341705423093635,True,True,13,11,0.6605481699716904,0.7300225302244829,0.6381203372697095,-0.005264008990870636,-0.6433843462605802,0.6328563282788389,-1.2815046835302897,1.2709766655485484,0.5677467826017168,0.5029329892114957
ASAN,1.1941618331338004,1.228410028655276,0.27033455239374715,0.2321868019957143,True,True,10,11,2.5387563374581954,2.4977001613352563,1.379370076745639,0.18043518265180583,-1.1989348940938331,1.5598052593974447,-2.578304970839472,2.9391753361430837,0.4982042611757457,0.43227955754013925
CERN,0.34842833749578667,0.34589735575523406,-0.1275273784044555,-0.09660967893701655,True,True,7,8,0.9760073800105081,0.8317381142902598,0.3180325493809988,0.07233989972284918,-0.2456926496581496,0.39037244910384794,-0.5637251990391484,0.7084049984848467,0.0834060944216205,-0.0401902490534205
RNG,1.8037998823776777,1.806816719387598,-0.11294550471471965,-0.11534482132079238,False,False,4,4,9.421781575962418,9.369364430727842,1.0118681100004678,-0.03714041970873568,-1.0490085297092036,0.9747276902917321,-2.0608766397096714,1.9865958002922,0.35406846293834726,0.29136460653687357
ZS,0.4657511063288964,0.5188865972328734,0.004386249364165207,0.25208793551218134,True,True,9,12,1.036143448289083,0.911717445741762,0.894213231060755,0.22230992778574601,-0.671903303275009,1.116523158846501,-1.566116534335764,2.010736389907256,0.6174335617745597,0.38682728651375664
BOX,0.3020192783785069,0.31008025382581184,0.4123236653121376,0.37213009255339224,True,True,16,15,0.4510315552183108,0.4769886320236572,0.5450929179410999,0.061620919416423135,-0.4834719985246768,0.606713837357523,-1.0285649164657766,1.151806755298623,0.38666955263869607,0.3499622458983256
PANW,1.1075810805077382,0.5852919150919503,-2.8687811969443278,0.08477840606385012,False,True,7,9,2.938859821293337,1.2547344399205835,1.512254764882607,0.19555834010710324,-1.3166964247755037,1.7078131049897103,-2.828951189658111,3.220067869872317,0.35523072969988545,0.3125179703580193
ABNB,0.9877603098858961,1.0125887954922337,0.21499458998335763,0.12429927372565241,False,False,7,6,2.9901753154027984,3.3830130036812864,1.1185531109899782,-0.07316495825429242,-1.1917180692442706,1.0453881527356859,-2.310271180234249,2.163941263725664,0.583353256011133,0.37809251947468425
CARG,0.5434284841550946,0.5747313667129273,0.03709920534526612,-0.04515946606801391,True,True,8,9,1.3087924612308175,1.297843445144653,0.8221382993017131,0.13275225258906134,-0.6893860467126518,0.9548905518907744,-1.5115243460143648,1.7770288511924877,0.5437493939452133,0.3465324703544871
DDOG,1.4446439686829105,1.4334396479103315,0.07792101794453721,0.03632492767851514,False,False,7,5,4.375398698088871,5.73506991522254,0.9813537369934267,0.006574449532969993,-0.9747792874604566,0.9879281865263967,-1.9561330244538833,1.9692819235198233,0.4526810798987668,0.4736647624213609
BMBL,1.2837916112790635,1.3031308167005566,-0.11487136475320803,-0.1044800198003002,False,False,5,5,5.498419081864281,5.367207033190854,1.0576285574465292,0.08798955494210063,-0.9696390025044286,1.1456181123886298,-2.0272675599509578,2.203246669835159,0.5566205796898457,0.3759916932269428
EBAY,0.44061053829890545,0.45045763037709935,-0.10409494140151887,-0.07941117164991907,False,False,7,6,1.3548519274470396,1.3843941378752722,0.583193811188237,0.022687687127575944,-0.560506124060661,0.605881498315813,-1.1436999352488981,1.1890753095040498,0.545180895316512,0.5270558831415431
