,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
WDAY,0.6163875057240585,0.5631850403146635,-0.05993649669892487,0.06150737461357514,True,True,8,8,1.4931408772272308,1.358576408609379,0.6155114880458976,0.10750621446304029,-0.5080052735828573,0.7230177025089379,-1.123516761628755,1.3385291905548355,0.3778704699703178,0.3453035126677154
NUAN,0.14404533541218187,0.11811618644253341,-0.32991737963179824,-0.01796075988605894,True,True,8,9,0.32854287133016785,0.26111634322499433,0.08474254946352268,-0.0011611492387237682,-0.08590369870224644,0.08358140022479892,-0.17064624816576912,0.1683239496883216,0.0690533515785644,0.057275740657350305
CRWD,1.3310428794391505,1.2754309347036583,-0.008331311369174532,0.05133904577697368,True,True,10,9,2.704473050385027,2.7729079673459354,1.032838984342457,0.16431554797376724,-0.8685234363686898,1.1971545323162243,-1.9013624207111468,2.2299935166586815,0.35579785336500924,0.3000387331937596
PD,0.9958559180518353,0.9299667505576305,0.09209552259456522,0.12651868561844903,False,False,6,5,3.547346045861192,3.8225897098860626,1.0623822594971166,0.14442486456387163,-0.917957394933245,1.2068071240609883,-1.9803396544303615,2.2691893835581047,0.635889402016153,0.6258862034754771
ASAN,2.363628213789846,2.2764603844677587,0.010281326666718105,0.023535986972650802,False,False,6,8,7.229332255520014,5.860435080474012,1.6162542064254533,0.13259111765625425,-1.483663088769199,1.7488453240817075,-3.0999172951946523,3.3650995305071607,0.5308461769864055,0.5483210974602957
DOCN,1.850688845005379,1.6802779169542348,0.1672955586326701,0.2456771808660504,True,True,13,13,2.867960780967788,2.7928822853351343,1.9358975944318835,0.29814508584209326,-1.6377525085897902,2.234042680273977,-3.5736501030216736,4.16994027470586,0.40971500338047717,0.3687058885692872
S,1.3926673869631168,1.1930194506819685,0.16088769703767813,0.2090420334527846,False,False,8,7,3.374033075881471,3.438368853223054,1.5670261925903706,0.23299851738111926,-1.3340276752092513,1.80002470997149,-2.901053867799622,3.3670509025618602,0.6121145472840839,0.5829908842474578
LYFT,1.492135762475235,1.5402868457305414,0.09068643414661581,0.07117758751569336,False,False,6,5,4.843845671336912,5.545534648302672,1.2718697780946402,-0.09132458946560933,-1.3631943675602496,1.1805451886290308,-2.6350641456548898,2.452414966723671,0.526370001850023,0.3603981883214762
SPLK,0.9697685108610995,0.9577060882270365,0.02489719229849563,0.02740975046729055,False,False,7,7,2.994008337737258,2.960311170045941,0.6922658041701238,-0.05183488461340336,-0.7441006887835272,0.6404309195567205,-1.436366492953651,1.3326967237268443,0.5671725020620019,0.5436790742140408
NTNX,0.6608531107656381,0.6028383130280022,0.06822249983870743,0.2322071190098547,True,True,9,10,1.4354164507087492,1.2329145785593458,0.8569833974507054,0.04448631990621757,-0.8124970775444879,0.9014697173569229,-1.6694804749951933,1.7584531148076283,0.6155375967993901,0.56097944132205
NET,1.4154482933507293,1.307546216710518,0.12316024698699768,0.10487988602564124,False,False,8,9,3.2437916285953374,3.017699641027221,1.2673884608039507,0.0009251930199134002,-1.2664632677840373,1.2683136538238642,-2.533851728587988,2.535702114627815,0.4307291303379637,0.3604002412808437
