,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
CARG,0.582082006320463,0.5984612436236826,-0.1311695280139329,-0.1452919313949339,True,True,10,10,1.2446700042283807,1.2423879688112165,0.8773043526749728,0.1961866713411623,-0.6811176813338105,1.073491024016135,-1.558422034008783,1.950795376691108,0.48707778337543295,0.3219084375456256
CRM,0.3120953011640624,0.28743149817184255,0.32357089990285004,0.36382406075151574,True,True,10,10,0.5846123617134478,0.5833829712215967,0.5210274150479961,0.04828245475036672,-0.47274496029762936,0.5693098697983628,-0.9937723753456255,1.0903372848463588,0.47117328356649235,0.45913168504808954
PLTR,0.6155091439334501,0.6875746795159927,0.28929050877533247,0.1729686890466794,True,True,8,10,1.5122554768442669,1.4693905638501035,0.7778573114769332,0.0770314387440389,-0.7008258727328942,0.8548887502209721,-1.4786831842098274,1.6327460616979053,0.5523953990817965,0.47817205704102617
PLAN,0.3467593179670924,0.33939881292421964,0.3594145224324782,0.38464393004515696,True,True,13,12,0.5817539756082055,0.5959726507615916,0.6248961154441738,-0.003627460803165678,-0.6285235762473395,0.6212686546410081,-1.2534196916915132,1.246164770085182,0.533081889618775,0.5174149490457236
AKAM,0.39009075295442946,0.4055392947373245,0.008361551769446751,-0.021333448851245107,True,True,9,10,0.8723127538250824,0.8507495781853347,0.4034222526435037,0.11270545728940479,-0.2907167953540989,0.5161277099329085,-0.6941390479976026,0.9195499625764121,0.4715903027955496,0.3999362833316944
SQ,0.5751232741065153,0.5846435151645133,0.39420070099166415,0.43535976270886056,True,True,13,12,0.9650784986236528,0.977356434452831,1.0507029166048276,0.06601834704427832,-0.9846845695605493,1.116721263649106,-2.035387486165377,2.1674241802539336,0.5874811209126837,0.5624541892764818
PD,0.44391780855150925,0.44500905226157933,0.28305000066697295,0.25564281013353896,True,True,13,11,0.7382746749580256,0.786794876560067,0.8519779006720787,0.06976892927602225,-0.7822089713960564,0.921746829948101,-1.6341868720681352,1.7737247306201795,0.5595398145076957,0.5145025808421786
U,1.1121890515244133,1.0916562368119291,0.20088400972669984,0.20354772421741207,False,False,10,10,2.5289204434174226,2.536585951401878,1.1187007067282453,-0.10210571236869397,-1.2208064190969392,1.0165949943595514,-2.3395071258251847,2.1352957010877964,0.46296173173592714,0.4336307645436176
COUP,0.6122942459883352,0.5985089304316924,0.001122927822513664,0.014561893605085974,True,True,10,11,1.188255801579742,1.1411480577283646,0.7499245523354071,0.14496184914936008,-0.6049627031860471,0.8948864014847672,-1.3548872555214542,1.6448109538201743,0.4583094448231827,0.39839860468814836
INTU,0.765980826267275,0.7696282318335514,-0.021607131028521742,-0.016956179528638593,False,False,2,3,7.425197293631327,5.236505603674533,0.4762475954424967,0.12594709234288956,-0.35030050309960714,0.6021946877853862,-0.8265480985421038,1.0784422832278828,0.5281754535802736,0.4849175088787936
CHWY,0.526866464838744,0.5017167299209333,0.14014204759338866,0.18511311739708836,True,True,14,15,0.8501768187712441,0.7996443436400946,0.6734417498048222,-0.05146131414543567,-0.7249030639502578,0.6219804356593865,-1.39834481375508,1.2954221854642087,0.33035661280166995,0.2849488099046904
BMBL,1.1187084585148885,1.276465784998742,-0.0550525479155517,-0.07062919311777449,False,False,4,4,6.17084954044427,6.254488779256002,1.0162803903312998,0.13615484309349177,-0.880125547237808,1.1524352334247916,-1.8964059375691078,2.1687156237560914,0.5574157051533051,0.3612271493272591
SE,0.7073811715398182,0.6507096051863601,0.008510679806720156,0.17984495510828213,True,True,9,11,1.6127186530811688,1.2655524129659128,1.2234742106309673,0.3161773150158199,-0.9072968956151474,1.539651525646787,-2.1307711062461148,2.7631257362777544,0.3640926563667295,0.294881151927454
FTCH,2.0194847123784534,1.9747097473260666,0.025746378246541357,0.001258367270834948,False,False,3,3,13.637398079685953,13.909689042833255,1.1227862034465195,-0.055333862911808626,-1.178120066358328,1.067452340534711,-2.3009062698048477,2.19023854398123,0.5039679652639562,0.41375646998838245
BOX,0.2898258701968263,0.30556641854097466,0.34597974756197725,0.22992034141750917,True,True,11,14,0.48653814829585956,0.4915359757015862,0.534397915784208,0.08043428917999018,-0.45396362660421785,0.6148322049641982,-0.9883615423884259,1.1492301207484061,0.4065882857888712,0.3224043075433677
TDOC,0.6906448483106032,0.6726769311919418,-0.11835108274803896,-0.08270753208777104,False,False,6,6,2.0952176155033673,2.0240146195603383,0.7756047458370091,-0.12545584865117282,-0.901060594488182,0.6501488971858362,-1.676665340325191,1.4257536430228455,0.44094706305330733,0.3919323829702889
CERN,0.33154628888306814,0.3480445999687478,-0.08976434754263218,-0.08939211423614002,True,True,6,9,1.0245383863567643,0.7766093536672493,0.32115026288646,0.07053726928099095,-0.250612993605469,0.39168753216745095,-0.571763256491929,0.7128377950539109,0.11537330120444156,-0.03281556676111008
LYFT,1.1072142575379766,1.094631072938618,-0.039341684835381585,-0.01775665816151717,False,False,4,4,5.055035409122086,5.001015833244231,0.9089402543404406,0.00023506796033482438,-0.9087051863801058,0.9091753223007754,-1.8176454407205462,1.818115576641216,0.4575714701952821,0.3444232167329474
DASH,1.6080286484459014,1.5826104146427413,-0.06410648536088193,-0.05435229391844154,False,False,9,8,4.318045484679471,4.578618743219774,1.0593074135943474,0.05569744113615104,-1.0036099724581964,1.1150048547304985,-2.062917386052544,2.174312268324846,0.3298661739611598,0.21895090307706921
DOCU,0.5751043120088539,0.5804851007080212,0.1067408153825794,0.11791946466141912,True,True,11,11,1.1508237770414598,1.1386265845243566,0.7376970466389161,0.10830054586570195,-0.6293965007732142,0.845997592504618,-1.3670935474121302,1.5836946391435343,0.36318466604893873,0.35592421472952207
FSLY,1.0952430912557962,1.0890221788333232,-0.05141873205483316,0.020245185729100723,False,False,6,5,3.433533565393789,3.779343176443736,0.8682252176004339,-0.1077279658134888,-0.9759531834139227,0.7604972517869452,-1.8441784010143567,1.628722469387379,0.39575490331395236,0.36178616200528735
ZM,1.1498155703612647,1.1520707818847284,-0.026040328838448756,-0.0194705384613163,False,False,5,5,4.516165823811034,4.520993884536961,0.8356002914721503,-0.03024492345133305,-0.8658452149234833,0.8053553680208173,-1.7014455063956337,1.6409556594929675,0.34055767895062183,0.30750618757559856
RNG,1.7571504605367927,1.7000366990510305,-0.11388615522198409,-0.10782953892227232,False,False,4,4,9.003148644103401,8.80447207809773,0.9419687002201264,-0.08696482250328523,-1.0289335227234115,0.8550038777168412,-1.970902222943538,1.7969725779369674,0.3199452387927425,0.30116447298144133
WDAY,0.5950404038075646,0.6010164243150927,-0.06368147972142424,-0.058149496980311355,True,True,8,8,1.4195538684047213,1.428646862978564,0.6065100634575276,0.0851326020663185,-0.5213774613912091,0.691642665523846,-1.1278875248487366,1.2981527289813737,0.3424794290475268,0.30358126389987095
DDOG,1.3553161960530062,1.3531561953988436,0.045240019967043965,0.015439265942124414,False,False,5,4,5.526114609642805,6.618921245725909,0.8159764972717013,0.04838340619049887,-0.7675930910812024,0.8643599034622002,-1.5835695883529037,1.6803364007339014,0.4720534891250511,0.4775455746169275
BILL,1.1482828233327338,1.2160074766757258,0.05952952466034522,-0.012442054814508996,False,False,6,4,3.535667823726259,4.855387285827852,1.0184715053052522,0.10163110584180048,-0.9168403994634517,1.1201026111470527,-1.935311904768704,2.138574116452305,0.3886518882748675,0.3564814262703683
SPOT,0.9572313876294082,0.9443802475884008,0.04454579543276871,0.04834641972864562,False,False,11,10,1.946086880796923,2.0493129791689304,0.8745627125493449,-0.020007572691108547,-0.8945702852404535,0.8545551398582364,-1.7691329977897985,1.7291178524075812,0.30540101242695616,0.25464742406957663
AMZN,0.581382150493864,0.44724592488611065,0.24949179910900743,0.35080161513388475,True,True,14,11,0.8994522328234066,0.8990914028588289,0.8647220330666239,0.03181127857204179,-0.8329107544945821,0.8965333116386657,-1.697632787561206,1.7612553447052894,0.4525364245379965,0.4239601581816781
NET,1.1800376830903065,1.0621086181566863,0.060742737959281534,0.08961112193754839,True,False,10,10,2.222874144094508,2.1866121438554464,1.1234776654267635,-0.12682174493385653,-1.25029941036062,0.996655920492907,-2.3737770757873835,2.1201335859196706,0.3337964889006384,0.29860842562548573
TWLO,1.097661565532098,1.0229001944152776,-0.08143959938825374,-0.06903332133006423,False,False,3,4,7.153445870607851,5.623367331736242,0.9790157091886211,-0.010470379405643895,-0.989486088594265,0.9685453297829772,-1.9685017977828863,1.9475610389715983,0.5287915730769533,0.4934823617002627
ANGI,0.5084430043695076,0.4722547131790344,0.3687256393393161,0.42283151744149994,True,True,12,13,0.7893289863005054,0.7577899015406716,0.901840265939839,-0.024929867427935234,-0.9267701333677743,0.8769103985119038,-1.8286103993076133,1.7787506644517428,0.5309929183266439,0.5102908763366467
XM,1.1861052113312147,1.1389996571035863,-0.05458380647757988,-0.020943519423195722,False,False,6,7,4.233922136252324,3.668720022155486,0.7678084656154447,-0.013827645248018864,-0.7816361108634635,0.7539808203674259,-1.5494445764789082,1.5217892859828706,0.6277395829607095,0.4970501403897204
SNOW,0.5675310697856845,0.5538326024228684,0.17847654805449353,0.2081061218026793,True,True,10,10,1.1695641977018052,1.1743901695163055,0.9461140763172735,-0.09658533963324074,-1.0426994159505143,0.8495287366840327,-1.9888134922677878,1.7956428130013062,0.31751422100811255,0.281884985967359
NTNX,0.3580351253553325,0.35453700335324717,0.36429447588467456,0.33750228982972263,True,True,11,9,0.6280299032260082,0.7231146947766686,0.6861281429362011,0.04278628713382116,-0.6433418558023799,0.7289144300700222,-1.329469998738581,1.4150425730062233,0.6145846962436876,0.48443799132125387
