,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
U,1.031349143328166,1.0062998033609971,0.19434112346702537,0.20813537870329724,False,False,7,7,2.977340376162268,2.967942540310752,1.1414780191033975,-0.09797141300253957,-1.239449432105937,1.043506606100858,-2.3809274512093346,2.1849846252042555,0.41869597168132433,0.4342876590910142
ETSY,1.1502372519985191,0.7320613757130207,-1.661701302368705,0.08122988471317127,False,True,8,8,2.65039212517606,1.679908556934547,1.7267934819038324,-0.1852094343646816,-1.912002916268514,1.541584047539151,-3.6387963981723463,3.2683775294429833,0.6094673223174383,0.48677553711146704
VMW,0.3733897126412418,0.39947538770770513,0.0938697960970929,0.05895460860016932,True,True,10,8,0.7095001486536362,0.8459944561666028,0.547484054046532,0.031667133505446976,-0.515816920541085,0.579151187551979,-1.063300974587617,1.126635241598511,0.4477083932161955,0.3231237757278145
EBAY,0.464159782005821,0.4685649270488249,0.002662516480476551,0.02113626793798129,False,False,6,6,1.3846440219565366,1.358714530385118,0.5984307246826895,0.029680341874483287,-0.5687503828082062,0.6281110665571729,-1.1671811074908958,1.2265417912398624,0.5890024724363726,0.5646857254441056
DBX,0.4307148307705881,0.3736640006897525,0.2652868414650923,0.35768146025213743,True,True,12,10,0.6979425640232554,0.7558428744208863,0.7213623843311017,0.02929309085073619,-0.6920692934803655,0.7506554751818378,-1.413431677811467,1.4720178595129396,0.4514098139351055,0.49830412067840957
ZM,0.743402836659181,0.739067919755805,0.04861792279341992,-0.011286204565354563,False,False,10,10,1.5855179960660235,1.611336802016401,1.032041415804434,-0.09359048296882078,-1.1256318987732548,0.9384509328356132,-2.1576733145776887,1.9704923486400472,0.42902648149097566,0.37725367442515734
CRM,0.2734699964537928,0.24265130931359358,0.38861926434818495,0.44922564339331816,True,True,11,12,0.47645865989028713,0.4365647484538156,0.5088563745348906,0.054671874642579776,-0.45418449989231086,0.5635282491774705,-0.9630408744272014,1.072384623712361,0.5060900601064113,0.49103222995159235
INTU,0.29174276715921593,0.30016045243566003,0.2585770201566556,0.17699100783380894,True,True,10,10,0.5581235058435062,0.5976354803975339,0.502298204396048,0.11589175956635939,-0.3864064448296886,0.6181899639624073,-0.8887046492257367,1.1204881683584553,0.5483500945126548,0.5241288576363309
FTCH,1.3329232013398693,1.2787871874169152,0.012137908162816902,0.009973615294444071,False,False,4,4,5.744039682311644,5.673101001939487,1.1407319736666348,-0.054659986636314814,-1.1953919603029497,1.08607198703032,-2.3361239339695845,2.2268039606969547,0.4802744384337483,0.4253933515867452
DOCN,1.2467651178637538,1.1845112240207953,0.06985445105947985,0.11884570943491735,True,True,10,12,2.502149576188018,2.1360260519780403,1.6458286189909173,0.40327515631745803,-1.2425534626734591,2.0491037753083754,-2.8883820816643766,3.6949323942992924,0.3452695425812088,0.24617994908974683
