,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
WDAY,0.56635458630648,0.5631850403146637,0.0872832626553326,0.06150737461357514,True,True,6,8,1.602156667254901,1.3585764086093788,0.6155114880458976,0.10750621446304028,-0.5080052735828573,0.7230177025089379,-1.123516761628755,1.3385291905548355,0.37555131124455055,0.3453035126677154
NUAN,0.12749067597108374,0.11811618644253323,-0.04396037076779091,-0.01796075988605783,True,True,9,9,0.256290763730484,0.2611163432249929,0.08474254946352268,-0.001161149238723767,-0.08590369870224644,0.08358140022479892,-0.17064624816576912,0.1683239496883216,0.0684079805539124,0.05727574065735008
CRWD,1.335386032834731,1.2754309347036583,0.04632198474039506,0.05133904577697368,True,True,10,9,2.6415968624134876,2.7729079673459354,1.0854925339919128,0.1515656181078324,-0.9339269158840804,1.2370581520997452,-2.0194194498759934,2.322550686091658,0.29096279685068915,0.3000387331937596
PD,0.9106534664900099,0.9299667505576306,0.1270284065032552,0.1265186856184488,False,False,5,5,3.8057362303914415,3.8225897098860626,1.0623822594971166,0.14442486456387169,-0.9179573949332449,1.2068071240609883,-1.9803396544303615,2.2691893835581047,0.642724355380875,0.6258862034754766
ASAN,2.216118485065253,2.2764603844677587,0.07747568053902776,0.023535986972650802,False,False,7,8,5.9723843673186385,5.860435080474012,1.6162542064254535,0.13259111765625428,-1.4836630887691993,1.7488453240817077,-3.0999172951946528,3.365099530507161,0.6080716901597267,0.5483210974602959
DOCN,1.8157314622929992,1.6802779169542348,0.17805875405416483,0.2456771808660505,True,True,13,13,2.8683492149106917,2.7928822853351343,1.9358975944318833,0.29814508584209326,-1.63775250858979,2.2340426802739763,-3.573650103021673,4.169940274705859,0.435661300298842,0.3687058885692871
S,1.421596320645085,1.1930194506819685,0.15237292558504123,0.2090420334527846,False,False,8,7,3.3824865062765817,3.438368853223054,1.5670261925903703,0.23299851738111924,-1.334027675209251,1.8000247099714897,-2.9010538677996216,3.36705090256186,0.6214705829074784,0.5829908842474578
LYFT,1.4283071080830698,1.5402868457305356,0.1417938156357591,0.07117758751569603,False,False,6,5,4.4754860024525005,5.545534648302657,1.2391088078597359,-0.05807240910034195,-1.2971812169600778,1.181036398759394,-2.536290024819814,2.4201452066191296,0.5776272766937174,0.3603981883214761
SPLK,0.9800280866851495,0.9577060882270365,0.14167638635549018,0.02740975046729055,False,False,7,7,2.949184334137422,2.960311170045941,1.2517741057274558,-0.10580229681516495,-1.357576402542621,1.1459718089122908,-2.6093505082700768,2.3977459146397466,0.29730950003685896,0.5436790742140408
NTNX,0.550519615788878,0.6028383130280022,0.2869474885431965,0.2322071190098547,True,True,9,10,1.225696598223432,1.2329145785593456,0.7934411774876541,0.07934469192425682,-0.7140964855633972,0.8727858694119109,-1.5075376630510513,1.666227046899565,0.6486453036799688,0.5609794413220501
