,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
ABNB,1.049467121971997,1.0125887954922372,0.14650297542349766,0.12429927372564453,False,False,7,6,3.1084016466347477,3.38301300368131,1.1185531109899782,-0.07316495825429244,-1.1917180692442706,1.0453881527356859,-2.310271180234249,2.163941263725664,0.6012957509440354,0.3780925194746846
BILL,1.1096904983055367,1.1899638362467153,0.008496915751222356,0.014191313209792056,False,False,3,3,6.401596587356007,5.9867895221587615,1.0276702092384171,0.07238659894388894,-0.9552836102945281,1.1000568081823061,-1.9829538195329452,2.1277270174207232,0.4216370732092527,0.37737025884359154
RNG,1.850166458510894,1.806816719387608,-0.11126385236389402,-0.11534482132079638,False,False,5,4,7.914469467306776,9.369364430727856,1.0118681100004678,-0.037140419708735696,-1.0490085297092036,0.9747276902917321,-2.0608766397096714,1.9865958002922,0.35730432203937956,0.2913646065368739
DASH,1.629704786082761,1.686049574363237,-0.032472471147493964,-0.052870315467415496,False,False,8,8,4.599236155683743,4.626602050384999,1.143756287786501,0.011132341968778839,-1.1326239458177223,1.1548886297552798,-2.276380233604223,2.298644917541781,0.3770417862545168,0.20094579709212124
EBAY,0.42106799035362913,0.45045763037709935,0.0484905523855752,-0.07941117164991907,False,False,6,6,1.2908476582358628,1.3843941378752722,0.583193811188237,0.02268768712757595,-0.560506124060661,0.605881498315813,-1.1436999352488981,1.1890753095040498,0.6391743742730649,0.5270558831415433
CHWY,0.510905022756824,0.6101772001204682,0.4045074236075066,-0.03019493163913789,True,True,12,10,0.9471253656508969,1.224563482898051,0.7534205318811809,-0.02142881745589398,-0.7748493493370748,0.7319917144252869,-1.5282698812182558,1.4854122463064676,0.5794553638386177,0.2893084164195062
BIGC,1.1122284877573887,1.1061982356055797,0.038522883050499224,0.07226120451770734,False,False,5,5,4.228317875728954,4.190463012364027,1.1548930817782335,-0.03960283076449475,-1.1944959125427281,1.1152902510137388,-2.349388994320962,2.270183332791972,0.5836218579512571,0.44074050472169657
SNOW,0.5306351351153779,0.5797443782208355,0.31792500438043736,0.2299047353269157,True,True,8,11,1.2264595795834938,1.1550401542251034,1.0137102923591046,-0.15891192896045947,-1.172622221319564,0.8547983633986451,-2.1863325136786687,1.8685086557577497,0.31899500258881963,0.29730757909639827
CERN,0.3371578956778987,0.34589735575523406,-0.07506339106019655,-0.09660967893701655,True,True,6,8,1.0242982395967715,0.8317381142902598,0.31803254938099884,0.07233989972284918,-0.24569264965814966,0.39037244910384805,-0.5637251990391485,0.7084049984848468,0.11898177388139974,-0.04019024905342006
ZS,0.4672798766968203,0.5188865972328734,0.4674023652894702,0.2520879355121811,True,True,15,12,0.7260342704345528,0.9117174457417617,0.8427393633822745,0.19071884117954396,-0.6520205222027305,1.0334582045618186,-1.494759885585005,1.876197567944093,0.5397286541695019,0.386827286513757
