,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
XM,1.2303403374065551,1.155448432539763,-0.027905958059800673,-0.01828194804296368,False,False,6,5,4.0750166616416905,4.5358309508823975,0.8111508180833037,-0.05944122238198397,-0.8705920404652877,0.7517095957013197,-1.6817428585485914,1.5628604137846234,0.6377864205697199,0.5207922553529217
BOX,0.34225935107051525,0.31206971398268046,0.06029394727280313,0.1953883282346791,True,True,11,14,0.5647089169087898,0.4923529517842548,0.5725441973632504,0.05866716133584745,-0.5138770360274029,0.6312113586990978,-1.0864212333906533,1.203755556062348,0.26315669856967683,0.3191591951669578
NOW,0.42843628455707794,0.40298575159391475,-0.16317101702976666,0.12837694043983217,True,True,10,10,0.7767431697216468,0.6984949836867484,0.5654594219225281,0.13354096868671847,-0.4319184532358096,0.6990003906092466,-0.9973778751583376,1.2644598125317745,0.4837081128346523,0.4804006615379297
AMZN,0.5506376114458142,0.43900314650079675,0.3145854724260304,0.3870099078862651,True,True,9,10,1.0258633066027922,0.9060421450271677,0.880577738080563,0.01911415925758244,-0.8614635788229806,0.8996918973381455,-1.7420413169035436,1.7802696354187086,0.48053319087504476,0.4312669141787877
GDDY,1.0327956846924444,0.9990519751473782,-0.051717740129051615,-0.042100690835793486,False,False,3,2,6.974200650567102,9.870855111491785,0.5504399761273536,0.05875455192808853,-0.4916854241992651,0.6091945280554422,-1.0421254003266187,1.1596345041827958,0.5961122152882956,0.5682508801680898
BIGC,1.014243871540037,1.0623070377791894,0.08810643065840185,0.024910384053729695,False,False,3,4,5.46193401185029,4.585175095040285,1.1031683066041729,0.055678066482976324,-1.0474902401211965,1.1588463730871492,-2.1506585467253694,2.262014679691322,0.6448556403389858,0.5089832747574605
AKAM,0.3990702818661274,0.40050571608595503,-0.14546157657074343,-0.05074635677749151,True,True,9,9,0.9575783107359472,0.9001919816562387,0.4025253959072423,0.10841037252614724,-0.2941150233810951,0.5109357684333895,-0.6966404192883373,0.9134611643406318,0.4573894047076511,0.386900903371305
SNOW,0.471792113240506,0.4318530073972806,0.20538025140758087,0.2969315913663907,True,True,9,12,0.9772118323438197,0.7845844258523265,0.9233789635075547,-0.10335089586493659,-1.0267298593724912,0.820028067642618,-1.9501088228800458,1.7434070311501728,0.3753308139833227,0.2989584890271376
PLTR,0.700439444207751,0.6597374010798434,0.1512114049699569,0.2593591843063575,True,True,7,8,1.8486556114209767,1.554287939017339,1.138250814938291,0.12588196511121372,-1.0123688498270773,1.2641327800495048,-2.1506196647653684,2.402383594987796,0.13556323041480256,0.09465145378292872
ANGI,0.48637178198668507,0.4147546545982286,0.26406742957661444,0.5200297124271227,True,True,10,13,0.8423131874990816,0.6352691855182976,0.8933497926258847,-0.026457933907567167,-0.9198077265334518,0.8668918587183175,-1.8131575191593365,1.760241651344202,0.5392997024298539,0.5239262205268833
DASH,1.477800821524406,1.5181683827812402,-0.054729868493236467,-0.08202250006035983,False,False,5,6,6.0442381299294405,5.442524219226393,1.022225658607673,0.02796899227491757,-0.9942566663327554,1.0501946508825906,-2.0164823249404282,2.072420309490264,0.3729646850884478,0.2322591390437222
SE,0.7821065504030084,0.6730878956553793,-0.47752175191535096,0.08625873135907625,True,True,9,10,1.6825362561588675,1.2833529308592546,1.2352574564613241,0.3406180723436121,-0.894639384117712,1.5758755288049362,-2.129896840579036,2.8111329852662603,0.37269702914734004,0.2907977661313821
CERN,0.34327588826195493,0.3515511287838937,-0.1099342400513128,-0.08070326825317209,True,True,6,8,1.001362671943639,0.817114628574966,0.3237940525172533,0.06541172318281938,-0.25838232933443395,0.38920577570007264,-0.5821763818516872,0.712999828217326,0.15978967466536453,-0.030846932300675922
FSLY,1.0281677151076825,1.0843976232096222,-0.01125412805938586,0.023773472603950796,False,False,5,5,3.8918313960795374,3.779166531574474,0.8750761544349898,-0.10622373343396105,-0.9812998878689508,0.7688524210010287,-1.8563760423039406,1.6439285754360184,0.4560369272258551,0.3731791359918655
DOCN,1.236013802823187,1.1932032683844833,0.08484862596720277,0.09607878000263614,True,True,11,11,2.3353679012189583,2.247584132310888,1.6511256622035713,0.3806173490758398,-1.2705083131277315,2.031743011279411,-2.9216339753313028,3.6828686734829823,0.35584058195731794,0.24570574066160455
